felis_catus ENSFCAG00000033513
scleropages_formosus ENSSFOG00015003448
maylandia_zebra ENSMZEG00005006485
astatotilapia_calliptera ENSACLG00000022979
haplochromis_burtoni ENSHBUG00000005775
pundamilia_nyererei ENSPNYG00000016687
neolamprologus_brichardi ENSNBRG00000010696
oreochromis_niloticus ENSONIG00000004783
amphilophus_citrinellus ENSACIG00000014543
acanthochromis_polyacanthus ENSAPOG00000014367
poecilia_mexicana ENSPMEG00000013430
poecilia_latipinna ENSPLAG00000000499
poecilia_formosa ENSPFOG00000000962
poecilia_reticulata ENSPREG00000008867
xiphophorus_couchianus ENSXCOG00000009618
xiphophorus_maculatus ENSXMAG00000012841
gambusia_affinis ENSGAFG00000001923
fundulus_heteroclitus ENSFHEG00000002002
cyprinodon_variegatus ENSCVAG00000017453
kryptolebias_marmoratus ENSKMAG00000003091
oryzias_latipes_asm223469v1 ENSORLG00015020711
takifugu_rubripes ENSTRUG00000017848
tetraodon_nigroviridis ENSTNIG00000005649
gasterosteus_aculeatus ENSGACG00000012643
oryzias_latipes ENSORLG00000005036
oryzias_latipes ENSORLG00020003010
oryzias_melastigma ENSOMEG00000005521
cynoglossus_semilaevis ENSCSEG00000005700
mastacembelus_armatus ENSMAMG00000019754
anabas_testudineus ENSATEG00000000020
seriola_dumerili ENSSDUG00000005506
seriola_lalandi_dorsalis ENSSLDG00000018586
scophthalmus_maximus ENSSMAG00000010914
amphiprion_percula ENSAPEG00000006728
amphiprion_ocellaris ENSAOCG00000009887
stegastes_partitus ENSSPAG00000016278
monopterus_albus ENSMALG00000011586
hippocampus_comes ENSHCOG00000001278
periophthalmus_magnuspinnatus ENSPMGG00000014778
labrus_bergylta ENSLBEG00000018367
mola_mola ENSMMOG00000000346
gadus_morhua ENSGMOG00000008816
esox_lucius ENSELUG00000018009
astyanax_mexicanus ENSAMXG00000037201
pygocentrus_nattereri ENSPNAG00000028813
ictalurus_punctatus ENSIPUG00000016718
danio_rerio ENSDARG00000071403
lepisosteus_oculatus ENSLOCG00000005874
anabas_testudineus ENSATEG00000000963
petromyzon_marinus ENSPMAG00000008399
eptatretus_burgeri ENSEBUG00000008141
