zonotrichia_albicollis ENSZALG00000008444
dasypus_novemcinctus ENSDNOG00000013565
choloepus_hoffmanni ENSCHOG00000005546
echinops_telfairi ENSETEG00000009572
phascolarctos_cinereus ENSPCIG00000013877
notamacropus_eugenii ENSMEUG00000003397
sarcophilus_harrisii ENSSHAG00000009199
monodelphis_domestica ENSMODG00000009776
ornithorhynchus_anatinus ENSOANG00000011880
xenopus_tropicalis ENSXETG00000023987
latimeria_chalumnae ENSLACG00000010934
xiphophorus_couchianus ENSXCOG00000017520
xiphophorus_maculatus ENSXMAG00000020149
gambusia_affinis ENSGAFG00000006785
poecilia_latipinna ENSPLAG00000004396
poecilia_formosa ENSPFOG00000016197
poecilia_mexicana ENSPMEG00000021605
poecilia_reticulata ENSPREG00000008897
fundulus_heteroclitus ENSFHEG00000014223
cyprinodon_variegatus ENSCVAG00000005563
oryzias_latipes ENSORLG00000004630
oryzias_latipes ENSORLG00020018448
oryzias_latipes_asm223469v1 ENSORLG00015016336
oryzias_melastigma ENSOMEG00000005150
maylandia_zebra ENSMZEG00005004756
astatotilapia_calliptera ENSACLG00000027570
pundamilia_nyererei ENSPNYG00000021962
haplochromis_burtoni ENSHBUG00000022267
neolamprologus_brichardi ENSNBRG00000013170
oreochromis_niloticus ENSONIG00000021017
amphilophus_citrinellus ENSACIG00000019633
kryptolebias_marmoratus ENSKMAG00000018797
amphiprion_percula ENSAPEG00000013017
amphiprion_ocellaris ENSAOCG00000017683
acanthochromis_polyacanthus ENSAPOG00000024035
stegastes_partitus ENSSPAG00000007740
mastacembelus_armatus ENSMAMG00000004263
monopterus_albus ENSMALG00000010122
anabas_testudineus ENSATEG00000002005
seriola_dumerili ENSSDUG00000011619
seriola_lalandi_dorsalis ENSSLDG00000012580
scophthalmus_maximus ENSSMAG00000003494
gasterosteus_aculeatus ENSGACG00000015027
labrus_bergylta ENSLBEG00000003186
mola_mola ENSMMOG00000007115
cynoglossus_semilaevis ENSCSEG00000011136
takifugu_rubripes ENSTRUG00000014112
hippocampus_comes ENSHCOG00000014065
periophthalmus_magnuspinnatus ENSPMGG00000017940
gadus_morhua ENSGMOG00000002657
esox_lucius ENSELUG00000020844
pygocentrus_nattereri ENSPNAG00000021308
astyanax_mexicanus ENSAMXG00000024892
ictalurus_punctatus ENSIPUG00000005310
danio_rerio ENSDARG00000103359
scophthalmus_maximus ENSSMAG00000016864
cynoglossus_semilaevis ENSCSEG00000009803
seriola_lalandi_dorsalis ENSSLDG00000001496
seriola_dumerili ENSSDUG00000002696
monopterus_albus ENSMALG00000011566
mastacembelus_armatus ENSMAMG00000012925
anabas_testudineus ENSATEG00000013852
tetraodon_nigroviridis ENSTNIG00000013969
takifugu_rubripes ENSTRUG00000024536
mola_mola ENSMMOG00000020096
gasterosteus_aculeatus ENSGACG00000004074
labrus_bergylta ENSLBEG00000019950
xiphophorus_couchianus ENSXCOG00000019068
xiphophorus_maculatus ENSXMAG00000019571
poecilia_formosa ENSPFOG00000020148
poecilia_latipinna ENSPLAG00000022353
poecilia_mexicana ENSPMEG00000001158
poecilia_reticulata ENSPREG00000002212
gambusia_affinis ENSGAFG00000001371
fundulus_heteroclitus ENSFHEG00000022007
cyprinodon_variegatus ENSCVAG00000011413
kryptolebias_marmoratus ENSKMAG00000017197
oryzias_latipes ENSORLG00020018288
oryzias_latipes ENSORLG00000030030
oryzias_latipes_asm223469v1 ENSORLG00015012180
oryzias_melastigma ENSOMEG00000006404
amphiprion_ocellaris ENSAOCG00000014990
amphiprion_percula ENSAPEG00000023873
acanthochromis_polyacanthus ENSAPOG00000022429
stegastes_partitus ENSSPAG00000008408
astatotilapia_calliptera ENSACLG00000007373
maylandia_zebra ENSMZEG00005002961
haplochromis_burtoni ENSHBUG00000022297
pundamilia_nyererei ENSPNYG00000011192
neolamprologus_brichardi ENSNBRG00000009393
oreochromis_niloticus ENSONIG00000020677
amphilophus_citrinellus ENSACIG00000018858
hippocampus_comes ENSHCOG00000014758
periophthalmus_magnuspinnatus ENSPMGG00000012035
esox_lucius ENSELUG00000016167
pygocentrus_nattereri ENSPNAG00000025996
astyanax_mexicanus ENSAMXG00000035301
ictalurus_punctatus ENSIPUG00000014897
danio_rerio ENSDARG00000074153
paramormyrops_kingsleyae ENSPKIG00000006493
scleropages_formosus ENSSFOG00015003276
paramormyrops_kingsleyae ENSPKIG00000003170
lepisosteus_oculatus ENSLOCG00000017782
eptatretus_burgeri ENSEBUG00000008040
