peromyscus_maniculatus_bairdii ENSPEMG00000012441
castor_canadensis ENSCCNG00000005396
otolemur_garnettii ENSOGAG00000025028
ovis_aries ENSOARG00000015743
capra_hircus ENSCHIG00000023798
bos_taurus ENSBTAG00000032374
bos_mutus ENSBMUG00000024512
bison_bison_bison ENSBBBG00000018184
tursiops_truncatus ENSTTRG00000017289
vicugna_pacos ENSVPAG00000012551
erinaceus_europaeus ENSEEUG00000003812
panthera_tigris_altaica ENSPTIG00000008166
panthera_pardus ENSPPRG00000006338
felis_catus ENSFCAG00000005624
sorex_araneus ENSSARG00000008126
myotis_lucifugus ENSMLUG00000012622
myotis_lucifugus ENSMLUG00000027055
ursus_americanus ENSUAMG00000013921
ailuropoda_melanoleuca ENSAMEG00000002476
neovison_vison ENSNVIG00000022708
canis_lupus_dingo ENSCAFG00020005077
vulpes_vulpes ENSVVUG00000003251
ursus_maritimus ENSUMAG00000020067
vulpes_vulpes ENSVVUG00000020789
dipodomys_ordii ENSDORG00000007785
dasypus_novemcinctus ENSDNOG00000035341
notamacropus_eugenii ENSMEUG00000008224
phascolarctos_cinereus ENSPCIG00000029342
sarcophilus_harrisii ENSSHAG00000016223
monodelphis_domestica ENSMODG00000012495
ornithorhynchus_anatinus ENSOANG00000006397
notechis_scutatus ENSNSUG00000020206
pogona_vitticeps ENSPVIG00000006498
sphenodon_punctatus ENSSPUG00000018736
taeniopygia_guttata ENSTGUG00000006957
lonchura_striata_domestica ENSLSDG00000010282
serinus_canaria ENSSCAG00000002405
junco_hyemalis ENSJHYG00000012703
zonotrichia_albicollis ENSZALG00000017067
parus_major ENSPMJG00000012568
cyanistes_caeruleus ENSCCEG00000024196
ficedula_albicollis ENSFALG00000008576
manacus_vitellinus ENSMVIG00005002218
lepidothrix_coronata ENSLCOG00000009226
calidris_pygmaea ENSCPGG00000019252
calidris_pugnax ENSCPUG00000016483
melopsittacus_undulatus ENSMUNG00000014086
anser_brachyrhynchus ENSABRG00000005315
anas_platyrhynchos_platyrhynchos ENSAPLG00000012969
meleagris_gallopavo ENSMGAG00000006049
coturnix_japonica ENSCJPG00005012908
gallus_gallus ENSGALG00000005391
numida_meleagris ENSNMEG00000017336
dromaius_novaehollandiae ENSDNVG00000014252
nothoprocta_perdicaria ENSNPEG00000008528
apteryx_owenii ENSAOWG00000010374
apteryx_rowi ENSARWG00000005995
apteryx_haastii ENSAHAG00000009213
crocodylus_porosus ENSCPRG00005018994
chelonoidis_abingdonii ENSCABG00000011789
gopherus_agassizii ENSGAGG00000016482
chrysemys_picta_bellii ENSCPBG00000021424
pelodiscus_sinensis ENSPSIG00000003371
xenopus_tropicalis ENSXETG00000025473
latimeria_chalumnae ENSLACG00000010248
pygocentrus_nattereri ENSPNAG00000011419
astyanax_mexicanus ENSAMXG00000014949
ictalurus_punctatus ENSIPUG00000024390
danio_rerio ENSDARG00000100823
pundamilia_nyererei ENSPNYG00000009735
maylandia_zebra ENSMZEG00005021056
haplochromis_burtoni ENSHBUG00000005038
oreochromis_niloticus ENSONIG00000001846
amphilophus_citrinellus ENSACIG00000002549
cyprinodon_variegatus ENSCVAG00000000054
fundulus_heteroclitus ENSFHEG00000022568
xiphophorus_maculatus ENSXMAG00000019293
xiphophorus_couchianus ENSXCOG00000003129
gambusia_affinis ENSGAFG00000019063
poecilia_formosa ENSPFOG00000004067
poecilia_latipinna ENSPLAG00000004220
poecilia_mexicana ENSPMEG00000010844
poecilia_reticulata ENSPREG00000023015
kryptolebias_marmoratus ENSKMAG00000011423
monopterus_albus ENSMALG00000004274
takifugu_rubripes ENSTRUG00000006561
tetraodon_nigroviridis ENSTNIG00000012023
mola_mola ENSMMOG00000016273
scophthalmus_maximus ENSSMAG00000011822
oryzias_latipes ENSORLG00000003338
oryzias_latipes_asm223469v1 ENSORLG00015011445
oryzias_latipes ENSORLG00020017889
oryzias_melastigma ENSOMEG00000007049
labrus_bergylta ENSLBEG00000011151
gasterosteus_aculeatus ENSGACG00000005903
hippocampus_comes ENSHCOG00000002541
amphiprion_ocellaris ENSAOCG00000021255
amphiprion_percula ENSAPEG00000000477
stegastes_partitus ENSSPAG00000006503
acanthochromis_polyacanthus ENSAPOG00000012044
mastacembelus_armatus ENSMAMG00000016831
seriola_lalandi_dorsalis ENSSLDG00000024581
seriola_dumerili ENSSDUG00000000460
cynoglossus_semilaevis ENSCSEG00000005585
esox_lucius ENSELUG00000012194
scleropages_formosus ENSSFOG00015019300
lepisosteus_oculatus ENSLOCG00000014164
eptatretus_burgeri ENSEBUG00000015124
ciona_intestinalis ENSCING00000019637
caenorhabditis_elegans_strain_n2 WBGene00012766
