nothoprocta_perdicaria ENSNPEG00000002150
chrysemys_picta_bellii ENSCPBG00000021219
sphenodon_punctatus ENSSPUG00000017273
xenopus_tropicalis ENSXETG00000018304
notechis_scutatus ENSNSUG00000000949
pogona_vitticeps ENSPVIG00000018945
salvator_merianae ENSSMRG00000022715
latimeria_chalumnae ENSLACG00000013284
junco_hyemalis ENSJHYG00000001891
lonchura_striata_domestica ENSLSDG00000008423
lepidothrix_coronata ENSLCOG00000005358
lepidothrix_coronata ENSLCOG00000004437
ficedula_albicollis ENSFALG00000003336
parus_major ENSPMJG00000002748
anas_platyrhynchos_platyrhynchos ENSAPLG00000004931
anser_brachyrhynchus ENSABRG00000021391
gallus_gallus ENSGALG00000002191
coturnix_japonica ENSCJPG00005011354
lepisosteus_oculatus ENSLOCG00000009674
scleropages_formosus ENSSFOG00015004528
apteryx_rowi ENSARWG00000004778
ictalurus_punctatus ENSIPUG00000019432
gadus_morhua ENSGMOG00000000447
paramormyrops_kingsleyae ENSPKIG00000017149
paramormyrops_kingsleyae ENSPKIG00000023925
scleropages_formosus ENSSFOG00015007087
pygocentrus_nattereri ENSPNAG00000026910
astyanax_mexicanus ENSAMXG00000043493
danio_rerio ENSDARG00000017615
esox_lucius ENSELUG00000001456
labrus_bergylta ENSLBEG00000011513
cynoglossus_semilaevis ENSCSEG00000006797
anabas_testudineus ENSATEG00000011575
seriola_lalandi_dorsalis ENSSLDG00000000339
seriola_dumerili ENSSDUG00000013872
mastacembelus_armatus ENSMAMG00000003313
monopterus_albus ENSMALG00000014607
amphiprion_percula ENSAPEG00000012702
amphiprion_ocellaris ENSAOCG00000002398
acanthochromis_polyacanthus ENSAPOG00000020114
stegastes_partitus ENSSPAG00000018555
astatotilapia_calliptera ENSACLG00000013249
maylandia_zebra ENSMZEG00005002364
haplochromis_burtoni ENSHBUG00000009797
pundamilia_nyererei ENSPNYG00000017813
neolamprologus_brichardi ENSNBRG00000005752
oreochromis_niloticus ENSONIG00000005019
amphilophus_citrinellus ENSACIG00000005813
scophthalmus_maximus ENSSMAG00000018955
gasterosteus_aculeatus ENSGACG00000017882
takifugu_rubripes ENSTRUG00000010456
tetraodon_nigroviridis ENSTNIG00000013111
mola_mola ENSMMOG00000003345
xiphophorus_maculatus ENSXMAG00000011421
xiphophorus_couchianus ENSXCOG00000002331
gambusia_affinis ENSGAFG00000003504
poecilia_formosa ENSPFOG00000006469
poecilia_latipinna ENSPLAG00000009943
poecilia_mexicana ENSPMEG00000006808
poecilia_reticulata ENSPREG00000018716
fundulus_heteroclitus ENSFHEG00000014269
cyprinodon_variegatus ENSCVAG00000008832
kryptolebias_marmoratus ENSKMAG00000012607
oryzias_latipes ENSORLG00020015903
oryzias_latipes ENSORLG00000003952
oryzias_latipes_asm223469v1 ENSORLG00015020166
oryzias_melastigma ENSOMEG00000021930
hippocampus_comes ENSHCOG00000010783
periophthalmus_magnuspinnatus ENSPMGG00000006035
gadus_morhua ENSGMOG00000019625
esox_lucius ENSELUG00000017208
pygocentrus_nattereri ENSPNAG00000027039
astyanax_mexicanus ENSAMXG00000038858
ictalurus_punctatus ENSIPUG00000008033
danio_rerio ENSDARG00000100401
eptatretus_burgeri ENSEBUG00000012904
ciona_intestinalis ENSCING00000006177
