electrophorus_electricus ENSEEEG00000014386
crocodylus_porosus ENSCPRG00005005187
pogona_vitticeps ENSPVIG00000005372
anolis_carolinensis ENSACAG00000014548
notechis_scutatus ENSNSUG00000003736
salvator_merianae ENSSMRG00000004326
sphenodon_punctatus ENSSPUG00000016940
gallus_gallus ENSGALG00000016476
coturnix_japonica ENSCJPG00005011143
numida_meleagris ENSNMEG00000005577
taeniopygia_guttata ENSTGUG00000013135
serinus_canaria ENSSCAG00000013359
ficedula_albicollis ENSFALG00000001778
manacus_vitellinus ENSMVIG00005002734
cyanistes_caeruleus ENSCCEG00000010756
apteryx_rowi ENSARWG00000013049
apteryx_owenii ENSAOWG00000006969
apteryx_haastii ENSAHAG00000005227
dromaius_novaehollandiae ENSDNVG00000006787
calidris_pygmaea ENSCPGG00000016265
calidris_pugnax ENSCPUG00000004533
junco_hyemalis ENSJHYG00000001361
lonchura_striata ENSLSDG00000000096
parus_major ENSPMJG00000012491
lepidothrix_coronata ENSLCOG00000001099
melopsittacus_undulatus ENSMUNG00000010640
anser_brachyrhynchus ENSABRG00000016193
anas_platyrhynchos ENSAPLG00000007719
nothoprocta_perdicaria ENSNPEG00000009114
fukomys_damarensis ENSFDAG00000006490
castor_canadensis ENSCCNG00000023237
echinops_telfairi ENSETEG00000017984
dasypus_novemcinctus ENSDNOG00000038576
dasypus_novemcinctus ENSDNOG00000043032
dasypus_novemcinctus ENSDNOG00000036441
dasypus_novemcinctus ENSDNOG00000003567
dasypus_novemcinctus ENSDNOG00000045402
choloepus_hoffmanni ENSCHOG00000012024
nannospalax_galili ENSNGAG00000011876
jaculus_jaculus ENSJJAG00000022107
cavia_porcellus ENSCPOG00000033658
cavia_aperea ENSCAPG00000014695
octodon_degus ENSODEG00000009280
chinchilla_lanigera ENSCLAG00000009839
heterocephalus_glaber ENSHGLG00100015043
heterocephalus_glaber ENSHGLG00000005960
piliocolobus_tephrosceles ENSPTEG00000014466
oryctolagus_cuniculus ENSOCUG00000003731
marmota_marmota ENSMMMG00000022212
tupaia_belangeri ENSTBEG00000008079
carlito_syrichta ENSTSYG00000000871
ursus_americanus ENSUAMG00000007348
ursus_maritimus ENSUMAG00000023371
ailuropoda_melanoleuca ENSAMEG00000002717
canis_lupus ENSCAFG00020026024
canis_lupus ENSCAFG00000023413
vulpes_vulpes ENSVVUG00000014817
neovison_vison ENSNVIG00000013413
mustela_putorius ENSMPUG00000013701
panthera_pardus ENSPPRG00000021136
panthera_tigris ENSPTIG00000012474
felis_catus ENSFCAG00000037766
equus_asinus ENSEASG00005009395
equus_caballus ENSECAG00000013048
bos_indicus ENSBIXG00000021424
bos_indicus ENSBIXG00005025110
bos_taurus ENSBTAG00000015587
bison_bison ENSBBBG00000006785
capra_hircus ENSCHIG00000025091
ovis_aries ENSOARG00000016954
vicugna_pacos ENSVPAG00000005626
tursiops_truncatus ENSTTRG00000017101
myotis_lucifugus ENSMLUG00000001415
macaca_fascicularis ENSMFAG00000040343
macaca_mulatta ENSMMUG00000001570
macaca_nemestrina ENSMNEG00000032654
papio_anubis ENSPANG00000015095
mandrillus_leucophaeus ENSMLEG00000034466
cercocebus_atys ENSCATG00000043877
theropithecus_gelada ENSTGEG00000017865
chlorocebus_sabaeus ENSCSAG00000008028
rhinopithecus_roxellana ENSRROG00000013709
rhinopithecus_bieti ENSRBIG00000037642
colobus_angolensis ENSCANG00000039536
pan_troglodytes ENSPTRG00000011685
pan_paniscus ENSPPAG00000035271
homo_sapiens ENSG00000183891
gorilla_gorilla ENSGGOG00000009777
pongo_abelii ENSPPYG00000012623
nomascus_leucogenys ENSNLEG00000030350
saimiri_boliviensis ENSSBOG00000024543
cebus_capucinus ENSCCAG00000025284
callithrix_jacchus ENSCJAG00000065690
aotus_nancymaae ENSANAG00000023460
aotus_nancymaae ENSANAG00000018090
prolemur_simus ENSPSMG00000007425
microcebus_murinus ENSMICG00000041804
propithecus_coquereli ENSPCOG00000028173
microcebus_murinus ENSMICG00000028899
otolemur_garnettii ENSOGAG00000002990
urocitellus_parryii ENSUPAG00010009436
ictidomys_tridecemlineatus ENSSTOG00000007140
spermophilus_dauricus ENSSDAG00000005096
pteropus_vampyrus ENSPVAG00000002897
loxodonta_africana ENSLAFG00000014830
mus_musculus ENSMUSG00000066637
mus_spicilegus ENSMSIG00000003695
mus_spretus MGP_SPRETEiJ_G0018452
mus_caroli MGP_CAROLIEiJ_G0017608
mus_pahari MGP_PahariEiJ_G0029366
rattus_norvegicus ENSRNOG00000049088
meriones_unguiculatus ENSMUGG00000012111
cricetulus_griseus ENSCGRG00000004961
cricetulus_griseus ENSCGRG00001007763
cricetulus_griseus ENSCGRG00015001244
mesocricetus_auratus ENSMAUG00000018447
microtus_ochrogaster ENSMOCG00000021911
peromyscus_maniculatus ENSPEMG00000027871
dipodomys_ordii ENSDORG00000029568
choloepus_hoffmanni ENSCHOG00000005880
sarcophilus_harrisii ENSSHAG00000007701
monodelphis_domestica ENSMODG00000010097
vombatus_ursinus ENSVURG00010023802
phascolarctos_cinereus ENSPCIG00000035406
notamacropus_eugenii ENSMEUG00000012506
notamacropus_eugenii ENSMEUG00000000609
xenopus_tropicalis ENSXETG00000007677
callorhinchus_milii ENSCMIG00000004884
eptatretus_burgeri ENSEBUG00000003404
