numida_meleagris ENSNMEG00000003953
ovis_aries ENSOARG00000011006
capra_hircus ENSCHIG00000024450
ovis_aries ENSOARG00000013839
capra_hircus ENSCHIG00000014697
urocitellus_parryii ENSUPAG00010014501
ictidomys_tridecemlineatus ENSSTOG00000013562
spermophilus_dauricus ENSSDAG00000017431
castor_canadensis ENSCCNG00000025903
heterocephalus_glaber_male ENSHGLG00100014969
heterocephalus_glaber_female ENSHGLG00000016220
fukomys_damarensis ENSFDAG00000017919
octodon_degus ENSODEG00000016983
cavia_porcellus ENSCPOG00000031905
chinchilla_lanigera ENSCLAG00000013347
marmota_marmota_marmota ENSMMMG00000001520
oryctolagus_cuniculus ENSOCUG00000002023
ochotona_princeps ENSOPRG00000010650
microcebus_murinus ENSMICG00000014063
microcebus_murinus ENSMICG00000029296
propithecus_coquereli ENSPCOG00000014818
prolemur_simus ENSPSMG00000006972
pan_troglodytes ENSPTRG00000018075
pan_paniscus ENSPPAG00000041432
homo_sapiens ENSG00000064995
gorilla_gorilla ENSGGOG00000012371
pongo_abelii ENSPPYG00000016521
nomascus_leucogenys ENSNLEG00000008457
mandrillus_leucophaeus ENSMLEG00000023789
cercocebus_atys ENSCATG00000036264
papio_anubis ENSPANG00000009105
theropithecus_gelada ENSTGEG00000029504
macaca_mulatta ENSMMUG00000021715
macaca_nemestrina ENSMNEG00000032309
macaca_fascicularis ENSMFAG00000035760
chlorocebus_sabaeus ENSCSAG00000019686
chlorocebus_sabaeus ENSCSAG00000009843
rhinopithecus_roxellana ENSRROG00000008937
rhinopithecus_bieti ENSRBIG00000021601
colobus_angolensis_palliatus ENSCANG00000038499
piliocolobus_tephrosceles ENSPTEG00000030242
cebus_capucinus ENSCCAG00000027206
callithrix_jacchus ENSCJAG00000015388
saimiri_boliviensis_boliviensis ENSSBOG00000034253
aotus_nancymaae ENSANAG00000038167
rhinopithecus_roxellana ENSRROG00000030996
rhinopithecus_bieti ENSRBIG00000042273
colobus_angolensis_palliatus ENSCANG00000039460
macaca_mulatta ENSMMUG00000029012
macaca_fascicularis ENSMFAG00000003601
mandrillus_leucophaeus ENSMLEG00000028120
cercocebus_atys ENSCATG00000030271
nomascus_leucogenys ENSNLEG00000031538
saimiri_boliviensis_boliviensis ENSSBOG00000033193
carlito_syrichta ENSTSYG00000035863
otolemur_garnettii ENSOGAG00000008522
jaculus_jaculus ENSJJAG00000022698
jaculus_jaculus ENSJJAG00000004119
nannospalax_galili ENSNGAG00000016936
peromyscus_maniculatus_bairdii ENSPEMG00000010291
cricetulus_griseus_crigri ENSCGRG00000004399
marmota_marmota_marmota ENSMMMG00000024321
callithrix_jacchus ENSCJAG00000038636
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022223
mus_musculus ENSMUSG00000024218
mus_spicilegus ENSMSIG00000006531
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021310
mus_pahari MGP_PahariEiJ_G0023628
rattus_norvegicus ENSRNOG00000024601
meriones_unguiculatus ENSMUGG00000019099
peromyscus_maniculatus_bairdii ENSPEMG00000025271
microtus_ochrogaster ENSMOCG00000014739
cricetulus_griseus_chok1gshd ENSCGRG00001000736
cricetulus_griseus_crigri-picr ENSCGRG00015014386
mesocricetus_auratus ENSMAUG00000012684
dipodomys_ordii ENSDORG00000009352
dipodomys_ordii ENSDORG00000015409
tupaia_belangeri ENSTBEG00000016935
erinaceus_europaeus ENSEEUG00000006900
loxodonta_africana ENSLAFG00000011482
echinops_telfairi ENSETEG00000013891
dasypus_novemcinctus ENSDNOG00000011315
pteropus_vampyrus ENSPVAG00000015600
capra_hircus ENSCHIG00000000150
monodelphis_domestica ENSMODG00000024527
monodelphis_domestica ENSMODG00000009479
sarcophilus_harrisii ENSSHAG00000004697
phascolarctos_cinereus ENSPCIG00000022408
monodelphis_domestica ENSMODG00000013873
ornithorhynchus_anatinus ENSOANG00000013388
notechis_scutatus ENSNSUG00000011911
anolis_carolinensis ENSACAG00000001573
salvator_merianae ENSSMRG00000000997
sphenodon_punctatus ENSSPUG00000002434
gopherus_agassizii ENSGAGG00000003039
chelonoidis_abingdonii ENSCABG00000006355
chrysemys_picta_bellii ENSCPBG00000027153
pelodiscus_sinensis ENSPSIG00000005038
xenopus_tropicalis ENSXETG00000030212
latimeria_chalumnae ENSLACG00000014066
astyanax_mexicanus ENSAMXG00000011327
pygocentrus_nattereri ENSPNAG00000021557
ictalurus_punctatus ENSIPUG00000013720
danio_rerio ENSDARG00000037855
labrus_bergylta ENSLBEG00000009596
scophthalmus_maximus ENSSMAG00000005281
haplochromis_burtoni ENSHBUG00000008209
pundamilia_nyererei ENSPNYG00000018423
neolamprologus_brichardi ENSNBRG00000012729
oreochromis_niloticus ENSONIG00000016989
maylandia_zebra ENSMZEG00005026214
amphilophus_citrinellus ENSACIG00000000045
mastacembelus_armatus ENSMAMG00000024164
amphiprion_percula ENSAPEG00000017987
amphiprion_ocellaris ENSAOCG00000023354
acanthochromis_polyacanthus ENSAPOG00000014989
stegastes_partitus ENSSPAG00000005652
kryptolebias_marmoratus ENSKMAG00000010780
gasterosteus_aculeatus ENSGACG00000003275
mola_mola ENSMMOG00000014956
monopterus_albus ENSMALG00000022437
anabas_testudineus ENSATEG00000019727
seriola_dumerili ENSSDUG00000019473
seriola_lalandi_dorsalis ENSSLDG00000008190
cynoglossus_semilaevis ENSCSEG00000017802
periophthalmus_magnuspinnatus ENSPMGG00000004237
gambusia_affinis ENSGAFG00000003600
xiphophorus_maculatus ENSXMAG00000016646
poecilia_mexicana ENSPMEG00000022080
poecilia_formosa ENSPFOG00000008998
poecilia_latipinna ENSPLAG00000009242
poecilia_reticulata ENSPREG00000005401
xiphophorus_couchianus ENSXCOG00000012935
fundulus_heteroclitus ENSFHEG00000008968
cyprinodon_variegatus ENSCVAG00000022925
oryzias_latipes ENSORLG00020000417
oryzias_latipes ENSORLG00000013132
oryzias_latipes_asm223469v1 ENSORLG00015009934
oryzias_melastigma ENSOMEG00000005158
takifugu_rubripes ENSTRUG00000021221
tetraodon_nigroviridis ENSTNIG00000012579
hippocampus_comes ENSHCOG00000020114
gadus_morhua ENSGMOG00000010004
esox_lucius ENSELUG00000019055
scleropages_formosus ENSSFOG00015003828
paramormyrops_kingsleyae ENSPKIG00000022237
lepisosteus_oculatus ENSLOCG00000010021
petromyzon_marinus ENSPMAG00000004027
eptatretus_burgeri ENSEBUG00000012040
bos_taurus ENSBTAG00000053920
bos_taurus ENSBTAG00000048368
bos_taurus ENSBTAG00000054794
bos_taurus ENSBTAG00000049990
bos_taurus ENSBTAG00000051411
bos_taurus ENSBTAG00000049086
bos_taurus ENSBTAG00000055246
bos_mutus ENSBMUG00000013001
bos_taurus ENSBTAG00000049518
bison_bison_bison ENSBBBG00000020182
ovis_aries ENSOARG00000005751
sus_scrofa ENSSSCG00000035789
sus_scrofa ENSSSCG00000037223
myotis_lucifugus ENSMLUG00000027425
equus_caballus ENSECAG00000005030
equus_asinus_asinus ENSEASG00005007184
homo_sapiens ENSG00000249156
homo_sapiens ENSG00000283740
gorilla_gorilla ENSGGOG00000037119
homo_sapiens ENSG00000249662
pan_troglodytes ENSPTRG00000052795
homo_sapiens ENSG00000284373
homo_sapiens ENSG00000250782
homo_sapiens ENSG00000284283
homo_sapiens ENSG00000284439
homo_sapiens ENSG00000283988
homo_sapiens ENSG00000284042
homo_sapiens ENSG00000284356
homo_sapiens ENSG00000284234
homo_sapiens ENSG00000284465
homo_sapiens ENSG00000283967
gorilla_gorilla ENSGGOG00000024293
homo_sapiens ENSG00000283776
pan_paniscus ENSPPAG00000042399
pongo_abelii ENSPPYG00000015361
nomascus_leucogenys ENSNLEG00000028080
chlorocebus_sabaeus ENSCSAG00000018989
chlorocebus_sabaeus ENSCSAG00000018991
theropithecus_gelada ENSTGEG00000003200
mandrillus_leucophaeus ENSMLEG00000031511
macaca_mulatta ENSMMUG00000045332
macaca_mulatta ENSMMUG00000042623
macaca_mulatta ENSMMUG00000039775
theropithecus_gelada ENSTGEG00000017173
theropithecus_gelada ENSTGEG00000029330
papio_anubis ENSPANG00000030137
cercocebus_atys ENSCATG00000032022
caenorhabditis_elegans_strain_n2 WBGene00006393
caenorhabditis_elegans_strain_n2 WBGene00006394
drosophila_melanogaster FBgn0011291
saccharomyces_cerevisiae YML015C
