heterocephalus_glaber_female ENSHGLG00000013454
lonchura_striata_domestica ENSLSDG00000002939
ficedula_albicollis ENSFALG00000001913
melopsittacus_undulatus ENSMUNG00000004108
calidris_pugnax ENSCPUG00000018822
junco_hyemalis ENSJHYG00000004009
zonotrichia_albicollis ENSZALG00000008064
taeniopygia_guttata ENSTGUG00000013134
calidris_pygmaea ENSCPGG00000008957
apteryx_owenii ENSAOWG00000001135
apteryx_rowi ENSARWG00000007931
apteryx_haastii ENSAHAG00000000408
dromaius_novaehollandiae ENSDNVG00000006948
nothoprocta_perdicaria ENSNPEG00000015020
crocodylus_porosus ENSCPRG00005018656
pogona_vitticeps ENSPVIG00000012003
notechis_scutatus ENSNSUG00000019323
salvator_merianae ENSSMRG00000009494
sphenodon_punctatus ENSSPUG00000003735
serinus_canaria ENSSCAG00000001814
gallus_gallus ENSGALG00000012374
anolis_carolinensis ENSACAG00000017890
cyanistes_caeruleus ENSCCEG00000001428
gopherus_agassizii ENSGAGG00000004943
chelonoidis_abingdonii ENSCABG00000006523
chrysemys_picta_bellii ENSCPBG00000021133
pelodiscus_sinensis ENSPSIG00000008033
xenopus_tropicalis ENSXETG00000016491
latimeria_chalumnae ENSLACG00000015755
oryzias_latipes ENSORLG00020004136
oryzias_latipes ENSORLG00000008880
oryzias_latipes_asm223469v1 ENSORLG00015022988
oryzias_melastigma ENSOMEG00000023297
cyprinodon_variegatus ENSCVAG00000006600
periophthalmus_magnuspinnatus ENSPMGG00000009555
hippocampus_comes ENSHCOG00000017046
takifugu_rubripes ENSTRUG00000007277
tetraodon_nigroviridis ENSTNIG00000019327
mola_mola ENSMMOG00000010111
scophthalmus_maximus ENSSMAG00000012661
pundamilia_nyererei ENSPNYG00000008878
haplochromis_burtoni ENSHBUG00000017143
maylandia_zebra ENSMZEG00005012459
astatotilapia_calliptera ENSACLG00000002388
neolamprologus_brichardi ENSNBRG00000006621
oreochromis_niloticus ENSONIG00000000556
monopterus_albus ENSMALG00000021730
xiphophorus_maculatus ENSXMAG00000014965
xiphophorus_couchianus ENSXCOG00000003947
gambusia_affinis ENSGAFG00000018521
poecilia_formosa ENSPFOG00000016189
poecilia_mexicana ENSPMEG00000023815
poecilia_latipinna ENSPLAG00000014332
poecilia_reticulata ENSPREG00000017254
fundulus_heteroclitus ENSFHEG00000003571
cynoglossus_semilaevis ENSCSEG00000007314
gasterosteus_aculeatus ENSGACG00000012008
amphilophus_citrinellus ENSACIG00000009751
kryptolebias_marmoratus ENSKMAG00000017721
labrus_bergylta ENSLBEG00000003829
amphiprion_ocellaris ENSAOCG00000016399
amphiprion_percula ENSAPEG00000010495
acanthochromis_polyacanthus ENSAPOG00000000875
stegastes_partitus ENSSPAG00000018319
seriola_dumerili ENSSDUG00000007173
seriola_lalandi_dorsalis ENSSLDG00000002660
mastacembelus_armatus ENSMAMG00000000211
anabas_testudineus ENSATEG00000001014
gadus_morhua ENSGMOG00000014492
esox_lucius ENSELUG00000018391
pygocentrus_nattereri ENSPNAG00000002800
astyanax_mexicanus ENSAMXG00000029589
ictalurus_punctatus ENSIPUG00000020133
danio_rerio ENSDARG00000002332
scleropages_formosus ENSSFOG00015009564
paramormyrops_kingsleyae ENSPKIG00000004763
lepisosteus_oculatus ENSLOCG00000011982
anolis_carolinensis ENSACAG00000008467
pogona_vitticeps ENSPVIG00000008894
salvator_merianae ENSSMRG00000022159
sphenodon_punctatus ENSSPUG00000002891
gallus_gallus ENSGALG00000011296
meleagris_gallopavo ENSMGAG00000012266
coturnix_japonica ENSCJPG00005003972
anser_brachyrhynchus ENSABRG00000019349
anas_platyrhynchos_platyrhynchos ENSAPLG00000016171
calidris_pugnax ENSCPUG00000012050
calidris_pygmaea ENSCPGG00000007914
manacus_vitellinus ENSMVIG00005014031
cyanistes_caeruleus ENSCCEG00000002887
parus_major ENSPMJG00000001768
serinus_canaria ENSSCAG00000003268
junco_hyemalis ENSJHYG00000006516
zonotrichia_albicollis ENSZALG00000016316
ficedula_albicollis ENSFALG00000012363
melopsittacus_undulatus ENSMUNG00000001621
dromaius_novaehollandiae ENSDNVG00000014867
crocodylus_porosus ENSCPRG00005017434
gopherus_agassizii ENSGAGG00000017107
chelonoidis_abingdonii ENSCABG00000009988
chrysemys_picta_bellii ENSCPBG00000012522
pelodiscus_sinensis ENSPSIG00000003374
latimeria_chalumnae ENSLACG00000001478
lepisosteus_oculatus ENSLOCG00000016209
petromyzon_marinus ENSPMAG00000005743
eptatretus_burgeri ENSEBUG00000011345
petromyzon_marinus ENSPMAG00000003214
eptatretus_burgeri ENSEBUG00000010215
