nothoprocta_perdicaria ENSNPEG00000006067
oryzias_latipes ENSORLG00000018963
oryzias_latipes ENSORLG00015008870
oryzias_latipes ENSORLG00020016279
oryzias_melastigma ENSOMEG00000002710
gouania_willdenowi ENSGWIG00000000473
cyprinodon_variegatus ENSCVAG00000016574
xiphophorus_couchianus ENSXCOG00000010926
periophthalmus_magnuspinnatus ENSPMGG00000000137
amphiprion_ocellaris ENSAOCG00000016410
amphiprion_percula ENSAPEG00000010315
acanthochromis_polyacanthus ENSAPOG00000002479
stegastes_partitus ENSSPAG00000011507
parambassis_ranga ENSPRNG00000010925
maylandia_zebra ENSMZEG00005001733
pundamilia_nyererei ENSPNYG00000002782
haplochromis_burtoni ENSHBUG00000019301
astatotilapia_calliptera ENSACLG00000002655
oreochromis_niloticus ENSONIG00000012576
neolamprologus_brichardi ENSNBRG00000009263
amphilophus_citrinellus ENSACIG00000017062
xiphophorus_maculatus ENSXMAG00000022386
gambusia_affinis ENSGAFG00000005587
poecilia_formosa ENSPFOG00000015863
poecilia_mexicana ENSPMEG00000022398
poecilia_latipinna ENSPLAG00000004679
poecilia_reticulata ENSPREG00000008127
fundulus_heteroclitus ENSFHEG00000009043
kryptolebias_marmoratus ENSKMAG00000006363
mastacembelus_armatus ENSMAMG00000002905
monopterus_albus ENSMALG00000003618
anabas_testudineus ENSATEG00000007757
betta_splendens ENSBSLG00000008666
seriola_dumerili ENSSDUG00000017040
seriola_lalandi ENSSLDG00000008847
scophthalmus_maximus ENSSMAG00000014837
lates_calcarifer ENSLCAG00010009580
cottoperca_gobio ENSCGOG00000006268
gasterosteus_aculeatus ENSGACG00000004296
labrus_bergylta ENSLBEG00000006551
takifugu_rubripes ENSTRUG00000012756
tetraodon_nigroviridis ENSTNIG00000010213
mola_mola ENSMMOG00000009680
larimichthys_crocea ENSLCRG00005015862
hippocampus_comes ENSHCOG00000016888
gadus_morhua ENSGMOG00000013856
scleropages_formosus ENSSFOG00015011196
paramormyrops_kingsleyae ENSPKIG00000022530
scleropages_formosus ENSSFOG00015014819
paramormyrops_kingsleyae ENSPKIG00000020446
lepisosteus_oculatus ENSLOCG00000007352
erpetoichthys_calabaricus ENSECRG00000015978
eptatretus_burgeri ENSEBUG00000007446
drosophila_melanogaster FBgn0031174
caenorhabditis_elegans WBGene00007593
