danio_rerio ENSDARG00000109022
chinchilla_lanigera ENSCLAG00000012915
octodon_degus ENSODEG00000017279
cavia_porcellus ENSCPOG00000015400
cavia_aperea ENSCAPG00000015047
oryctolagus_cuniculus ENSOCUG00000006883
ochotona_princeps ENSOPRG00000002108
pan_troglodytes ENSPTRG00000016806
gorilla_gorilla ENSGGOG00000034954
homo_sapiens ENSG00000082068
pongo_abelii ENSPPYG00000015408
nomascus_leucogenys ENSNLEG00000016270
macaca_fascicularis ENSMFAG00000030910
macaca_mulatta ENSMMUG00000006107
macaca_nemestrina ENSMNEG00000029911
papio_anubis ENSPANG00000018958
theropithecus_gelada ENSTGEG00000008541
cercocebus_atys ENSCATG00000032326
chlorocebus_sabaeus ENSCSAG00000016994
mandrillus_leucophaeus ENSMLEG00000027468
rhinopithecus_roxellana ENSRROG00000032989
rhinopithecus_bieti ENSRBIG00000036196
piliocolobus_tephrosceles ENSPTEG00000023413
colobus_angolensis_palliatus ENSCANG00000017161
cebus_capucinus ENSCCAG00000036278
saimiri_boliviensis_boliviensis ENSSBOG00000026848
callithrix_jacchus ENSCJAG00000007784
aotus_nancymaae ENSANAG00000027079
carlito_syrichta ENSTSYG00000035128
prolemur_simus ENSPSMG00000002916
microcebus_murinus ENSMICG00000027615
propithecus_coquereli ENSPCOG00000022281
otolemur_garnettii ENSOGAG00000006649
sorex_araneus ENSSARG00000004516
ornithorhynchus_anatinus ENSOANG00000005351
ornithorhynchus_anatinus ENSOANG00000028927
xenopus_tropicalis ENSXETG00000004784
latimeria_chalumnae ENSLACG00000006969
ciona_intestinalis ENSCING00000007272
ciona_savignyi ENSCSAVG00000004283
piliocolobus_tephrosceles ENSPTEG00000028723
drosophila_melanogaster FBgn0034908
caenorhabditis_elegans_strain_n2 WBGene00001513
