lonchura_striata ENSLSDG00000003067
equus_asinus ENSEASG00005010676
equus_caballus ENSECAG00000019365
dasypus_novemcinctus ENSDNOG00000044228
choloepus_hoffmanni ENSCHOG00000009502
procavia_capensis ENSPCAG00000015288
ochotona_princeps ENSOPRG00000003883
piliocolobus_tephrosceles ENSPTEG00000029856
erinaceus_europaeus ENSEEUG00000000887
loxodonta_africana ENSLAFG00000012239
notechis_scutatus ENSNSUG00000000929
electrophorus_electricus ENSEEEG00000004123
clupea_harengus ENSCHAG00000003649
clupea_harengus ENSCHAG00000026104
astyanax_mexicanus ENSAMXG00000007750
astyanax_mexicanus ENSAMXG00005005418
pygocentrus_nattereri ENSPNAG00000005154
ictalurus_punctatus ENSIPUG00000017652
electrophorus_electricus ENSEEEG00000024157
danio_rerio ENSDARG00000035127
denticeps_clupeoides ENSDCDG00000003462
hucho_hucho ENSHHUG00000009734
esox_lucius ENSELUG00000016364
paramormyrops_kingsleyae ENSPKIG00000008675
scleropages_formosus ENSSFOG00015011107
astyanax_mexicanus ENSAMXG00000006849
astyanax_mexicanus ENSAMXG00005024424
pygocentrus_nattereri ENSPNAG00000024079
ictalurus_punctatus ENSIPUG00000012586
danio_rerio ENSDARG00000057737
denticeps_clupeoides ENSDCDG00000000802
hucho_hucho ENSHHUG00000005631
hucho_hucho ENSHHUG00000028672
esox_lucius ENSELUG00000000650
paramormyrops_kingsleyae ENSPKIG00000018422
scleropages_formosus ENSSFOG00015014907
seriola_lalandi ENSSLDG00000021267
seriola_dumerili ENSSDUG00000020066
lates_calcarifer ENSLCAG00010002676
larimichthys_crocea ENSLCRG00005007042
anabas_testudineus ENSATEG00000001877
betta_splendens ENSBSLG00000021802
amphiprion_percula ENSAPEG00000015360
amphiprion_ocellaris ENSAOCG00000008638
acanthochromis_polyacanthus ENSAPOG00000017373
stegastes_partitus ENSSPAG00000008742
fundulus_heteroclitus ENSFHEG00000014693
cyprinodon_variegatus ENSCVAG00000016296
xiphophorus_couchianus ENSXCOG00000005369
xiphophorus_maculatus ENSXMAG00000001735
gambusia_affinis ENSGAFG00000003675
poecilia_formosa ENSPFOG00000011556
poecilia_latipinna ENSPLAG00000004499
astatotilapia_calliptera ENSACLG00000026392
maylandia_zebra ENSMZEG00005015929
haplochromis_burtoni ENSHBUG00000012589
pundamilia_nyererei ENSPNYG00000019132
neolamprologus_brichardi ENSNBRG00000011679
oreochromis_niloticus ENSONIG00000013076
kryptolebias_marmoratus ENSKMAG00000016751
parambassis_ranga ENSPRNG00000004887
poecilia_mexicana ENSPMEG00000012557
poecilia_reticulata ENSPREG00000022246
gouania_willdenowi ENSGWIG00000010473
tetraodon_nigroviridis ENSTNIG00000006350
cottoperca_gobio ENSCGOG00000024177
gasterosteus_aculeatus ENSGACG00000018189
labrus_bergylta ENSLBEG00000021956
mola_mola ENSMMOG00000011603
takifugu_rubripes ENSTRUG00000006349
scophthalmus_maximus ENSSMAG00000015755
hippocampus_comes ENSHCOG00000013280
cynoglossus_semilaevis ENSCSEG00000005139
periophthalmus_magnuspinnatus ENSPMGG00000023146
oryzias_latipes ENSORLG00000012155
oryzias_latipes ENSORLG00015022397
oryzias_latipes ENSORLG00020008246
oryzias_melastigma ENSOMEG00000000512
amphilophus_citrinellus ENSACIG00000001394
monopterus_albus ENSMALG00000005445
mastacembelus_armatus ENSMAMG00000003873
notechis_scutatus ENSNSUG00000001018
gadus_morhua ENSGMOG00000014502
lepisosteus_oculatus ENSLOCG00000004579
erpetoichthys_calabaricus ENSECRG00000015186
callorhinchus_milii ENSCMIG00000001157
eptatretus_burgeri ENSEBUG00000004555
