gouania_willdenowi ENSGWIG00000014613
chrysemys_picta ENSCPBG00000024203
chrysemys_picta ENSCPBG00000003251
pelodiscus_sinensis ENSPSIG00000018170
melopsittacus_undulatus ENSMUNG00000012608
calidris_pugnax ENSCPUG00000016430
lepidothrix_coronata ENSLCOG00000015573
manacus_vitellinus ENSMVIG00005013836
parus_major ENSPMJG00000008100
cyanistes_caeruleus ENSCCEG00000005232
ficedula_albicollis ENSFALG00000010822
serinus_canaria ENSSCAG00000013276
taeniopygia_guttata ENSTGUG00000003840
zonotrichia_albicollis ENSZALG00000016225
junco_hyemalis ENSJHYG00000014826
anser_brachyrhynchus ENSABRG00000000464
anas_platyrhynchos ENSAPLG00000012146
meleagris_gallopavo ENSMGAG00000003039
coturnix_japonica ENSCJPG00005007798
gallus_gallus ENSGALG00000001572
numida_meleagris ENSNMEG00000011636
apteryx_owenii ENSAOWG00000017152
apteryx_rowi ENSARWG00000014475
apteryx_haastii ENSAHAG00000015605
nothoprocta_perdicaria ENSNPEG00000006518
calidris_pygmaea ENSCPGG00000010587
lonchura_striata ENSLSDG00000010221
dromaius_novaehollandiae ENSDNVG00000000739
gopherus_agassizii ENSGAGG00000003405
gopherus_agassizii ENSGAGG00000018567
vombatus_ursinus ENSVURG00010012112
phascolarctos_cinereus ENSPCIG00000006322
sarcophilus_harrisii ENSSHAG00000003114
notamacropus_eugenii ENSMEUG00000010726
monodelphis_domestica ENSMODG00000009018
cricetulus_griseus ENSCGRG00001015754
cricetulus_griseus ENSCGRG00000003070
cricetulus_griseus ENSCGRG00015025121
mesocricetus_auratus ENSMAUG00000011135
peromyscus_maniculatus ENSPEMG00000006509
mus_spretus MGP_SPRETEiJ_G0033404
mus_musculus ENSMUSG00000032299
mus_caroli MGP_CAROLIEiJ_G0032264
mus_pahari MGP_PahariEiJ_G0015131
rattus_norvegicus ENSRNOG00000018671
meriones_unguiculatus ENSMUGG00000024480
nannospalax_galili ENSNGAG00000007593
ictidomys_tridecemlineatus ENSSTOG00000005769
spermophilus_dauricus ENSSDAG00000016184
urocitellus_parryii ENSUPAG00010005603
marmota_marmota ENSMMMG00000002616
octodon_degus ENSODEG00000014193
chinchilla_lanigera ENSCLAG00000005978
cavia_aperea ENSCAPG00000008328
cavia_porcellus ENSCPOG00000006021
heterocephalus_glaber ENSHGLG00000002044
heterocephalus_glaber ENSHGLG00100013575
fukomys_damarensis ENSFDAG00000008176
dipodomys_ordii ENSDORG00000010767
ochotona_princeps ENSOPRG00000014232
carlito_syrichta ENSTSYG00000011073
capra_hircus ENSCHIG00000009444
ovis_aries ENSOARG00000002512
bos_indicus ENSBIXG00005010719
bos_indicus ENSBIXG00000012908
bos_taurus ENSBTAG00000007346
bos_mutus ENSBMUG00000001628
bison_bison ENSBBBG00000010152
sus_scrofa ENSSSCG00000001884
pteropus_vampyrus ENSPVAG00000010022
myotis_lucifugus ENSMLUG00000012239
ursus_maritimus ENSUMAG00000004893
ursus_americanus ENSUAMG00000022129
ailuropoda_melanoleuca ENSAMEG00000008105
neovison_vison ENSNVIG00000013265
mustela_putorius ENSMPUG00000017320
canis_lupus ENSCAFG00000030862
vulpes_vulpes ENSVVUG00000018806
canis_lupus ENSCAFG00020003813
panthera_pardus ENSPPRG00000006522
panthera_tigris ENSPTIG00000020529
felis_catus ENSFCAG00000039185
equus_asinus ENSEASG00005015738
equus_caballus ENSECAG00000014814
prolemur_simus ENSPSMG00000007855
propithecus_coquereli ENSPCOG00000015535
microcebus_murinus ENSMICG00000001116
otolemur_garnettii ENSOGAG00000002319
rhinopithecus_bieti ENSRBIG00000033369
rhinopithecus_roxellana ENSRROG00000030395
nomascus_leucogenys ENSNLEG00000031428
pan_troglodytes ENSPTRG00000007297
pan_paniscus ENSPPAG00000038679
homo_sapiens ENSG00000140365
gorilla_gorilla ENSGGOG00000014844
pongo_abelii ENSPPYG00000006657
nomascus_leucogenys ENSNLEG00000013256
colobus_angolensis ENSCANG00000042084
piliocolobus_tephrosceles ENSPTEG00000024945
cercocebus_atys ENSCATG00000030718
mandrillus_leucophaeus ENSMLEG00000002645
theropithecus_gelada ENSTGEG00000028807
papio_anubis ENSPANG00000022428
macaca_mulatta ENSMMUG00000047011
macaca_fascicularis ENSMFAG00000032886
macaca_nemestrina ENSMNEG00000029395
chlorocebus_sabaeus ENSCSAG00000014380
cebus_capucinus ENSCCAG00000025714
saimiri_boliviensis ENSSBOG00000012032
callithrix_jacchus ENSCJAG00000023199
callithrix_jacchus ENSCJAG00000067731
saimiri_boliviensis ENSSBOG00000035925
aotus_nancymaae ENSANAG00000034988
pan_paniscus ENSPPAG00000038845
pan_troglodytes ENSPTRG00000051694
pan_troglodytes ENSPTRG00000049009
macaca_nemestrina ENSMNEG00000031097
theropithecus_gelada ENSTGEG00000028561
piliocolobus_tephrosceles ENSPTEG00000009334
piliocolobus_tephrosceles ENSPTEG00000022874
callithrix_jacchus ENSCJAG00000058283
callithrix_jacchus ENSCJAG00000011168
theropithecus_gelada ENSTGEG00000001655
theropithecus_gelada ENSTGEG00000028547
papio_anubis ENSPANG00000021172
piliocolobus_tephrosceles ENSPTEG00000031010
piliocolobus_tephrosceles ENSPTEG00000010480
callithrix_jacchus ENSCJAG00000068125
pongo_abelii ENSPPYG00000006632
pongo_abelii ENSPPYG00000006859
piliocolobus_tephrosceles ENSPTEG00000008000
mus_spicilegus ENSMSIG00000008784
castor_canadensis ENSCCNG00000015071
loxodonta_africana ENSLAFG00000006259
procavia_capensis ENSPCAG00000016650
dasypus_novemcinctus ENSDNOG00000041355
ornithorhynchus_anatinus ENSOANG00000012219
xenopus_tropicalis ENSXETG00000012319
callorhinchus_milii ENSCMIG00000012010
eptatretus_burgeri ENSEBUG00000004715
oryzias_melastigma ENSOMEG00000006028
ciona_intestinalis ENSCING00000020408
drosophila_melanogaster FBgn0054039
caenorhabditis_elegans WBGene00020901
