papio_anubis ENSPANG00000031029
equus_asinus_asinus ENSEASG00005001116
procavia_capensis ENSPCAG00000005773
dasypus_novemcinctus ENSDNOG00000018227
capra_hircus ENSCHIG00000005868
ursus_americanus ENSUAMG00000023599
pongo_abelii ENSPPYG00000001084
choloepus_hoffmanni ENSCHOG00000003347
theropithecus_gelada ENSTGEG00000000805
carlito_syrichta ENSTSYG00000028980
heterocephalus_glaber_male ENSHGLG00100014506
heterocephalus_glaber_female ENSHGLG00000012561
jaculus_jaculus ENSJJAG00000015808
dasypus_novemcinctus ENSDNOG00000015131
nannospalax_galili ENSNGAG00000009497
jaculus_jaculus ENSJJAG00000021143
heterocephalus_glaber_female ENSHGLG00000008251
heterocephalus_glaber_male ENSHGLG00100002343
octodon_degus ENSODEG00000005152
urocitellus_parryii ENSUPAG00010002571
spermophilus_dauricus ENSSDAG00000022572
otolemur_garnettii ENSOGAG00000016403
dasypus_novemcinctus ENSDNOG00000033167
junco_hyemalis ENSJHYG00000018060
serinus_canaria ENSSCAG00000009238
cyanistes_caeruleus ENSCCEG00000015286
melopsittacus_undulatus ENSMUNG00000005306
numida_meleagris ENSNMEG00000017144
dromaius_novaehollandiae ENSDNVG00000008293
chelonoidis_abingdonii ENSCABG00000002556
latimeria_chalumnae ENSLACG00000004647
sphenodon_punctatus ENSSPUG00000005040
pogona_vitticeps ENSPVIG00000019704
apteryx_owenii ENSAOWG00000001081
apteryx_rowi ENSARWG00000015629
apteryx_haastii ENSAHAG00000002432
anser_brachyrhynchus ENSABRG00000009413
anas_platyrhynchos_platyrhynchos ENSAPLG00000017681
lonchura_striata_domestica ENSLSDG00000005853
taeniopygia_guttata ENSTGUG00000013420
zonotrichia_albicollis ENSZALG00000000219
manacus_vitellinus ENSMVIG00005011458
ficedula_albicollis ENSFALG00000005898
calidris_pugnax ENSCPUG00000007180
nothoprocta_perdicaria ENSNPEG00000002532
calidris_pygmaea ENSCPGG00000009253
crocodylus_porosus ENSCPRG00005004093
gallus_gallus ENSGALG00000015185
meleagris_gallopavo ENSMGAG00000014336
coturnix_japonica ENSCJPG00005017462
anolis_carolinensis ENSACAG00000010177
notechis_scutatus ENSNSUG00000010202
salvator_merianae ENSSMRG00000005419
pelodiscus_sinensis ENSPSIG00000002283
monopterus_albus ENSMALG00000006484
mastacembelus_armatus ENSMAMG00000016865
labrus_bergylta ENSLBEG00000021134
pundamilia_nyererei ENSPNYG00000009588
astatotilapia_calliptera ENSACLG00000007478
haplochromis_burtoni ENSHBUG00000021304
maylandia_zebra ENSMZEG00005022104
neolamprologus_brichardi ENSNBRG00000020603
oreochromis_niloticus ENSONIG00000020959
amphilophus_citrinellus ENSACIG00000017206
hippocampus_comes ENSHCOG00000007801
cynoglossus_semilaevis ENSCSEG00000002891
seriola_dumerili ENSSDUG00000018133
seriola_lalandi_dorsalis ENSSLDG00000016107
mola_mola ENSMMOG00000013351
anabas_testudineus ENSATEG00000001114
amphiprion_ocellaris ENSAOCG00000010016
amphiprion_percula ENSAPEG00000018684
stegastes_partitus ENSSPAG00000022000
acanthochromis_polyacanthus ENSAPOG00000018635
gasterosteus_aculeatus ENSGACG00000004213
tetraodon_nigroviridis ENSTNIG00000002526
scophthalmus_maximus ENSSMAG00000002486
xiphophorus_couchianus ENSXCOG00000000056
xiphophorus_maculatus ENSXMAG00000019607
gambusia_affinis ENSGAFG00000001359
poecilia_mexicana ENSPMEG00000008836
poecilia_latipinna ENSPLAG00000007044
poecilia_formosa ENSPFOG00000020574
poecilia_reticulata ENSPREG00000003999
fundulus_heteroclitus ENSFHEG00000013859
cyprinodon_variegatus ENSCVAG00000000290
oryzias_latipes ENSORLG00000029069
oryzias_latipes_asm223469v1 ENSORLG00015014103
oryzias_latipes ENSORLG00020019648
oryzias_latipes ENSORLG00020002026
oryzias_latipes_asm223469v1 ENSORLG00015016094
oryzias_latipes ENSORLG00000023250
esox_lucius ENSELUG00000010306
pygocentrus_nattereri ENSPNAG00000017544
astyanax_mexicanus ENSAMXG00000025626
ictalurus_punctatus ENSIPUG00000018237
danio_rerio ENSDARG00000070834
gadus_morhua ENSGMOG00000019815
scleropages_formosus ENSSFOG00015007460
paramormyrops_kingsleyae ENSPKIG00000015501
nomascus_leucogenys ENSNLEG00000027679
macaca_fascicularis ENSMFAG00000036679
equus_caballus ENSECAG00000006458
procavia_capensis ENSPCAG00000008697
parus_major ENSPMJG00000010993
mus_spicilegus ENSMSIG00000016786
lepisosteus_oculatus ENSLOCG00000002878
eptatretus_burgeri ENSEBUG00000007882
ciona_savignyi ENSCSAVG00000002698
ciona_intestinalis ENSCING00000012548
drosophila_melanogaster FBgn0032847
caenorhabditis_elegans_strain_n2 WBGene00006397
saccharomyces_cerevisiae YML098W
