heterocephalus_glaber_female ENSHGLG00000002335
rhinopithecus_roxellana ENSRROG00000037014
cebus_capucinus ENSCCAG00000035957
saimiri_boliviensis_boliviensis ENSSBOG00000023828
callithrix_jacchus ENSCJAG00000018828
aotus_nancymaae ENSANAG00000020854
carlito_syrichta ENSTSYG00000027823
oryctolagus_cuniculus ENSOCUG00000004741
erinaceus_europaeus ENSEEUG00000008079
equus_asinus_asinus ENSEASG00005010151
equus_caballus ENSECAG00000000932
myotis_lucifugus ENSMLUG00000003097
mustela_putorius_furo ENSMPUG00000005854
neovison_vison ENSNVIG00000002365
ailuropoda_melanoleuca ENSAMEG00000000683
felis_catus ENSFCAG00000004769
panthera_pardus ENSPPRG00000015585
sus_scrofa ENSSSCG00000038644
tursiops_truncatus ENSTTRG00000004538
bos_mutus ENSBMUG00000021076
bos_taurus ENSBTAG00000012149
bison_bison_bison ENSBBBG00000004739
ovis_aries ENSOARG00000016306
capra_hircus ENSCHIG00000026921
canis_lupus_dingo ENSCAFG00020020648
vulpes_vulpes ENSVVUG00000028203
panthera_tigris_altaica ENSPTIG00000013899
ursus_maritimus ENSUMAG00000010514
ursus_americanus ENSUAMG00000001120
canis_lupus_familiaris ENSCAFG00000032625
pteropus_vampyrus ENSPVAG00000014725
cavia_porcellus ENSCPOG00000039628
dasypus_novemcinctus ENSDNOG00000034735
loxodonta_africana ENSLAFG00000018140
phascolarctos_cinereus ENSPCIG00000035099
notamacropus_eugenii ENSMEUG00000006929
sarcophilus_harrisii ENSSHAG00000006951
ornithorhynchus_anatinus ENSOANG00000014218
pogona_vitticeps ENSPVIG00000006881
anolis_carolinensis ENSACAG00000010906
notechis_scutatus ENSNSUG00000002975
salvator_merianae ENSSMRG00000002576
sphenodon_punctatus ENSSPUG00000010768
anas_platyrhynchos_platyrhynchos ENSAPLG00000029504
anser_brachyrhynchus ENSABRG00000020686
manacus_vitellinus ENSMVIG00005009833
melopsittacus_undulatus ENSMUNG00000009002
calidris_pugnax ENSCPUG00000003398
gallus_gallus ENSGALG00000037262
coturnix_japonica ENSCJPG00005007699
numida_meleagris ENSNMEG00000007970
apteryx_owenii ENSAOWG00000002641
apteryx_rowi ENSARWG00000005386
apteryx_haastii ENSAHAG00000018177
dromaius_novaehollandiae ENSDNVG00000005586
nothoprocta_perdicaria ENSNPEG00000003071
crocodylus_porosus ENSCPRG00005006843
chelonoidis_abingdonii ENSCABG00000004666
gopherus_agassizii ENSGAGG00000006948
pelodiscus_sinensis ENSPSIG00000004815
lepidothrix_coronata ENSLCOG00000000139
calidris_pygmaea ENSCPGG00000012009
chrysemys_picta_bellii ENSCPBG00000022351
xenopus_tropicalis ENSXETG00000023476
latimeria_chalumnae ENSLACG00000016658
taeniopygia_guttata ENSTGUG00000015572
taeniopygia_guttata ENSTGUG00000015578
lonchura_striata_domestica ENSLSDG00000003707
serinus_canaria ENSSCAG00000000494
serinus_canaria ENSSCAG00000001190
junco_hyemalis ENSJHYG00000015729
cyanistes_caeruleus ENSCCEG00000017496
esox_lucius ENSELUG00000020022
pygocentrus_nattereri ENSPNAG00000000427
paramormyrops_kingsleyae ENSPKIG00000003163
scleropages_formosus ENSSFOG00015007488
fundulus_heteroclitus ENSFHEG00000023351
cyprinodon_variegatus ENSCVAG00000012723
poecilia_formosa ENSPFOG00000024107
poecilia_mexicana ENSPMEG00000002354
poecilia_latipinna ENSPLAG00000012884
poecilia_reticulata ENSPREG00000020344
xiphophorus_couchianus ENSXCOG00000008589
cynoglossus_semilaevis ENSCSEG00000007967
tetraodon_nigroviridis ENSTNIG00000001762
takifugu_rubripes ENSTRUG00000021415
mastacembelus_armatus ENSMAMG00000007543
mola_mola ENSMMOG00000009308
gasterosteus_aculeatus ENSGACG00000009401
oryzias_latipes ENSORLG00020006659
oryzias_latipes_asm223469v1 ENSORLG00015022364
oryzias_latipes ENSORLG00000024149
oryzias_melastigma ENSOMEG00000016004
kryptolebias_marmoratus ENSKMAG00000020931
seriola_lalandi_dorsalis ENSSLDG00000003935
seriola_dumerili ENSSDUG00000013837
scophthalmus_maximus ENSSMAG00000004517
astatotilapia_calliptera ENSACLG00000006878
haplochromis_burtoni ENSHBUG00000005588
maylandia_zebra ENSMZEG00005027181
pundamilia_nyererei ENSPNYG00000017294
neolamprologus_brichardi ENSNBRG00000018309
oreochromis_niloticus ENSONIG00000012239
amphilophus_citrinellus ENSACIG00000013178
acanthochromis_polyacanthus ENSAPOG00000019231
amphiprion_ocellaris ENSAOCG00000024046
stegastes_partitus ENSSPAG00000022262
anabas_testudineus ENSATEG00000022838
monopterus_albus ENSMALG00000014156
labrus_bergylta ENSLBEG00000010274
hippocampus_comes ENSHCOG00000019613
periophthalmus_magnuspinnatus ENSPMGG00000011825
gadus_morhua ENSGMOG00000017889
esox_lucius ENSELUG00000007488
pygocentrus_nattereri ENSPNAG00000021232
astyanax_mexicanus ENSAMXG00000036336
ictalurus_punctatus ENSIPUG00000022387
danio_rerio ENSDARG00000070346
scleropages_formosus ENSSFOG00015016127
paramormyrops_kingsleyae ENSPKIG00000006392
