chrysemys_picta ENSCPBG00000008711
oryctolagus_cuniculus ENSOCUG00000022007
prolemur_simus ENSPSMG00000006982
microcebus_murinus ENSMICG00000031592
otolemur_garnettii ENSOGAG00000032012
pan_troglodytes ENSPTRG00000007270
pan_paniscus ENSPPAG00000000451
homo_sapiens ENSG00000129009
gorilla_gorilla ENSGGOG00000037725
gorilla_gorilla ENSGGOG00000037246
pongo_abelii ENSPPYG00000006634
nomascus_leucogenys ENSNLEG00000014396
piliocolobus_tephrosceles ENSPTEG00000022930
colobus_angolensis ENSCANG00000016789
rhinopithecus_roxellana ENSRROG00000003485
rhinopithecus_bieti ENSRBIG00000020149
macaca_fascicularis ENSMFAG00000019008
macaca_mulatta ENSMMUG00000001836
macaca_nemestrina ENSMNEG00000018629
papio_anubis ENSPANG00000013923
theropithecus_gelada ENSTGEG00000028041
cercocebus_atys ENSCATG00000016161
mandrillus_leucophaeus ENSMLEG00000001749
chlorocebus_sabaeus ENSCSAG00000019734
callithrix_jacchus ENSCJAG00000017885
bos_indicus ENSBIXG00005009322
bos_indicus ENSBIXG00000015791
bos_taurus ENSBTAG00000006024
bos_mutus ENSBMUG00000015229
bison_bison ENSBBBG00000009913
ovis_aries ENSOARG00000017513
capra_hircus ENSCHIG00000001756
equus_caballus ENSECAG00000003606
pteropus_vampyrus ENSPVAG00000003860
myotis_lucifugus ENSMLUG00000002423
sus_scrofa ENSSSCG00000001910
ursus_americanus ENSUAMG00000024418
ailuropoda_melanoleuca ENSAMEG00000019950
neovison_vison ENSNVIG00000012587
mustela_putorius ENSMPUG00000020145
canis_lupus ENSCAFG00000017866
canis_lupus ENSCAFG00020004137
vulpes_vulpes ENSVVUG00000018503
panthera_pardus ENSPPRG00000017470
felis_catus ENSFCAG00000028071
dasypus_novemcinctus ENSDNOG00000035719
loxodonta_africana ENSLAFG00000028903
phascolarctos_cinereus ENSPCIG00000019098
vombatus_ursinus ENSVURG00010000035
monodelphis_domestica ENSMODG00000009694
ornithorhynchus_anatinus ENSOANG00000013118
xenopus_tropicalis ENSXETG00000013132
xenopus_tropicalis ENSXETG00000013170
calidris_pugnax ENSCPUG00000001750
latimeria_chalumnae ENSLACG00000005601
denticeps_clupeoides ENSDCDG00000022765
denticeps_clupeoides ENSDCDG00000022773
clupea_harengus ENSCHAG00000005198
ictalurus_punctatus ENSIPUG00000021908
electrophorus_electricus ENSEEEG00000001718
astyanax_mexicanus ENSAMXG00005012547
astyanax_mexicanus ENSAMXG00000025117
danio_rerio ENSDARG00000051875
takifugu_rubripes ENSTRUG00000013627
tetraodon_nigroviridis ENSTNIG00000008416
betta_splendens ENSBSLG00000012959
labrus_bergylta ENSLBEG00000016601
hippocampus_comes ENSHCOG00000014105
kryptolebias_marmoratus ENSKMAG00000018821
mastacembelus_armatus ENSMAMG00000007007
monopterus_albus ENSMALG00000008540
anabas_testudineus ENSATEG00000008628
cottoperca_gobio ENSCGOG00000007605
gasterosteus_aculeatus ENSGACG00000004691
larimichthys_crocea ENSLCRG00005011203
seriola_dumerili ENSSDUG00000008671
seriola_lalandi ENSSLDG00000024147
lates_calcarifer ENSLCAG00010011486
scophthalmus_maximus ENSSMAG00000015283
cynoglossus_semilaevis ENSCSEG00000006581
amphiprion_ocellaris ENSAOCG00000018675
amphiprion_percula ENSAPEG00000020024
acanthochromis_polyacanthus ENSAPOG00000007082
stegastes_partitus ENSSPAG00000018158
parambassis_ranga ENSPRNG00000013785
astatotilapia_calliptera ENSACLG00000017072
maylandia_zebra ENSMZEG00005022548
haplochromis_burtoni ENSHBUG00000013882
pundamilia_nyererei ENSPNYG00000012974
oreochromis_niloticus ENSONIG00000020970
amphilophus_citrinellus ENSACIG00000002865
gouania_willdenowi ENSGWIG00000014609
xiphophorus_couchianus ENSXCOG00000016971
gambusia_affinis ENSGAFG00000020671
poecilia_formosa ENSPFOG00000006027
poecilia_latipinna ENSPLAG00000018854
poecilia_mexicana ENSPMEG00000023093
fundulus_heteroclitus ENSFHEG00000006691
cyprinodon_variegatus ENSCVAG00000015296
oryzias_latipes ENSORLG00000007233
oryzias_latipes ENSORLG00015000697
oryzias_latipes ENSORLG00020006828
oryzias_melastigma ENSOMEG00000022120
periophthalmus_magnuspinnatus ENSPMGG00000000679
gadus_morhua ENSGMOG00000008332
hucho_hucho ENSHHUG00000017716
hucho_hucho ENSHHUG00000006977
esox_lucius ENSELUG00000003368
hucho_hucho ENSHHUG00000029306
esox_lucius ENSELUG00000018968
amphilophus_citrinellus ENSACIG00000023793
fundulus_heteroclitus ENSFHEG00000022514
tetraodon_nigroviridis ENSTNIG00000005152
takifugu_rubripes ENSTRUG00000020949
labrus_bergylta ENSLBEG00000024342
cynoglossus_semilaevis ENSCSEG00000019314
haplochromis_burtoni ENSHBUG00000007974
astatotilapia_calliptera ENSACLG00000001233
maylandia_zebra ENSMZEG00005014709
pundamilia_nyererei ENSPNYG00000001942
neolamprologus_brichardi ENSNBRG00000017535
oreochromis_niloticus ENSONIG00000007124
gouania_willdenowi ENSGWIG00000011312
parambassis_ranga ENSPRNG00000007662
anabas_testudineus ENSATEG00000021774
mastacembelus_armatus ENSMAMG00000016306
lates_calcarifer ENSLCAG00010017710
scophthalmus_maximus ENSSMAG00000007996
seriola_lalandi ENSSLDG00000009928
seriola_dumerili ENSSDUG00000016457
poecilia_formosa ENSPFOG00000020325
poecilia_mexicana ENSPMEG00000015033
poecilia_latipinna ENSPLAG00000003653
poecilia_reticulata ENSPREG00000019289
xiphophorus_maculatus ENSXMAG00000019869
xiphophorus_couchianus ENSXCOG00000014003
gambusia_affinis ENSGAFG00000014246
cyprinodon_variegatus ENSCVAG00000005078
mola_mola ENSMMOG00000007934
monopterus_albus ENSMALG00000022141
amphiprion_ocellaris ENSAOCG00000009938
amphiprion_percula ENSAPEG00000000149
acanthochromis_polyacanthus ENSAPOG00000001388
acanthochromis_polyacanthus ENSAPOG00000000398
stegastes_partitus ENSSPAG00000017142
kryptolebias_marmoratus ENSKMAG00000020454
betta_splendens ENSBSLG00000004906
cottoperca_gobio ENSCGOG00000001115
gasterosteus_aculeatus ENSGACG00000017072
larimichthys_crocea ENSLCRG00005002609
hippocampus_comes ENSHCOG00000005065
periophthalmus_magnuspinnatus ENSPMGG00000018496
gadus_morhua ENSGMOG00000019209
scleropages_formosus ENSSFOG00015021787
paramormyrops_kingsleyae ENSPKIG00000013860
lepisosteus_oculatus ENSLOCG00000017959
erpetoichthys_calabaricus ENSECRG00000021499
callorhinchus_milii ENSCMIG00000007635
petromyzon_marinus ENSPMAG00000010005
eptatretus_burgeri ENSEBUG00000015150
