ictidomys_tridecemlineatus ENSSTOG00000026653
mastacembelus_armatus ENSMAMG00000014163
scophthalmus_maximus ENSSMAG00000015301
periophthalmus_magnuspinnatus ENSPMGG00000001196
gasterosteus_aculeatus ENSGACG00000012873
labrus_bergylta ENSLBEG00000022815
seriola_dumerili ENSSDUG00000018618
seriola_lalandi_dorsalis ENSSLDG00000015695
anabas_testudineus ENSATEG00000010843
poecilia_mexicana ENSPMEG00000020936
poecilia_latipinna ENSPLAG00000002054
poecilia_formosa ENSPFOG00000011342
poecilia_formosa ENSPFOG00000011326
poecilia_reticulata ENSPREG00000004938
xiphophorus_maculatus ENSXMAG00000018401
xiphophorus_couchianus ENSXCOG00000011244
gambusia_affinis ENSGAFG00000019523
cyprinodon_variegatus ENSCVAG00000016473
fundulus_heteroclitus ENSFHEG00000021897
kryptolebias_marmoratus ENSKMAG00000009382
oryzias_latipes ENSORLG00020008264
oryzias_latipes ENSORLG00000027512
oryzias_latipes_asm223469v1 ENSORLG00015005326
oryzias_melastigma ENSOMEG00000009871
amphiprion_ocellaris ENSAOCG00000000345
amphiprion_percula ENSAPEG00000000454
acanthochromis_polyacanthus ENSAPOG00000016872
stegastes_partitus ENSSPAG00000002755
maylandia_zebra ENSMZEG00005009132
astatotilapia_calliptera ENSACLG00000025751
pundamilia_nyererei ENSPNYG00000023109
haplochromis_burtoni ENSHBUG00000011559
neolamprologus_brichardi ENSNBRG00000011146
oreochromis_niloticus ENSONIG00000019542
amphilophus_citrinellus ENSACIG00000010888
monopterus_albus ENSMALG00000014128
mola_mola ENSMMOG00000004803
mola_mola ENSMMOG00000004809
tetraodon_nigroviridis ENSTNIG00000008905
takifugu_rubripes ENSTRUG00000019515
hippocampus_comes ENSHCOG00000008593
gadus_morhua ENSGMOG00000001737
esox_lucius ENSELUG00000019771
astyanax_mexicanus ENSAMXG00000018593
pygocentrus_nattereri ENSPNAG00000023625
ictalurus_punctatus ENSIPUG00000015541
danio_rerio ENSDARG00000059131
scleropages_formosus ENSSFOG00015004221
paramormyrops_kingsleyae ENSPKIG00000015895
lepisosteus_oculatus ENSLOCG00000000572
apteryx_haastii ENSAHAG00000019656
apteryx_owenii ENSAOWG00000013186
apteryx_rowi ENSARWG00000003673
melopsittacus_undulatus ENSMUNG00000007776
calidris_pugnax ENSCPUG00000000946
anser_brachyrhynchus ENSABRG00000000377
anas_platyrhynchos_platyrhynchos ENSAPLG00000020539
dromaius_novaehollandiae ENSDNVG00000015411
ovis_aries ENSOARG00000013158
capra_hircus ENSCHIG00000008930
bos_taurus ENSBTAG00000005772
bos_mutus ENSBMUG00000002532
bison_bison_bison ENSBBBG00000004946
sus_scrofa ENSSSCG00000038112
pteropus_vampyrus ENSPVAG00000007919
equus_caballus ENSECAG00000031458
equus_asinus_asinus ENSEASG00005018207
ailuropoda_melanoleuca ENSAMEG00000017665
ursus_maritimus ENSUMAG00000008279
neovison_vison ENSNVIG00000017343
vulpes_vulpes ENSVVUG00000027377
canis_lupus_dingo ENSCAFG00020014951
vulpes_vulpes ENSVVUG00000013282
panthera_tigris_altaica ENSPTIG00000020489
panthera_pardus ENSPPRG00000025027
felis_catus ENSFCAG00000029565
myotis_lucifugus ENSMLUG00000023867
myotis_lucifugus ENSMLUG00000016991
myotis_lucifugus ENSMLUG00000023958
vicugna_pacos ENSVPAG00000011661
canis_lupus_familiaris ENSCAFG00000031059
ursus_americanus ENSUAMG00000002646
sorex_araneus ENSSARG00000006458
pan_troglodytes ENSPTRG00000028537
pan_paniscus ENSPPAG00000039970
gorilla_gorilla ENSGGOG00000004263
homo_sapiens ENSG00000204710
pongo_abelii ENSPPYG00000003074
nomascus_leucogenys ENSNLEG00000005529
macaca_nemestrina ENSMNEG00000032996
cercocebus_atys ENSCATG00000044225
rhinopithecus_bieti ENSRBIG00000040584
rhinopithecus_roxellana ENSRROG00000045416
piliocolobus_tephrosceles ENSPTEG00000023688
colobus_angolensis_palliatus ENSCANG00000040709
papio_anubis ENSPANG00000006543
theropithecus_gelada ENSTGEG00000009556
macaca_fascicularis ENSMFAG00000043469
macaca_mulatta ENSMMUG00000020105
mandrillus_leucophaeus ENSMLEG00000038662
chlorocebus_sabaeus ENSCSAG00000007707
callithrix_jacchus ENSCJAG00000002403
cebus_capucinus ENSCCAG00000037946
saimiri_boliviensis_boliviensis ENSSBOG00000024036
aotus_nancymaae ENSANAG00000035457
carlito_syrichta ENSTSYG00000008787
microcebus_murinus ENSMICG00000037151
propithecus_coquereli ENSPCOG00000020826
prolemur_simus ENSPSMG00000000461
otolemur_garnettii ENSOGAG00000015020
tupaia_belangeri ENSTBEG00000008032
loxodonta_africana ENSLAFG00000023008
procavia_capensis ENSPCAG00000010615
dasypus_novemcinctus ENSDNOG00000046708
notamacropus_eugenii ENSMEUG00000014047
phascolarctos_cinereus ENSPCIG00000008544
monodelphis_domestica ENSMODG00000010068
ornithorhynchus_anatinus ENSOANG00000019723
gopherus_agassizii ENSGAGG00000025859
chelonoidis_abingdonii ENSCABG00000002961
chrysemys_picta_bellii ENSCPBG00000023629
pelodiscus_sinensis ENSPSIG00000007826
salvator_merianae ENSSMRG00000021186
notechis_scutatus ENSNSUG00000016541
xenopus_tropicalis ENSXETG00000001636
latimeria_chalumnae ENSLACG00000022183
eptatretus_burgeri ENSEBUG00000013282
ciona_intestinalis ENSCING00000016009
ciona_savignyi ENSCSAVG00000000694
