colobus_angolensis_palliatus ENSCANG00000040022
canis_lupus_dingo ENSCAFG00020016818
vulpes_vulpes ENSVVUG00000022484
mustela_putorius_furo ENSMPUG00000009960
neovison_vison ENSNVIG00000002098
ursus_americanus ENSUAMG00000007813
ailuropoda_melanoleuca ENSAMEG00000002687
panthera_pardus ENSPPRG00000017091
felis_catus ENSFCAG00000007836
cavia_aperea ENSCAPG00000011068
carlito_syrichta ENSTSYG00000029386
macaca_fascicularis ENSMFAG00000003089
mandrillus_leucophaeus ENSMLEG00000040388
panthera_tigris_altaica ENSPTIG00000012390
ursus_maritimus ENSUMAG00000005232
procavia_capensis ENSPCAG00000003578
loxodonta_africana ENSLAFG00000030459
mesocricetus_auratus ENSMAUG00000020560
rhinopithecus_bieti ENSRBIG00000027218
panthera_pardus ENSPPRG00000015506
equus_asinus_asinus ENSEASG00005021477
notechis_scutatus ENSNSUG00000017349
phascolarctos_cinereus ENSPCIG00000006074
notamacropus_eugenii ENSMEUG00000000812
monodelphis_domestica ENSMODG00000006549
sarcophilus_harrisii ENSSHAG00000010655
ornithorhynchus_anatinus ENSOANG00000010137
pogona_vitticeps ENSPVIG00000023079
notechis_scutatus ENSNSUG00000001707
salvator_merianae ENSSMRG00000017665
gopherus_agassizii ENSGAGG00000005539
chelonoidis_abingdonii ENSCABG00000003300
chrysemys_picta_bellii ENSCPBG00000010278
pelodiscus_sinensis ENSPSIG00000003491
lepidothrix_coronata ENSLCOG00000013216
manacus_vitellinus ENSMVIG00005015561
lonchura_striata_domestica ENSLSDG00000008671
taeniopygia_guttata ENSTGUG00000000612
zonotrichia_albicollis ENSZALG00000017001
parus_major ENSPMJG00000011017
cyanistes_caeruleus ENSCCEG00000000767
ficedula_albicollis ENSFALG00000013906
serinus_canaria ENSSCAG00000005678
junco_hyemalis ENSJHYG00000005997
melopsittacus_undulatus ENSMUNG00000001842
calidris_pygmaea ENSCPGG00000012648
calidris_pugnax ENSCPUG00000007418
meleagris_gallopavo ENSMGAG00000003104
coturnix_japonica ENSCJPG00005010336
gallus_gallus ENSGALG00000024332
numida_meleagris ENSNMEG00000003024
apteryx_rowi ENSARWG00000010825
apteryx_haastii ENSAHAG00000003252
apteryx_owenii ENSAOWG00000013393
dromaius_novaehollandiae ENSDNVG00000012807
nothoprocta_perdicaria ENSNPEG00000001832
anser_brachyrhynchus ENSABRG00000004747
anas_platyrhynchos_platyrhynchos ENSAPLG00000019296
sphenodon_punctatus ENSSPUG00000009314
xenopus_tropicalis ENSXETG00000006555
crocodylus_porosus ENSCPRG00005014900
anolis_carolinensis ENSACAG00000001127
dasypus_novemcinctus ENSDNOG00000014695
eptatretus_burgeri ENSEBUG00000013371
