kryptolebias_marmoratus ENSKMAG00000018775
otolemur_garnettii ENSOGAG00000001681
pan_troglodytes ENSPTRG00000019387
pan_paniscus ENSPPAG00000042761
homo_sapiens ENSG00000058091
gorilla_gorilla ENSGGOG00000003585
pongo_abelii ENSPPYG00000017828
rhinopithecus_bieti ENSRBIG00000043300
rhinopithecus_roxellana ENSRROG00000023839
piliocolobus_tephrosceles ENSPTEG00000027819
macaca_fascicularis ENSMFAG00000044994
macaca_mulatta ENSMMUG00000007470
macaca_nemestrina ENSMNEG00000032203
mandrillus_leucophaeus ENSMLEG00000038830
papio_anubis ENSPANG00000022338
theropithecus_gelada ENSTGEG00000003895
chlorocebus_sabaeus ENSCSAG00000012501
cercocebus_atys ENSCATG00000032271
colobus_angolensis ENSCANG00000008743
nomascus_leucogenys ENSNLEG00000015172
pan_troglodytes ENSPTRG00000049348
cebus_capucinus ENSCCAG00000028845
saimiri_boliviensis ENSSBOG00000033241
callithrix_jacchus ENSCJAG00000014175
aotus_nancymaae ENSANAG00000034381
nomascus_leucogenys ENSNLEG00000035210
callithrix_jacchus ENSCJAG00000032661
carlito_syrichta ENSTSYG00000004700
urocitellus_parryii ENSUPAG00010015957
castor_canadensis ENSCCNG00000000367
equus_asinus ENSEASG00005019638
equus_asinus ENSEASG00005019642
equus_caballus ENSECAG00000006765
pteropus_vampyrus ENSPVAG00000016090
ursus_americanus ENSUAMG00000019235
ailuropoda_melanoleuca ENSAMEG00000011302
ursus_maritimus ENSUMAG00000018611
ailuropoda_melanoleuca ENSAMEG00000000723
mustela_putorius ENSMPUG00000018322
mustela_putorius ENSMPUG00000008581
neovison_vison ENSNVIG00000003638
canis_lupus ENSCAFG00020016001
canis_lupus ENSCAFG00000001898
vulpes_vulpes ENSVVUG00000013793
panthera_tigris ENSPTIG00000017718
panthera_pardus ENSPPRG00000003433
felis_catus ENSFCAG00000022815
bos_indicus ENSBIXG00005012122
bos_indicus ENSBIXG00000025013
bos_taurus ENSBTAG00000048664
bos_mutus ENSBMUG00000012584
bison_bison ENSBBBG00000017590
ovis_aries ENSOARG00000016384
capra_hircus ENSCHIG00000004524
sus_scrofa ENSSSCG00000015307
tursiops_truncatus ENSTTRG00000009813
vicugna_pacos ENSVPAG00000008739
erinaceus_europaeus ENSEEUG00000002904
spermophilus_dauricus ENSSDAG00000005154
ictidomys_tridecemlineatus ENSSTOG00000013466
urocitellus_parryii ENSUPAG00010007252
marmota_marmota ENSMMMG00000020433
dipodomys_ordii ENSDORG00000005957
mus_pahari MGP_PahariEiJ_G0021717
mus_spretus MGP_SPRETEiJ_G0027939
mus_musculus ENSMUSG00000028926
mus_spicilegus ENSMSIG00000015706
mus_caroli MGP_CAROLIEiJ_G0026944
meriones_unguiculatus ENSMUGG00000003959
peromyscus_maniculatus ENSPEMG00000009698
microtus_ochrogaster ENSMOCG00000013371
cricetulus_griseus ENSCGRG00001018694
cricetulus_griseus ENSCGRG00000005829
cricetulus_griseus ENSCGRG00015001946
mesocricetus_auratus ENSMAUG00000012227
nannospalax_galili ENSNGAG00000020791
chinchilla_lanigera ENSCLAG00000007061
chinchilla_lanigera ENSCLAG00000015664
octodon_degus ENSODEG00000000448
heterocephalus_glaber ENSHGLG00000017316
heterocephalus_glaber ENSHGLG00100012312
fukomys_damarensis ENSFDAG00000012133
rattus_norvegicus ENSRNOG00000007151
cavia_porcellus ENSCPOG00000010889
oryctolagus_cuniculus ENSOCUG00000009227
oryctolagus_cuniculus ENSOCUG00000025688
ochotona_princeps ENSOPRG00000012381
tupaia_belangeri ENSTBEG00000004592
sorex_araneus ENSSARG00000014225
loxodonta_africana ENSLAFG00000002795
echinops_telfairi ENSETEG00000018844
procavia_capensis ENSPCAG00000015520
dasypus_novemcinctus ENSDNOG00000036809
choloepus_hoffmanni ENSCHOG00000012973
vombatus_ursinus ENSVURG00010022728
phascolarctos_cinereus ENSPCIG00000031851
notamacropus_eugenii ENSMEUG00000010046
sarcophilus_harrisii ENSSHAG00000017835
monodelphis_domestica ENSMODG00000010497
lepidothrix_coronata ENSLCOG00000010381
xenopus_tropicalis ENSXETG00000006451
latimeria_chalumnae ENSLACG00000005134
callorhinchus_milii ENSCMIG00000018395
petromyzon_marinus ENSPMAG00000004949
eptatretus_burgeri ENSEBUG00000006340
ornithorhynchus_anatinus ENSOANG00000013237
petromyzon_marinus ENSPMAG00000002109
