chrysemys_picta ENSCPBG00000024448
cebus_capucinus ENSCCAG00000023897
cebus_capucinus ENSCCAG00000025042
saimiri_boliviensis ENSSBOG00000035987
callithrix_jacchus ENSCJAG00000017489
aotus_nancymaae ENSANAG00000036341
carlito_syrichta ENSTSYG00000002257
propithecus_coquereli ENSPCOG00000021878
microcebus_murinus ENSMICG00000006197
prolemur_simus ENSPSMG00000020330
otolemur_garnettii ENSOGAG00000001058
tupaia_belangeri ENSTBEG00000017680
castor_canadensis ENSCCNG00000003219
dipodomys_ordii ENSDORG00000016186
urocitellus_parryii ENSUPAG00010016709
ictidomys_tridecemlineatus ENSSTOG00000026661
spermophilus_dauricus ENSSDAG00000017798
marmota_marmota ENSMMMG00000004720
mus_spicilegus ENSMSIG00000031579
mus_musculus ENSMUSG00000030036
mus_spretus MGP_SPRETEiJ_G0029551
mus_caroli MGP_CAROLIEiJ_G0028545
mus_pahari MGP_PahariEiJ_G0022280
rattus_norvegicus ENSRNOG00000054176
rattus_norvegicus ENSRNOG00000008648
meriones_unguiculatus ENSMUGG00000021912
meriones_unguiculatus ENSMUGG00000021988
cricetulus_griseus ENSCGRG00001001906
cricetulus_griseus ENSCGRG00015014509
cricetulus_griseus ENSCGRG00000009214
mesocricetus_auratus ENSMAUG00000021939
microtus_ochrogaster ENSMOCG00000000117
peromyscus_maniculatus ENSPEMG00000008417
nannospalax_galili ENSNGAG00000018314
jaculus_jaculus ENSJJAG00000013669
chinchilla_lanigera ENSCLAG00000013829
octodon_degus ENSODEG00000014368
cavia_porcellus ENSCPOG00000026010
cavia_aperea ENSCAPG00000003341
heterocephalus_glaber ENSHGLG00000010048
heterocephalus_glaber ENSHGLG00100012659
fukomys_damarensis ENSFDAG00000019927
oryctolagus_cuniculus ENSOCUG00000015328
ochotona_princeps ENSOPRG00000013985
dasypus_novemcinctus ENSDNOG00000044608
choloepus_hoffmanni ENSCHOG00000004019
loxodonta_africana ENSLAFG00000006045
procavia_capensis ENSPCAG00000016815
echinops_telfairi ENSETEG00000003663
phascolarctos_cinereus ENSPCIG00000006047
notamacropus_eugenii ENSMEUG00000008888
sarcophilus_harrisii ENSSHAG00000016959
monodelphis_domestica ENSMODG00000004961
xenopus_tropicalis ENSXETG00000002403
latimeria_chalumnae ENSLACG00000003664
monopterus_albus ENSMALG00000001642
mastacembelus_armatus ENSMAMG00000016228
anabas_testudineus ENSATEG00000016256
seriola_lalandi ENSSLDG00000016577
seriola_dumerili ENSSDUG00000002586
scophthalmus_maximus ENSSMAG00000007622
labrus_bergylta ENSLBEG00000020718
mola_mola ENSMMOG00000006429
xiphophorus_maculatus ENSXMAG00000021337
xiphophorus_couchianus ENSXCOG00000011216
gambusia_affinis ENSGAFG00000005765
poecilia_formosa ENSPFOG00000011834
poecilia_mexicana ENSPMEG00000018359
poecilia_latipinna ENSPLAG00000015994
poecilia_reticulata ENSPREG00000005610
cyprinodon_variegatus ENSCVAG00000003043
fundulus_heteroclitus ENSFHEG00000000528
kryptolebias_marmoratus ENSKMAG00000001087
oryzias_latipes ENSORLG00000026440
oryzias_latipes ENSORLG00020021249
oryzias_latipes ENSORLG00015021449
oryzias_melastigma ENSOMEG00000006901
maylandia_zebra ENSMZEG00005019789
astatotilapia_calliptera ENSACLG00000021029
pundamilia_nyererei ENSPNYG00000009364
haplochromis_burtoni ENSHBUG00000010477
neolamprologus_brichardi ENSNBRG00000013193
oreochromis_niloticus ENSONIG00000017553
amphilophus_citrinellus ENSACIG00000020588
amphiprion_percula ENSAPEG00000015158
amphiprion_ocellaris ENSAOCG00000005389
acanthochromis_polyacanthus ENSAPOG00000018201
stegastes_partitus ENSSPAG00000000550
takifugu_rubripes ENSTRUG00000021233
tetraodon_nigroviridis ENSTNIG00000018045
cynoglossus_semilaevis ENSCSEG00000002903
hippocampus_comes ENSHCOG00000020279
periophthalmus_magnuspinnatus ENSPMGG00000009957
gasterosteus_aculeatus ENSGACG00000017608
gadus_morhua ENSGMOG00000017946
esox_lucius ENSELUG00000024365
pygocentrus_nattereri ENSPNAG00000004421
astyanax_mexicanus ENSAMXG00000029487
ictalurus_punctatus ENSIPUG00000015668
ictalurus_punctatus ENSIPUG00000015678
danio_rerio ENSDARG00000060252
scleropages_formosus ENSSFOG00015018970
paramormyrops_kingsleyae ENSPKIG00000011420
lepisosteus_oculatus ENSLOCG00000002414
eptatretus_burgeri ENSEBUG00000002622
ciona_intestinalis ENSCING00000003583
ciona_savignyi ENSCSAVG00000010482
drosophila_melanogaster FBgn0030289
caenorhabditis_elegans WBGene00008775
saccharomyces_cerevisiae YGL027C
ciona_intestinalis ENSCING00000001397
ciona_savignyi ENSCSAVG00000006634
saccharomyces_cerevisiae YMR196W
