ornithorhynchus_anatinus ENSOANG00000022402
chrysemys_picta_bellii ENSCPBG00000001296
chelonoidis_abingdonii ENSCABG00000010458
pelodiscus_sinensis ENSPSIG00000005045
pogona_vitticeps ENSPVIG00000006021
anolis_carolinensis ENSACAG00000022050
notechis_scutatus ENSNSUG00000018349
salvator_merianae ENSSMRG00000016898
sphenodon_punctatus ENSSPUG00000011519
xenopus_tropicalis ENSXETG00000031263
latimeria_chalumnae ENSLACG00000008453
xiphophorus_maculatus ENSXMAG00000008722
xiphophorus_couchianus ENSXCOG00000015403
gambusia_affinis ENSGAFG00000000850
poecilia_formosa ENSPFOG00000001530
poecilia_latipinna ENSPLAG00000007569
poecilia_mexicana ENSPMEG00000016415
poecilia_reticulata ENSPREG00000012822
fundulus_heteroclitus ENSFHEG00000021038
cyprinodon_variegatus ENSCVAG00000008064
kryptolebias_marmoratus ENSKMAG00000009022
oryzias_latipes ENSORLG00020021356
oryzias_latipes_asm223469v1 ENSORLG00015014054
oryzias_latipes ENSORLG00000016625
oryzias_melastigma ENSOMEG00000021689
gasterosteus_aculeatus ENSGACG00000005811
hippocampus_comes ENSHCOG00000019965
labrus_bergylta ENSLBEG00000008395
mola_mola ENSMMOG00000009897
seriola_dumerili ENSSDUG00000007870
seriola_lalandi_dorsalis ENSSLDG00000016373
scophthalmus_maximus ENSSMAG00000001496
monopterus_albus ENSMALG00000019311
mastacembelus_armatus ENSMAMG00000015785
anabas_testudineus ENSATEG00000016314
amphiprion_ocellaris ENSAOCG00000014768
amphiprion_percula ENSAPEG00000018481
acanthochromis_polyacanthus ENSAPOG00000016934
stegastes_partitus ENSSPAG00000015301
maylandia_zebra ENSMZEG00005022963
astatotilapia_calliptera ENSACLG00000008880
pundamilia_nyererei ENSPNYG00000015302
haplochromis_burtoni ENSHBUG00000016296
oreochromis_niloticus ENSONIG00000006566
amphilophus_citrinellus ENSACIG00000011681
takifugu_rubripes ENSTRUG00000013372
tetraodon_nigroviridis ENSTNIG00000014016
cynoglossus_semilaevis ENSCSEG00000014096
periophthalmus_magnuspinnatus ENSPMGG00000006475
gadus_morhua ENSGMOG00000018103
esox_lucius ENSELUG00000014361
pygocentrus_nattereri ENSPNAG00000013882
astyanax_mexicanus ENSAMXG00000006735
ictalurus_punctatus ENSIPUG00000001449
danio_rerio ENSDARG00000060207
scleropages_formosus ENSSFOG00015008580
paramormyrops_kingsleyae ENSPKIG00000013277
lepisosteus_oculatus ENSLOCG00000005718
ciona_savignyi ENSCSAVG00000009453
ciona_intestinalis ENSCING00000001770
