vulpes_vulpes ENSVVUG00000005736
scleropages_formosus ENSSFOG00015019649
hippocampus_comes ENSHCOG00000007326
periophthalmus_magnuspinnatus ENSPMGG00000004814
monopterus_albus ENSMALG00000010278
larimichthys_crocea ENSLCRG00005009110
takifugu_rubripes ENSTRUG00000022619
tetraodon_nigroviridis ENSTNIG00000018452
takifugu_rubripes ENSTRUG00000000811
gouania_willdenowi ENSGWIG00000002611
betta_splendens ENSBSLG00000025759
maylandia_zebra ENSMZEG00005013382
astatotilapia_calliptera ENSACLG00000001629
haplochromis_burtoni ENSHBUG00000004695
pundamilia_nyererei ENSPNYG00000013523
oreochromis_niloticus ENSONIG00000002820
monopterus_albus ENSMALG00000002027
clupea_harengus ENSCHAG00000015812
xiphophorus_maculatus ENSXMAG00000014152
cyprinodon_variegatus ENSCVAG00000002879
oryzias_latipes ENSORLG00020009108
neolamprologus_brichardi ENSNBRG00000018509
oreochromis_niloticus ENSONIG00000013491
fundulus_heteroclitus ENSFHEG00000009041
poecilia_latipinna ENSPLAG00000018430
kryptolebias_marmoratus ENSKMAG00000013109
oryzias_latipes ENSORLG00015016449
haplochromis_burtoni ENSHBUG00000001738
amphilophus_citrinellus ENSACIG00000016620
amphiprion_ocellaris ENSAOCG00000013872
gouania_willdenowi ENSGWIG00000014962
anabas_testudineus ENSATEG00000007805
mastacembelus_armatus ENSMAMG00000002844
lates_calcarifer ENSLCAG00010015382
cynoglossus_semilaevis ENSCSEG00000011237
mola_mola ENSMMOG00000014614
oryzias_melastigma ENSOMEG00000008361
oryzias_latipes ENSORLG00000002080
poecilia_formosa ENSPFOG00000002176
poecilia_reticulata ENSPREG00000002085
gambusia_affinis ENSGAFG00000002582
pundamilia_nyererei ENSPNYG00000018029
amphiprion_percula ENSAPEG00000004320
stegastes_partitus ENSSPAG00000005170
parambassis_ranga ENSPRNG00000000799
seriola_lalandi ENSSLDG00000024262
seriola_dumerili ENSSDUG00000019826
labrus_bergylta ENSLBEG00000007378
betta_splendens ENSBSLG00000011344
periophthalmus_magnuspinnatus ENSPMGG00000019680
hucho_hucho ENSHHUG00000012562
hucho_hucho ENSHHUG00000022689
hucho_hucho ENSHHUG00000026740
esox_lucius ENSELUG00000007616
pygocentrus_nattereri ENSPNAG00000027361
astyanax_mexicanus ENSAMXG00005013733
electrophorus_electricus ENSEEEG00000009126
ictalurus_punctatus ENSIPUG00000016575
danio_rerio ENSDARG00000077776
denticeps_clupeoides ENSDCDG00000019111
acanthochromis_polyacanthus ENSAPOG00000021006
poecilia_mexicana ENSPMEG00000007250
maylandia_zebra ENSMZEG00005026427
astatotilapia_calliptera ENSACLG00000007243
cottoperca_gobio ENSCGOG00000006127
scophthalmus_maximus ENSSMAG00000020301
hucho_hucho ENSHHUG00000032096
astyanax_mexicanus ENSAMXG00000011597
erpetoichthys_calabaricus ENSECRG00000004233
anabas_testudineus ENSATEG00000008144
gasterosteus_aculeatus ENSGACG00000002898
acanthochromis_polyacanthus ENSAPOG00000023209
stegastes_partitus ENSSPAG00000022753
parambassis_ranga ENSPRNG00000006471
oryzias_latipes ENSORLG00020016839
oryzias_latipes ENSORLG00000006874
oryzias_melastigma ENSOMEG00000019737
cottoperca_gobio ENSCGOG00000005903
poecilia_latipinna ENSPLAG00000008709
poecilia_formosa ENSPFOG00000004063
poecilia_mexicana ENSPMEG00000010151
poecilia_reticulata ENSPREG00000002723
xiphophorus_maculatus ENSXMAG00000010310
xiphophorus_couchianus ENSXCOG00000000979
gambusia_affinis ENSGAFG00000004671
fundulus_heteroclitus ENSFHEG00000013658
larimichthys_crocea ENSLCRG00005007761
lates_calcarifer ENSLCAG00010008709
scophthalmus_maximus ENSSMAG00000000343
seriola_lalandi ENSSLDG00000014149
seriola_dumerili ENSSDUG00000013801
cynoglossus_semilaevis ENSCSEG00000007729
mola_mola ENSMMOG00000000826
amphiprion_percula ENSAPEG00000013641
oryzias_latipes ENSORLG00015001932
mastacembelus_armatus ENSMAMG00000015069
gadus_morhua ENSGMOG00000005830
esox_lucius ENSELUG00000006027
gasterosteus_aculeatus ENSGACG00000007897
labrus_bergylta ENSLBEG00000006492
amphilophus_citrinellus ENSACIG00000017966
neolamprologus_brichardi ENSNBRG00000017923
denticeps_clupeoides ENSDCDG00000022717
saimiri_boliviensis ENSSBOG00000032841
microcebus_murinus ENSMICG00000048142
neovison_vison ENSNVIG00000021316
equus_caballus ENSECAG00000014131
vombatus_ursinus ENSVURG00010004254
vombatus_ursinus ENSVURG00010022448
latimeria_chalumnae ENSLACG00000000834
latimeria_chalumnae ENSLACG00000000169
callorhinchus_milii ENSCMIG00000001175
eptatretus_burgeri ENSEBUG00000003687
canis_lupus ENSCAFG00000000604
cebus_capucinus ENSCCAG00000023486
ochotona_princeps ENSOPRG00000012138
vombatus_ursinus ENSVURG00010010599
notamacropus_eugenii ENSMEUG00000006507
monodelphis_domestica ENSMODG00000019866
chlorocebus_sabaeus ENSCSAG00000008597
carlito_syrichta ENSTSYG00000026824
ursus_americanus ENSUAMG00000003958
phascolarctos_cinereus ENSPCIG00000018506
salvator_merianae ENSSMRG00000016145
xiphophorus_couchianus ENSXCOG00000019538
cyprinodon_variegatus ENSCVAG00000000238
kryptolebias_marmoratus ENSKMAG00000016801
amphiprion_ocellaris ENSAOCG00000004860
petromyzon_marinus ENSPMAG00000000519
tetraodon_nigroviridis ENSTNIG00000019740
ciona_intestinalis ENSCING00000003902
ciona_savignyi ENSCSAVG00000009223
drosophila_melanogaster FBgn0000259
caenorhabditis_elegans WBGene00002196
drosophila_melanogaster FBgn0053243
drosophila_melanogaster FBgn0053238
drosophila_melanogaster FBgn0053242
drosophila_melanogaster FBgn0053237
drosophila_melanogaster FBgn0053246
drosophila_melanogaster FBgn0044817
drosophila_melanogaster FBgn0053239
drosophila_melanogaster FBgn0053241
drosophila_melanogaster FBgn0053245
drosophila_melanogaster FBgn0053236
drosophila_melanogaster FBgn0053244
drosophila_melanogaster FBgn0053240
drosophila_melanogaster FBgn0053247
drosophila_melanogaster FBgn0259817
drosophila_melanogaster FBgn0085506
drosophila_melanogaster FBgn0015300
drosophila_melanogaster FBgn0026136
saccharomyces_cerevisiae YGL019W
piliocolobus_tephrosceles ENSPTEG00000008808
piliocolobus_tephrosceles ENSPTEG00000008764
piliocolobus_tephrosceles ENSPTEG00000008927
piliocolobus_tephrosceles ENSPTEG00000008967
piliocolobus_tephrosceles ENSPTEG00000000269
ornithorhynchus_anatinus ENSOANG00000008442
saccharomyces_cerevisiae YOR039W
