PELODISCUSSINENSIS	pelodiscus_sinensis
MERIONESUNGUICULATUS	meriones_unguiculatus
OCTODONDEGUS	octodon_degus
DIPODOMYSORDII	dipodomys_ordii
OCHOTONAPRINCEPS	ochotona_princeps
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
MYOTISLUCIFUGUS	myotis_lucifugus
LOXODONTAAFRICANA	loxodonta_africana
BOSINDICUS	bos_indicus
BOSINDICUS	bos_indicus
BOSTAURUS	bos_taurus
BISONBISON	bison_bison
CAPRAHIRCUS	capra_hircus
SUSSCROFA	sus_scrofa
EQUUSCABALLUS	equus_caballus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
NEOVISONVISON	neovison_vison
VULPESVULPES	vulpes_vulpes
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRIS	panthera_tigris
FELISCATUS	felis_catus
MICROCEBUSMURINUS	microcebus_murinus
PROLEMURSIMUS	prolemur_simus
PROPITHECUSCOQUERELI	propithecus_coquereli
OTOLEMURGARNETTII	otolemur_garnettii
NANNOSPALAXGALILI	nannospalax_galili
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MUSSPICILEGUS	mus_spicilegus
MUSSPRETUS	mus_spretus
MUSMUSCULUS	mus_musculus
MUSCAROLI	mus_caroli
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
CHINCHILLALANIGERA	chinchilla_lanigera
HETEROCEPHALUSGLABER	heterocephalus_glaber
HETEROCEPHALUSGLABER	heterocephalus_glaber
JACULUSJACULUS	jaculus_jaculus
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CALLITHRIXJACCHUS	callithrix_jacchus
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
CEBUSCAPUCINUS	cebus_capucinus
AOTUSNANCYMAAE	aotus_nancymaae
COLOBUSANGOLENSIS	colobus_angolensis
RHINOPITHECUSBIETI	rhinopithecus_bieti
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACANEMESTRINA	macaca_nemestrina
MACACAMULATTA	macaca_mulatta
MACACAFASCICULARIS	macaca_fascicularis
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTA	marmota_marmota
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
TUPAIABELANGERI	tupaia_belangeri
TURSIOPSTRUNCATUS	tursiops_truncatus
MICROTUSOCHROGASTER	microtus_ochrogaster
PROCAVIACAPENSIS	procavia_capensis
EQUUSASINUS	equus_asinus
CANISLUPUS	canis_lupus
OVISARIES	ovis_aries
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
FUKOMYSDAMARENSIS	fukomys_damarensis
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
TAENIOPYGIAGUTTATA	taeniopygia_guttata
LONCHURASTRIATA	lonchura_striata
FICEDULAALBICOLLIS	ficedula_albicollis
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CHELONOIDISABINGDONII	chelonoidis_abingdonii
GOPHERUSAGASSIZII	gopherus_agassizii
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
MESOCRICETUSAURATUS	mesocricetus_auratus
BOSMUTUS	bos_mutus
CARLITOSYRICHTA	carlito_syrichta
ANOLISCAROLINENSIS	anolis_carolinensis
GOPHERUSAGASSIZII	gopherus_agassizii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
TAENIOPYGIAGUTTATA	taeniopygia_guttata
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
CLUPEAHARENGUS	clupea_harengus
CLUPEAHARENGUS	clupea_harengus
DENTICEPSCLUPEOIDES	denticeps_clupeoides
ASTYANAXMEXICANUS	astyanax_mexicanus
ASTYANAXMEXICANUS	astyanax_mexicanus
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
ELECTROPHORUSELECTRICUS	electrophorus_electricus
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
BETTASPLENDENS	betta_splendens
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
LATESCALCARIFER	lates_calcarifer
COTTOPERCAGOBIO	cottoperca_gobio
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
LABRUSBERGYLTA	labrus_bergylta
LARIMICHTHYSCROCEA	larimichthys_crocea
MOLAMOLA	mola_mola
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
PARAMBASSISRANGA	parambassis_ranga
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
POECILIAFORMOSA	poecilia_formosa
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIARETICULATA	poecilia_reticulata
GAMBUSIAAFFINIS	gambusia_affinis
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
GOUANIAWILLDENOWI	gouania_willdenowi
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
STEGASTESPARTITUS	stegastes_partitus
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
HIPPOCAMPUSCOMES	hippocampus_comes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
ESOXLUCIUS	esox_lucius
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
TAKIFUGURUBRIPES	takifugu_rubripes
PARAMBASSISRANGA	parambassis_ranga
COTTOPERCAGOBIO	cottoperca_gobio
LABRUSBERGYLTA	labrus_bergylta
LARIMICHTHYSCROCEA	larimichthys_crocea
MOLAMOLA	mola_mola
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
LATESCALCARIFER	lates_calcarifer
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIAMEXICANA	poecilia_mexicana
POECILIALATIPINNA	poecilia_latipinna
POECILIARETICULATA	poecilia_reticulata
POECILIAFORMOSA	poecilia_formosa
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
GOUANIAWILLDENOWI	gouania_willdenowi
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
HAPLOCHROMISBURTONI	haplochromis_burtoni
OREOCHROMISNILOTICUS	oreochromis_niloticus
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
HIPPOCAMPUSCOMES	hippocampus_comes
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
BETTASPLENDENS	betta_splendens
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
ELECTROPHORUSELECTRICUS	electrophorus_electricus
CARLITOSYRICHTA	carlito_syrichta
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
MESOCRICETUSAURATUS	mesocricetus_auratus
MONODELPHISDOMESTICA	monodelphis_domestica
ANOLISCAROLINENSIS	anolis_carolinensis
SERIOLALALANDI	seriola_lalandi
POECILIAMEXICANA	poecilia_mexicana
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
ORYZIASLATIPES	oryzias_latipes
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
SERIOLALALANDI	seriola_lalandi
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ELECTROPHORUSELECTRICUS	electrophorus_electricus
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
DENTICEPSCLUPEOIDES	denticeps_clupeoides
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
CALLORHINCHUSMILII	callorhinchus_milii
STEGASTESPARTITUS	stegastes_partitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
HUCHOHUCHO	hucho_hucho
ORYZIASMELASTIGMA	oryzias_melastigma
CALLORHINCHUSMILII	callorhinchus_milii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
EPTATRETUSBURGERI	eptatretus_burgeri
EPTATRETUSBURGERI	eptatretus_burgeri
EPTATRETUSBURGERI	eptatretus_burgeri
