MICROCEBUSMURINUS	microcebus_murinus
ESOXLUCIUS	esox_lucius
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
LABRUSBERGYLTA	labrus_bergylta
HIPPOCAMPUSCOMES	hippocampus_comes
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIALATIPINNA	poecilia_latipinna
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
POECILIAMEXICANA	poecilia_mexicana
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
HAPLOCHROMISBURTONI	haplochromis_burtoni
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
MOLAMOLA	mola_mola
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
ICTALURUSPUNCTATUS	ictalurus_punctatus
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
XENOPUSTROPICALIS	xenopus_tropicalis
CALIDRISPYGMAEA	calidris_pygmaea
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
FICEDULAALBICOLLIS	ficedula_albicollis
CYANISTESCAERULEUS	cyanistes_caeruleus
CROCODYLUSPOROSUS	crocodylus_porosus
POGONAVITTICEPS	pogona_vitticeps
GAMBUSIAAFFINIS	gambusia_affinis
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
EPTATRETUSBURGERI	eptatretus_burgeri
CARLITOSYRICHTA	carlito_syrichta
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
PANPANISCUS	pan_paniscus
PONGOABELII	pongo_abelii
ERINACEUSEUROPAEUS	erinaceus_europaeus
PETROMYZONMARINUS	petromyzon_marinus
