CAENORHABDITISELEGANSSTRAINN2	caenorhabditis_elegans_strain_n2
SPHENODONPUNCTATUS	sphenodon_punctatus
POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
TAENIOPYGIAGUTTATA	taeniopygia_guttata
SERINUSCANARIA	serinus_canaria
PARUSMAJOR	parus_major
CYANISTESCAERULEUS	cyanistes_caeruleus
JUNCOHYEMALIS	junco_hyemalis
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
FICEDULAALBICOLLIS	ficedula_albicollis
MANACUSVITELLINUS	manacus_vitellinus
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CALIDRISPYGMAEA	calidris_pygmaea
CALIDRISPUGNAX	calidris_pugnax
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
MELEAGRISGALLOPAVO	meleagris_gallopavo
NUMIDAMELEAGRIS	numida_meleagris
APTERYXOWENII	apteryx_owenii
APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
PTEROPUSVAMPYRUS	pteropus_vampyrus
MYOTISLUCIFUGUS	myotis_lucifugus
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
NEOVISONVISON	neovison_vison
MUSTELAPUTORIUSFURO	mustela_putorius_furo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
FELISCATUS	felis_catus
EQUUSCABALLUS	equus_caballus
EQUUSASINUSASINUS	equus_asinus_asinus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
VICUGNAPACOS	vicugna_pacos
MUSSPICILEGUS	mus_spicilegus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSMUSCULUS	mus_musculus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
MESOCRICETUSAURATUS	mesocricetus_auratus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
FUKOMYSDAMARENSIS	fukomys_damarensis
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CERCOCEBUSATYS	cercocebus_atys
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
MACACAFASCICULARIS	macaca_fascicularis
MACACAMULATTA	macaca_mulatta
MACACANEMESTRINA	macaca_nemestrina
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CALLITHRIXJACCHUS	callithrix_jacchus
CEBUSCAPUCINUS	cebus_capucinus
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
MICROCEBUSMURINUS	microcebus_murinus
PROPITHECUSCOQUERELI	propithecus_coquereli
PROLEMURSIMUS	prolemur_simus
OTOLEMURGARNETTII	otolemur_garnettii
SOREXARANEUS	sorex_araneus
ERINACEUSEUROPAEUS	erinaceus_europaeus
TUPAIABELANGERI	tupaia_belangeri
PROCAVIACAPENSIS	procavia_capensis
ECHINOPSTELFAIRI	echinops_telfairi
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
NOTAMACROPUSEUGENII	notamacropus_eugenii
NOTAMACROPUSEUGENII	notamacropus_eugenii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
EPTATRETUSBURGERI	eptatretus_burgeri
CIONAINTESTINALIS	ciona_intestinalis
