PROCAVIACAPENSIS	procavia_capensis
MELEAGRISGALLOPAVO	meleagris_gallopavo
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CROCODYLUSPOROSUS	crocodylus_porosus
XENOPUSTROPICALIS	xenopus_tropicalis
PANTROGLODYTES	pan_troglodytes
PANTHERAPARDUS	panthera_pardus
MONODELPHISDOMESTICA	monodelphis_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAMEXICANA	poecilia_mexicana
POECILIAMEXICANA	poecilia_mexicana
POECILIALATIPINNA	poecilia_latipinna
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
ASTYANAXMEXICANUS	astyanax_mexicanus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
DENTICEPSCLUPEOIDES	denticeps_clupeoides
DENTICEPSCLUPEOIDES	denticeps_clupeoides
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
ESOXLUCIUS	esox_lucius
GOUANIAWILLDENOWI	gouania_willdenowi
HIPPOCAMPUSCOMES	hippocampus_comes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
TAKIFUGURUBRIPES	takifugu_rubripes
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
STEGASTESPARTITUS	stegastes_partitus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
BETTASPLENDENS	betta_splendens
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
MOLAMOLA	mola_mola
COTTOPERCAGOBIO	cottoperca_gobio
LARIMICHTHYSCROCEA	larimichthys_crocea
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
PARAMBASSISRANGA	parambassis_ranga
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
ANABASTESTUDINEUS	anabas_testudineus
LATESCALCARIFER	lates_calcarifer
ASTYANAXMEXICANUS	astyanax_mexicanus
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
ELECTROPHORUSELECTRICUS	electrophorus_electricus
DANIORERIO	danio_rerio
CLUPEAHARENGUS	clupea_harengus
GADUSMORHUA	gadus_morhua
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
ERPETOICHTHYSCALABARICUS	erpetoichthys_calabaricus
LATIMERIACHALUMNAE	latimeria_chalumnae
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
CALLORHINCHUSMILII	callorhinchus_milii
PETROMYZONMARINUS	petromyzon_marinus
EPTATRETUSBURGERI	eptatretus_burgeri
EPTATRETUSBURGERI	eptatretus_burgeri
PETROMYZONMARINUS	petromyzon_marinus
