MOLAMOLA	mola_mola
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
VULPESVULPES	vulpes_vulpes
VULPESVULPES	vulpes_vulpes
CANISLUPUSDINGO	canis_lupus_dingo
EQUUSCABALLUS	equus_caballus
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSSPICILEGUS	mus_spicilegus
MICROTUSOCHROGASTER	microtus_ochrogaster
CHINCHILLALANIGERA	chinchilla_lanigera
NOMASCUSLEUCOGENYS	nomascus_leucogenys
ECHINOPSTELFAIRI	echinops_telfairi
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
MANACUSVITELLINUS	manacus_vitellinus
PARUSMAJOR	parus_major
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
APTERYXHAASTII	apteryx_haastii
CALIDRISPYGMAEA	calidris_pygmaea
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
MICROTUSOCHROGASTER	microtus_ochrogaster
JUNCOHYEMALIS	junco_hyemalis
EQUUSASINUSASINUS	equus_asinus_asinus
OTOLEMURGARNETTII	otolemur_garnettii
MUSSPICILEGUS	mus_spicilegus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MICROTUSOCHROGASTER	microtus_ochrogaster
OCHOTONAPRINCEPS	ochotona_princeps
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
PTEROPUSVAMPYRUS	pteropus_vampyrus
VULPESVULPES	vulpes_vulpes
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BOSTAURUS	bos_taurus
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
NOTECHISSCUTATUS	notechis_scutatus
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
PANTHERAPARDUS	panthera_pardus
TURSIOPSTRUNCATUS	tursiops_truncatus
HOMOSAPIENS	homo_sapiens
NOMASCUSLEUCOGENYS	nomascus_leucogenys
MACACANEMESTRINA	macaca_nemestrina
CALLITHRIXJACCHUS	callithrix_jacchus
MICROCEBUSMURINUS	microcebus_murinus
DIPODOMYSORDII	dipodomys_ordii
OCHOTONAPRINCEPS	ochotona_princeps
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
RHINOPITHECUSBIETI	rhinopithecus_bieti
CERCOCEBUSATYS	cercocebus_atys
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
MACACAMULATTA	macaca_mulatta
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CARLITOSYRICHTA	carlito_syrichta
PROPITHECUSCOQUERELI	propithecus_coquereli
TUPAIABELANGERI	tupaia_belangeri
MUSPAHARI	mus_pahari
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CHINCHILLALANIGERA	chinchilla_lanigera
PROCAVIACAPENSIS	procavia_capensis
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
GALLUSGALLUS	gallus_gallus
JACULUSJACULUS	jaculus_jaculus
MERIONESUNGUICULATUS	meriones_unguiculatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
UROCITELLUSPARRYII	urocitellus_parryii
RATTUSNORVEGICUS	rattus_norvegicus
CAVIAAPEREA	cavia_aperea
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
MACACAFASCICULARIS	macaca_fascicularis
THEROPITHECUSGELADA	theropithecus_gelada
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
PANTROGLODYTES	pan_troglodytes
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
NEOVISONVISON	neovison_vison
PANTHERATIGRISALTAICA	panthera_tigris_altaica
FELISCATUS	felis_catus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MERIONESUNGUICULATUS	meriones_unguiculatus
CHINCHILLALANIGERA	chinchilla_lanigera
CARLITOSYRICHTA	carlito_syrichta
PANTHERAPARDUS	panthera_pardus
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
VULPESVULPES	vulpes_vulpes
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
MICROCEBUSMURINUS	microcebus_murinus
CASTORCANADENSIS	castor_canadensis
CEBUSCAPUCINUS	cebus_capucinus
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
CAPRAHIRCUS	capra_hircus
LOXODONTAAFRICANA	loxodonta_africana
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CYANISTESCAERULEUS	cyanistes_caeruleus
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
SERINUSCANARIA	serinus_canaria
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
FICEDULAALBICOLLIS	ficedula_albicollis
NUMIDAMELEAGRIS	numida_meleagris
GOPHERUSAGASSIZII	gopherus_agassizii
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
PELODISCUSSINENSIS	pelodiscus_sinensis
CHELONOIDISABINGDONII	chelonoidis_abingdonii
SARCOPHILUSHARRISII	sarcophilus_harrisii
PANPANISCUS	pan_paniscus
PONGOABELII	pongo_abelii
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
VICUGNAPACOS	vicugna_pacos
LEPIDOTHRIXCORONATA	lepidothrix_coronata
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
EPTATRETUSBURGERI	eptatretus_burgeri
CIONASAVIGNYI	ciona_savignyi
CIONAINTESTINALIS	ciona_intestinalis
DROSOPHILAMELANOGASTER	drosophila_melanogaster
CAENORHABDITISELEGANSSTRAINN2	caenorhabditis_elegans_strain_n2
