PROLEMURSIMUS	prolemur_simus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MESOCRICETUSAURATUS	mesocricetus_auratus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
MESOCRICETUSAURATUS	mesocricetus_auratus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MICROTUSOCHROGASTER	microtus_ochrogaster
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSSPICILEGUS	mus_spicilegus
MUSSPICILEGUS	mus_spicilegus
MUSSPICILEGUS	mus_spicilegus
MUSSPICILEGUS	mus_spicilegus
MUSSPICILEGUS	mus_spicilegus
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
RATTUSNORVEGICUS	rattus_norvegicus
RATTUSNORVEGICUS	rattus_norvegicus
CASTORCANADENSIS	castor_canadensis
OCTODONDEGUS	octodon_degus
CASTORCANADENSIS	castor_canadensis
MERIONESUNGUICULATUS	meriones_unguiculatus
MERIONESUNGUICULATUS	meriones_unguiculatus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
MICROCEBUSMURINUS	microcebus_murinus
CHINCHILLALANIGERA	chinchilla_lanigera
JACULUSJACULUS	jaculus_jaculus
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
BISONBISONBISON	bison_bison_bison
BOSMUTUS	bos_mutus
SUSSCROFA	sus_scrofa
SUSSCROFA	sus_scrofa
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
FELISCATUS	felis_catus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
EQUUSASINUSASINUS	equus_asinus_asinus
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
MACACAFASCICULARIS	macaca_fascicularis
BOSTAURUS	bos_taurus
HOMOSAPIENS	homo_sapiens
OCTODONDEGUS	octodon_degus
OCTODONDEGUS	octodon_degus
NANNOSPALAXGALILI	nannospalax_galili
NANNOSPALAXGALILI	nannospalax_galili
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
GORILLAGORILLA	gorilla_gorilla
CEBUSCAPUCINUS	cebus_capucinus
CEBUSCAPUCINUS	cebus_capucinus
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
NEOVISONVISON	neovison_vison
PANTHERAPARDUS	panthera_pardus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
FUKOMYSDAMARENSIS	fukomys_damarensis
THEROPITHECUSGELADA	theropithecus_gelada
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CAPRAHIRCUS	capra_hircus
OCTODONDEGUS	octodon_degus
OCTODONDEGUS	octodon_degus
MERIONESUNGUICULATUS	meriones_unguiculatus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CAPRAHIRCUS	capra_hircus
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
PONGOABELII	pongo_abelii
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
NANNOSPALAXGALILI	nannospalax_galili
NANNOSPALAXGALILI	nannospalax_galili
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MONODELPHISDOMESTICA	monodelphis_domestica
SARCOPHILUSHARRISII	sarcophilus_harrisii
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
DIPODOMYSORDII	dipodomys_ordii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
PELODISCUSSINENSIS	pelodiscus_sinensis
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
SPHENODONPUNCTATUS	sphenodon_punctatus
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
FICEDULAALBICOLLIS	ficedula_albicollis
CYANISTESCAERULEUS	cyanistes_caeruleus
LEPIDOTHRIXCORONATA	lepidothrix_coronata
JUNCOHYEMALIS	junco_hyemalis
MANACUSVITELLINUS	manacus_vitellinus
SERINUSCANARIA	serinus_canaria
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
CALIDRISPUGNAX	calidris_pugnax
NUMIDAMELEAGRIS	numida_meleagris
APTERYXHAASTII	apteryx_haastii
GALLUSGALLUS	gallus_gallus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
MELEAGRISGALLOPAVO	meleagris_gallopavo
COTURNIXJAPONICA	coturnix_japonica
CALIDRISPYGMAEA	calidris_pygmaea
APTERYXROWI	apteryx_rowi
SPHENODONPUNCTATUS	sphenodon_punctatus
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
PARUSMAJOR	parus_major
GOPHERUSAGASSIZII	gopherus_agassizii
SALVATORMERIANAE	salvator_merianae
NOTECHISSCUTATUS	notechis_scutatus
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
MASTACEMBELUSARMATUS	mastacembelus_armatus
SCLEROPAGESFORMOSUS	scleropages_formosus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
ESOXLUCIUS	esox_lucius
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
HAPLOCHROMISBURTONI	haplochromis_burtoni
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIARETICULATA	poecilia_reticulata
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
LABRUSBERGYLTA	labrus_bergylta
ANABASTESTUDINEUS	anabas_testudineus
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
STEGASTESPARTITUS	stegastes_partitus
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SERIOLADUMERILI	seriola_dumerili
MONOPTERUSALBUS	monopterus_albus
HIPPOCAMPUSCOMES	hippocampus_comes
XENOPUSTROPICALIS	xenopus_tropicalis
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
LATIMERIACHALUMNAE	latimeria_chalumnae
LATIMERIACHALUMNAE	latimeria_chalumnae
APTERYXOWENII	apteryx_owenii
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
EQUUSCABALLUS	equus_caballus
EQUUSASINUSASINUS	equus_asinus_asinus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
UROCITELLUSPARRYII	urocitellus_parryii
LOXODONTAAFRICANA	loxodonta_africana
MOLAMOLA	mola_mola
TAKIFUGURUBRIPES	takifugu_rubripes
LABRUSBERGYLTA	labrus_bergylta
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GAMBUSIAAFFINIS	gambusia_affinis
MERIONESUNGUICULATUS	meriones_unguiculatus
MERIONESUNGUICULATUS	meriones_unguiculatus
PTEROPUSVAMPYRUS	pteropus_vampyrus
ERINACEUSEUROPAEUS	erinaceus_europaeus
OCHOTONAPRINCEPS	ochotona_princeps
PROCAVIACAPENSIS	procavia_capensis
TURSIOPSTRUNCATUS	tursiops_truncatus
NOTAMACROPUSEUGENII	notamacropus_eugenii
MACACAMULATTA	macaca_mulatta
TAENIOPYGIAGUTTATA	taeniopygia_guttata
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
EPTATRETUSBURGERI	eptatretus_burgeri
PETROMYZONMARINUS	petromyzon_marinus
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
CIONASAVIGNYI	ciona_savignyi
CIONAINTESTINALIS	ciona_intestinalis
DROSOPHILAMELANOGASTER	drosophila_melanogaster
CAENORHABDITISELEGANSSTRAINN2	caenorhabditis_elegans_strain_n2
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
