EPTATRETUSBURGERI	eptatretus_burgeri
PARAMBASSISRANGA	parambassis_ranga
MASTACEMBELUSARMATUS	mastacembelus_armatus
LARIMICHTHYSCROCEA	larimichthys_crocea
HIPPOCAMPUSCOMES	hippocampus_comes
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
GADUSMORHUA	gadus_morhua
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
ESOXLUCIUS	esox_lucius
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
ERPETOICHTHYSCALABARICUS	erpetoichthys_calabaricus
CALLORHINCHUSMILII	callorhinchus_milii
MELEAGRISGALLOPAVO	meleagris_gallopavo
SPHENODONPUNCTATUS	sphenodon_punctatus
DROSOPHILAMELANOGASTER	drosophila_melanogaster
