MANACUSVITELLINUS	manacus_vitellinus
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
FUKOMYSDAMARENSIS	fukomys_damarensis
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
UROCITELLUSPARRYII	urocitellus_parryii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
CERCOCEBUSATYS	cercocebus_atys
MACACAMULATTA	macaca_mulatta
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
RHINOPITHECUSBIETI	rhinopithecus_bieti
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
CALLITHRIXJACCHUS	callithrix_jacchus
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
PROPITHECUSCOQUERELI	propithecus_coquereli
MICROCEBUSMURINUS	microcebus_murinus
PROLEMURSIMUS	prolemur_simus
OTOLEMURGARNETTII	otolemur_garnettii
TUPAIABELANGERI	tupaia_belangeri
MYOTISLUCIFUGUS	myotis_lucifugus
PTEROPUSVAMPYRUS	pteropus_vampyrus
VICUGNAPACOS	vicugna_pacos
SUSSCROFA	sus_scrofa
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
URSUSAMERICANUS	ursus_americanus
URSUSMARITIMUS	ursus_maritimus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
FELISCATUS	felis_catus
SOREXARANEUS	sorex_araneus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
LOXODONTAAFRICANA	loxodonta_africana
ECHINOPSTELFAIRI	echinops_telfairi
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
LATIMERIACHALUMNAE	latimeria_chalumnae
