COTURNIXJAPONICA	coturnix_japonica
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
PROLEMURSIMUS	prolemur_simus
PROPITHECUSCOQUERELI	propithecus_coquereli
MICROCEBUSMURINUS	microcebus_murinus
OTOLEMURGARNETTII	otolemur_garnettii
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
SOREXARANEUS	sorex_araneus
ERINACEUSEUROPAEUS	erinaceus_europaeus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
CALLORHINCHUSMILII	callorhinchus_milii
