ERINACEUSEUROPAEUS	erinaceus_europaeus
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CARLITOSYRICHTA	carlito_syrichta
PROPITHECUSCOQUERELI	propithecus_coquereli
MICROCEBUSMURINUS	microcebus_murinus
PROLEMURSIMUS	prolemur_simus
OTOLEMURGARNETTII	otolemur_garnettii
TUPAIABELANGERI	tupaia_belangeri
CANISLUPUSDINGO	canis_lupus_dingo
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
VULPESVULPES	vulpes_vulpes
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
CAPRAHIRCUS	capra_hircus
CAPRAHIRCUS	capra_hircus
OVISARIES	ovis_aries
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
TURSIOPSTRUNCATUS	tursiops_truncatus
SUSSCROFA	sus_scrofa
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
MYOTISLUCIFUGUS	myotis_lucifugus
PTEROPUSVAMPYRUS	pteropus_vampyrus
PROCAVIACAPENSIS	procavia_capensis
LOXODONTAAFRICANA	loxodonta_africana
ECHINOPSTELFAIRI	echinops_telfairi
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MONODELPHISDOMESTICA	monodelphis_domestica
NOTAMACROPUSEUGENII	notamacropus_eugenii
SARCOPHILUSHARRISII	sarcophilus_harrisii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
MANACUSVITELLINUS	manacus_vitellinus
MANACUSVITELLINUS	manacus_vitellinus
LEPIDOTHRIXCORONATA	lepidothrix_coronata
TAENIOPYGIAGUTTATA	taeniopygia_guttata
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
PARUSMAJOR	parus_major
CYANISTESCAERULEUS	cyanistes_caeruleus
FICEDULAALBICOLLIS	ficedula_albicollis
SERINUSCANARIA	serinus_canaria
JUNCOHYEMALIS	junco_hyemalis
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
CALIDRISPYGMAEA	calidris_pygmaea
CALIDRISPUGNAX	calidris_pugnax
APTERYXROWI	apteryx_rowi
APTERYXOWENII	apteryx_owenii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
APTERYXHAASTII	apteryx_haastii
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
MELEAGRISGALLOPAVO	meleagris_gallopavo
COTURNIXJAPONICA	coturnix_japonica
GALLUSGALLUS	gallus_gallus
NUMIDAMELEAGRIS	numida_meleagris
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
LATIMERIACHALUMNAE	latimeria_chalumnae
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
MOLAMOLA	mola_mola
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
OREOCHROMISNILOTICUS	oreochromis_niloticus
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
ANABASTESTUDINEUS	anabas_testudineus
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
HIPPOCAMPUSCOMES	hippocampus_comes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
POECILIAFORMOSA	poecilia_formosa
POECILIAMEXICANA	poecilia_mexicana
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
POECILIARETICULATA	poecilia_reticulata
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
XENOPUSTROPICALIS	xenopus_tropicalis
EPTATRETUSBURGERI	eptatretus_burgeri
CIONAINTESTINALIS	ciona_intestinalis
