ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
STEGASTESPARTITUS	stegastes_partitus
SERIOLALALANDI	seriola_lalandi
SERIOLADUMERILI	seriola_dumerili
LATESCALCARIFER	lates_calcarifer
ANABASTESTUDINEUS	anabas_testudineus
PARAMBASSISRANGA	parambassis_ranga
GOUANIAWILLDENOWI	gouania_willdenowi
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIAMEXICANA	poecilia_mexicana
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIARETICULATA	poecilia_reticulata
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
BETTASPLENDENS	betta_splendens
GADUSMORHUA	gadus_morhua
HUCHOHUCHO	hucho_hucho
HUCHOHUCHO	hucho_hucho
ESOXLUCIUS	esox_lucius
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
ERPETOICHTHYSCALABARICUS	erpetoichthys_calabaricus
CALLORHINCHUSMILII	callorhinchus_milii
