FUNDULUSHETEROCLITUS	fundulus_heteroclitus
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
MICROTUSOCHROGASTER	microtus_ochrogaster
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
PANTHERAPARDUS	panthera_pardus
EQUUSCABALLUS	equus_caballus
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
URSUSMARITIMUS	ursus_maritimus
URSUSAMERICANUS	ursus_americanus
VICUGNAPACOS	vicugna_pacos
SPHENODONPUNCTATUS	sphenodon_punctatus
MELEAGRISGALLOPAVO	meleagris_gallopavo
MANACUSVITELLINUS	manacus_vitellinus
JUNCOHYEMALIS	junco_hyemalis
PARUSMAJOR	parus_major
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
GOPHERUSAGASSIZII	gopherus_agassizii
CASTORCANADENSIS	castor_canadensis
OCTODONDEGUS	octodon_degus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MICROTUSOCHROGASTER	microtus_ochrogaster
MUSSPICILEGUS	mus_spicilegus
MUSMUSCULUS	mus_musculus
MUSPAHARI	mus_pahari
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
OCHOTONAPRINCEPS	ochotona_princeps
RHINOPITHECUSBIETI	rhinopithecus_bieti
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
MACACANEMESTRINA	macaca_nemestrina
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
PANTROGLODYTES	pan_troglodytes
CEBUSCAPUCINUS	cebus_capucinus
MICROCEBUSMURINUS	microcebus_murinus
TUPAIABELANGERI	tupaia_belangeri
FELISCATUS	felis_catus
LEPIDOTHRIXCORONATA	lepidothrix_coronata
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
GALLUSGALLUS	gallus_gallus
APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
OVISARIES	ovis_aries
CAPRAHIRCUS	capra_hircus
BISONBISONBISON	bison_bison_bison
SUSSCROFA	sus_scrofa
EQUUSASINUSASINUS	equus_asinus_asinus
UROCITELLUSPARRYII	urocitellus_parryii
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
MACACAFASCICULARIS	macaca_fascicularis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PANPANISCUS	pan_paniscus
CALLITHRIXJACCHUS	callithrix_jacchus
OTOLEMURGARNETTII	otolemur_garnettii
PROPITHECUSCOQUERELI	propithecus_coquereli
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
PONGOABELII	pongo_abelii
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
RATTUSNORVEGICUS	rattus_norvegicus
NEOVISONVISON	neovison_vison
TURSIOPSTRUNCATUS	tursiops_truncatus
CERCOCEBUSATYS	cercocebus_atys
CARLITOSYRICHTA	carlito_syrichta
BOSMUTUS	bos_mutus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
PAPIOANUBIS	papio_anubis
PROLEMURSIMUS	prolemur_simus
FUKOMYSDAMARENSIS	fukomys_damarensis
LOXODONTAAFRICANA	loxodonta_africana
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
OCTODONDEGUS	octodon_degus
CALIDRISPYGMAEA	calidris_pygmaea
SPERMOPHILUSDAURICUS	spermophilus_dauricus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MERIONESUNGUICULATUS	meriones_unguiculatus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MACACAFASCICULARIS	macaca_fascicularis
CARLITOSYRICHTA	carlito_syrichta
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
MICROCEBUSMURINUS	microcebus_murinus
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
PANTHERAPARDUS	panthera_pardus
SUSSCROFA	sus_scrofa
BOSMUTUS	bos_mutus
BISONBISONBISON	bison_bison_bison
BISONBISONBISON	bison_bison_bison
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CALLITHRIXJACCHUS	callithrix_jacchus
GORILLAGORILLA	gorilla_gorilla
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
AOTUSNANCYMAAE	aotus_nancymaae
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
PAPIOANUBIS	papio_anubis
CEBUSCAPUCINUS	cebus_capucinus
CARLITOSYRICHTA	carlito_syrichta
MICROCEBUSMURINUS	microcebus_murinus
CERCOCEBUSATYS	cercocebus_atys
CEBUSCAPUCINUS	cebus_capucinus
MICROCEBUSMURINUS	microcebus_murinus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
OCTODONDEGUS	octodon_degus
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
AOTUSNANCYMAAE	aotus_nancymaae
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
VULPESVULPES	vulpes_vulpes
BOSMUTUS	bos_mutus
CANISLUPUSDINGO	canis_lupus_dingo
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
CROCODYLUSPOROSUS	crocodylus_porosus
CALLITHRIXJACCHUS	callithrix_jacchus
AOTUSNANCYMAAE	aotus_nancymaae
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
NEOVISONVISON	neovison_vison
CANISLUPUSDINGO	canis_lupus_dingo
EQUUSASINUSASINUS	equus_asinus_asinus
EQUUSCABALLUS	equus_caballus
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
CEBUSCAPUCINUS	cebus_capucinus
PROLEMURSIMUS	prolemur_simus
CASTORCANADENSIS	castor_canadensis
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
OCTODONDEGUS	octodon_degus
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PROPITHECUSCOQUERELI	propithecus_coquereli
MUSSPICILEGUS	mus_spicilegus
MUSSPICILEGUS	mus_spicilegus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
BOSMUTUS	bos_mutus
BOSTAURUS	bos_taurus
BISONBISONBISON	bison_bison_bison
URSUSAMERICANUS	ursus_americanus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
LATIMERIACHALUMNAE	latimeria_chalumnae
PETROMYZONMARINUS	petromyzon_marinus
CARLITOSYRICHTA	carlito_syrichta
CARLITOSYRICHTA	carlito_syrichta
CERCOCEBUSATYS	cercocebus_atys
MACACANEMESTRINA	macaca_nemestrina
RHINOPITHECUSBIETI	rhinopithecus_bieti
MACACANEMESTRINA	macaca_nemestrina
MACACANEMESTRINA	macaca_nemestrina
MACACAMULATTA	macaca_mulatta
PAPIOANUBIS	papio_anubis
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
NOMASCUSLEUCOGENYS	nomascus_leucogenys
PAPIOANUBIS	papio_anubis
NOMASCUSLEUCOGENYS	nomascus_leucogenys
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
MICROCEBUSMURINUS	microcebus_murinus
NANNOSPALAXGALILI	nannospalax_galili
NANNOSPALAXGALILI	nannospalax_galili
BISONBISONBISON	bison_bison_bison
SUSSCROFA	sus_scrofa
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
XENOPUSTROPICALIS	xenopus_tropicalis
EPTATRETUSBURGERI	eptatretus_burgeri
LATIMERIACHALUMNAE	latimeria_chalumnae
SCLEROPAGESFORMOSUS	scleropages_formosus
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
POECILIALATIPINNA	poecilia_latipinna
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
STEGASTESPARTITUS	stegastes_partitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
SERIOLADUMERILI	seriola_dumerili
POECILIAMEXICANA	poecilia_mexicana
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
GAMBUSIAAFFINIS	gambusia_affinis
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
ANABASTESTUDINEUS	anabas_testudineus
AMPHIPRIONPERCULA	amphiprion_percula
HAPLOCHROMISBURTONI	haplochromis_burtoni
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
LABRUSBERGYLTA	labrus_bergylta
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
HIPPOCAMPUSCOMES	hippocampus_comes
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
ESOXLUCIUS	esox_lucius
ESOXLUCIUS	esox_lucius
GADUSMORHUA	gadus_morhua
DANIORERIO	danio_rerio
ASTYANAXMEXICANUS	astyanax_mexicanus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
ICTALURUSPUNCTATUS	ictalurus_punctatus
LATIMERIACHALUMNAE	latimeria_chalumnae
SCLEROPAGESFORMOSUS	scleropages_formosus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
CIONAINTESTINALIS	ciona_intestinalis
CIONASAVIGNYI	ciona_savignyi
DROSOPHILAMELANOGASTER	drosophila_melanogaster
CAENORHABDITISELEGANSSTRAINN2	caenorhabditis_elegans_strain_n2
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
