TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
MUSTELAPUTORIUSFURO	mustela_putorius_furo
NEOVISONVISON	neovison_vison
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
URSUSAMERICANUS	ursus_americanus
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
CALLITHRIXJACCHUS	callithrix_jacchus
CEBUSCAPUCINUS	cebus_capucinus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
AOTUSNANCYMAAE	aotus_nancymaae
AOTUSNANCYMAAE	aotus_nancymaae
PANPANISCUS	pan_paniscus
PANTROGLODYTES	pan_troglodytes
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
MACACAMULATTA	macaca_mulatta
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
THEROPITHECUSGELADA	theropithecus_gelada
CERCOCEBUSATYS	cercocebus_atys
PAPIOANUBIS	papio_anubis
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
OTOLEMURGARNETTII	otolemur_garnettii
ERINACEUSEUROPAEUS	erinaceus_europaeus
ERINACEUSEUROPAEUS	erinaceus_europaeus
EQUUSCABALLUS	equus_caballus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
LOXODONTAAFRICANA	loxodonta_africana
PROCAVIACAPENSIS	procavia_capensis
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
OCTODONDEGUS	octodon_degus
CAVIAPORCELLUS	cavia_porcellus
CHINCHILLALANIGERA	chinchilla_lanigera
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSSPICILEGUS	mus_spicilegus
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
UROCITELLUSPARRYII	urocitellus_parryii
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
OCHOTONAPRINCEPS	ochotona_princeps
TUPAIABELANGERI	tupaia_belangeri
MYOTISLUCIFUGUS	myotis_lucifugus
ECHINOPSTELFAIRI	echinops_telfairi
PROPITHECUSCOQUERELI	propithecus_coquereli
PROLEMURSIMUS	prolemur_simus
MICROCEBUSMURINUS	microcebus_murinus
PTEROPUSVAMPYRUS	pteropus_vampyrus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
MONODELPHISDOMESTICA	monodelphis_domestica
URSUSMARITIMUS	ursus_maritimus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
AOTUSNANCYMAAE	aotus_nancymaae
SARCOPHILUSHARRISII	sarcophilus_harrisii
SPHENODONPUNCTATUS	sphenodon_punctatus
MELEAGRISGALLOPAVO	meleagris_gallopavo
COTURNIXJAPONICA	coturnix_japonica
GALLUSGALLUS	gallus_gallus
NUMIDAMELEAGRIS	numida_meleagris
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
CALIDRISPUGNAX	calidris_pugnax
CALIDRISPYGMAEA	calidris_pygmaea
JUNCOHYEMALIS	junco_hyemalis
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
SERINUSCANARIA	serinus_canaria
CYANISTESCAERULEUS	cyanistes_caeruleus
PARUSMAJOR	parus_major
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
FICEDULAALBICOLLIS	ficedula_albicollis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MANACUSVITELLINUS	manacus_vitellinus
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
APTERYXHAASTII	apteryx_haastii
APTERYXOWENII	apteryx_owenii
APTERYXROWI	apteryx_rowi
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
POGONAVITTICEPS	pogona_vitticeps
ANOLISCAROLINENSIS	anolis_carolinensis
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
TAENIOPYGIAGUTTATA	taeniopygia_guttata
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
CYANISTESCAERULEUS	cyanistes_caeruleus
PARUSMAJOR	parus_major
JUNCOHYEMALIS	junco_hyemalis
LEPIDOTHRIXCORONATA	lepidothrix_coronata
FICEDULAALBICOLLIS	ficedula_albicollis
TAENIOPYGIAGUTTATA	taeniopygia_guttata
MANACUSVITELLINUS	manacus_vitellinus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
NUMIDAMELEAGRIS	numida_meleagris
CALIDRISPYGMAEA	calidris_pygmaea
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CHELONOIDISABINGDONII	chelonoidis_abingdonii
GOPHERUSAGASSIZII	gopherus_agassizii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
CROCODYLUSPOROSUS	crocodylus_porosus
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
SALVATORMERIANAE	salvator_merianae
NOTECHISSCUTATUS	notechis_scutatus
SPHENODONPUNCTATUS	sphenodon_punctatus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MONODELPHISDOMESTICA	monodelphis_domestica
MUSSPICILEGUS	mus_spicilegus
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSCAROLISTRAINCAROLIEIJ	mus_caroli_strain_caroli_eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
NANNOSPALAXGALILI	nannospalax_galili
DIPODOMYSORDII	dipodomys_ordii
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
BOSMUTUS	bos_mutus
EQUUSASINUSASINUS	equus_asinus_asinus
OTOLEMURGARNETTII	otolemur_garnettii
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
PAPIOANUBIS	papio_anubis
MACACANEMESTRINA	macaca_nemestrina
CERCOCEBUSATYS	cercocebus_atys
THEROPITHECUSGELADA	theropithecus_gelada
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
PANTHERAPARDUS	panthera_pardus
FELISCATUS	felis_catus
BOSTAURUS	bos_taurus
CAPRAHIRCUS	capra_hircus
EQUUSCABALLUS	equus_caballus
SUSSCROFA	sus_scrofa
ERINACEUSEUROPAEUS	erinaceus_europaeus
SOREXARANEUS	sorex_araneus
VULPESVULPES	vulpes_vulpes
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
OCTODONDEGUS	octodon_degus
CAVIAPORCELLUS	cavia_porcellus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
PROPITHECUSCOQUERELI	propithecus_coquereli
MICROCEBUSMURINUS	microcebus_murinus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
LATIMERIACHALUMNAE	latimeria_chalumnae
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
HIPPOCAMPUSCOMES	hippocampus_comes
MONOPTERUSALBUS	monopterus_albus
MASTACEMBELUSARMATUS	mastacembelus_armatus
LABRUSBERGYLTA	labrus_bergylta
MOLAMOLA	mola_mola
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GAMBUSIAAFFINIS	gambusia_affinis
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
POECILIARETICULATA	poecilia_reticulata
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
HAPLOCHROMISBURTONI	haplochromis_burtoni
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
TAKIFUGURUBRIPES	takifugu_rubripes
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
POECILIAMEXICANA	poecilia_mexicana
POECILIAFORMOSA	poecilia_formosa
POECILIARETICULATA	poecilia_reticulata
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
HAPLOCHROMISBURTONI	haplochromis_burtoni
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
EPTATRETUSBURGERI	eptatretus_burgeri
CIONASAVIGNYI	ciona_savignyi
CIONAINTESTINALIS	ciona_intestinalis
