TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
MACACANEMESTRINA	macaca_nemestrina
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRIS	panthera_tigris
PTEROPUSVAMPYRUS	pteropus_vampyrus
THEROPITHECUSGELADA	theropithecus_gelada
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
COLOBUSANGOLENSIS	colobus_angolensis
NOMASCUSLEUCOGENYS	nomascus_leucogenys
PONGOABELII	pongo_abelii
SAIMIRIBOLIVIENSIS	saimiri_boliviensis
CARLITOSYRICHTA	carlito_syrichta
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
PROCAVIACAPENSIS	procavia_capensis
RHINOPITHECUSBIETI	rhinopithecus_bieti
MUSMUSCULUS	mus_musculus
MUSSPRETUS	mus_spretus
MUSSPICILEGUS	mus_spicilegus
MUSCAROLI	mus_caroli
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
MESOCRICETUSAURATUS	mesocricetus_auratus
MICROTUSOCHROGASTER	microtus_ochrogaster
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
VOMBATUSURSINUS	vombatus_ursinus
NOTAMACROPUSEUGENII	notamacropus_eugenii
XENOPUSTROPICALIS	xenopus_tropicalis
CALLORHINCHUSMILII	callorhinchus_milii
EPTATRETUSBURGERI	eptatretus_burgeri
