SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PROCAVIACAPENSIS	procavia_capensis
LOXODONTAAFRICANA	loxodonta_africana
ECHINOPSTELFAIRI	echinops_telfairi
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
POECILIAFORMOSA	poecilia_formosa
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
MONOPTERUSALBUS	monopterus_albus
ICTALURUSPUNCTATUS	ictalurus_punctatus
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
SCLEROPAGESFORMOSUS	scleropages_formosus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ASTYANAXMEXICANUS	astyanax_mexicanus
DANIORERIO	danio_rerio
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
GOPHERUSAGASSIZII	gopherus_agassizii
PELODISCUSSINENSIS	pelodiscus_sinensis
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
SALVATORMERIANAE	salvator_merianae
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MONODELPHISDOMESTICA	monodelphis_domestica
NOTAMACROPUSEUGENII	notamacropus_eugenii
SARCOPHILUSHARRISII	sarcophilus_harrisii
MICROCEBUSMURINUS	microcebus_murinus
PROLEMURSIMUS	prolemur_simus
PROPITHECUSCOQUERELI	propithecus_coquereli
OTOLEMURGARNETTII	otolemur_garnettii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
PANTROGLODYTES	pan_troglodytes
GORILLAGORILLA	gorilla_gorilla
PAPIOANUBIS	papio_anubis
THEROPITHECUSGELADA	theropithecus_gelada
CERCOCEBUSATYS	cercocebus_atys
MACACAFASCICULARIS	macaca_fascicularis
MACACANEMESTRINA	macaca_nemestrina
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
AOTUSNANCYMAAE	aotus_nancymaae
RHINOPITHECUSBIETI	rhinopithecus_bieti
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
PEROMYSCUSMANICULATUSBAIRDII	peromyscus_maniculatus_bairdii
MESOCRICETUSAURATUS	mesocricetus_auratus
CRICETULUSGRISEUSCHOK1GSHD	cricetulus_griseus_chok1gshd
CRICETULUSGRISEUSCRIGRIPICR	cricetulus_griseus_crigri-picr
CRICETULUSGRISEUSCRIGRI	cricetulus_griseus_crigri
MUSMUSCULUS	mus_musculus
MUSSPRETUSSTRAINSPRETEIJ	mus_spretus_strain_spret/eij
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
DIPODOMYSORDII	dipodomys_ordii
CANISLUPUSFAMILIARIS	canis_lupus_familiaris
CANISLUPUSDINGO	canis_lupus_dingo
VULPESVULPES	vulpes_vulpes
MUSTELAPUTORIUSFURO	mustela_putorius_furo
FELISCATUS	felis_catus
PANTHERAPARDUS	panthera_pardus
EQUUSCABALLUS	equus_caballus
SUSSCROFA	sus_scrofa
BOSTAURUS	bos_taurus
TURSIOPSTRUNCATUS	tursiops_truncatus
PTEROPUSVAMPYRUS	pteropus_vampyrus
LOXODONTAAFRICANA	loxodonta_africana
PONGOABELII	pongo_abelii
MACACAMULATTA	macaca_mulatta
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
CIONAINTESTINALIS	ciona_intestinalis
