ERINACEUSEUROPAEUS	erinaceus_europaeus
SUSSCROFA	sus_scrofa
TURSIOPSTRUNCATUS	tursiops_truncatus
URSUSMARITIMUS	ursus_maritimus
AILUROPODAMELANOLEUCA	ailuropoda_melanoleuca
MUSTELAPUTORIUSFURO	mustela_putorius_furo
CANISLUPUSDINGO	canis_lupus_dingo
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRISALTAICA	panthera_tigris_altaica
FELISCATUS	felis_catus
EQUUSCABALLUS	equus_caballus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
SARCOPHILUSHARRISII	sarcophilus_harrisii
MONODELPHISDOMESTICA	monodelphis_domestica
OCHOTONAPRINCEPS	ochotona_princeps
OCHOTONAPRINCEPS	ochotona_princeps
NEOVISONVISON	neovison_vison
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ANOLISCAROLINENSIS	anolis_carolinensis
POGONAVITTICEPS	pogona_vitticeps
NOTECHISSCUTATUS	notechis_scutatus
SALVATORMERIANAE	salvator_merianae
SPHENODONPUNCTATUS	sphenodon_punctatus
CALIDRISPYGMAEA	calidris_pygmaea
CALIDRISPUGNAX	calidris_pugnax
MELOPSITTACUSUNDULATUS	melopsittacus_undulatus
ANSERBRACHYRHYNCHUS	anser_brachyrhynchus
ANASPLATYRHYNCHOSPLATYRHYNCHOS	anas_platyrhynchos_platyrhynchos
GALLUSGALLUS	gallus_gallus
COTURNIXJAPONICA	coturnix_japonica
MELEAGRISGALLOPAVO	meleagris_gallopavo
NUMIDAMELEAGRIS	numida_meleagris
CYANISTESCAERULEUS	cyanistes_caeruleus
PARUSMAJOR	parus_major
FICEDULAALBICOLLIS	ficedula_albicollis
LONCHURASTRIATADOMESTICA	lonchura_striata_domestica
TAENIOPYGIAGUTTATA	taeniopygia_guttata
TAENIOPYGIAGUTTATA	taeniopygia_guttata
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
JUNCOHYEMALIS	junco_hyemalis
SERINUSCANARIA	serinus_canaria
LEPIDOTHRIXCORONATA	lepidothrix_coronata
MANACUSVITELLINUS	manacus_vitellinus
APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
APTERYXOWENII	apteryx_owenii
DROMAIUSNOVAEHOLLANDIAE	dromaius_novaehollandiae
NOTHOPROCTAPERDICARIA	nothoprocta_perdicaria
CROCODYLUSPOROSUS	crocodylus_porosus
GOPHERUSAGASSIZII	gopherus_agassizii
CHELONOIDISABINGDONII	chelonoidis_abingdonii
CHRYSEMYSPICTABELLII	chrysemys_picta_bellii
PELODISCUSSINENSIS	pelodiscus_sinensis
LATIMERIACHALUMNAE	latimeria_chalumnae
XENOPUSTROPICALIS	xenopus_tropicalis
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
AMPHIPRIONPERCULA	amphiprion_percula
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPESASM223469V1	oryzias_latipes_asm223469v1
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDIDORSALIS	seriola_lalandi_dorsalis
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
ANABASTESTUDINEUS	anabas_testudineus
TAKIFUGURUBRIPES	takifugu_rubripes
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
MOLAMOLA	mola_mola
LABRUSBERGYLTA	labrus_bergylta
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
MAYLANDIAZEBRA	maylandia_zebra
PUNDAMILIANYEREREI	pundamilia_nyererei
HAPLOCHROMISBURTONI	haplochromis_burtoni
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
GAMBUSIAAFFINIS	gambusia_affinis
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
CYPRINODONVARIEGATUS	cyprinodon_variegatus
POECILIARETICULATA	poecilia_reticulata
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
HIPPOCAMPUSCOMES	hippocampus_comes
GADUSMORHUA	gadus_morhua
ESOXLUCIUS	esox_lucius
ASTYANAXMEXICANUS	astyanax_mexicanus
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
SCLEROPAGESFORMOSUS	scleropages_formosus
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
PETROMYZONMARINUS	petromyzon_marinus
EPTATRETUSBURGERI	eptatretus_burgeri
