MASTACEMBELUSARMATUS	mastacembelus_armatus
OCTODONDEGUS	octodon_degus
CAVIAAPEREA	cavia_aperea
CAVIAPORCELLUS	cavia_porcellus
HETEROCEPHALUSGLABERFEMALE	heterocephalus_glaber_female
HETEROCEPHALUSGLABERMALE	heterocephalus_glaber_male
FUKOMYSDAMARENSIS	fukomys_damarensis
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTAMARMOTA	marmota_marmota_marmota
OCHOTONAPRINCEPS	ochotona_princeps
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
TUPAIABELANGERI	tupaia_belangeri
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
PONGOABELII	pongo_abelii
NOMASCUSLEUCOGENYS	nomascus_leucogenys
RHINOPITHECUSROXELLANA	rhinopithecus_roxellana
RHINOPITHECUSBIETI	rhinopithecus_bieti
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
COLOBUSANGOLENSISPALLIATUS	colobus_angolensis_palliatus
THEROPITHECUSGELADA	theropithecus_gelada
PAPIOANUBIS	papio_anubis
MACACANEMESTRINA	macaca_nemestrina
MACACAMULATTA	macaca_mulatta
MACACAFASCICULARIS	macaca_fascicularis
CERCOCEBUSATYS	cercocebus_atys
MANDRILLUSLEUCOPHAEUS	mandrillus_leucophaeus
CHLOROCEBUSSABAEUS	chlorocebus_sabaeus
SAIMIRIBOLIVIENSISBOLIVIENSIS	saimiri_boliviensis_boliviensis
CEBUSCAPUCINUS	cebus_capucinus
CALLITHRIXJACCHUS	callithrix_jacchus
AOTUSNANCYMAAE	aotus_nancymaae
CARLITOSYRICHTA	carlito_syrichta
CARLITOSYRICHTA	carlito_syrichta
CARLITOSYRICHTA	carlito_syrichta
CARLITOSYRICHTA	carlito_syrichta
CARLITOSYRICHTA	carlito_syrichta
MICROCEBUSMURINUS	microcebus_murinus
PROLEMURSIMUS	prolemur_simus
PROPITHECUSCOQUERELI	propithecus_coquereli
OTOLEMURGARNETTII	otolemur_garnettii
SOREXARANEUS	sorex_araneus
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
NOTAMACROPUSEUGENII	notamacropus_eugenii
MONODELPHISDOMESTICA	monodelphis_domestica
SARCOPHILUSHARRISII	sarcophilus_harrisii
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
XENOPUSTROPICALIS	xenopus_tropicalis
LATIMERIACHALUMNAE	latimeria_chalumnae
EPTATRETUSBURGERI	eptatretus_burgeri
