XIPHOPHORUSMACULATUS	xiphophorus_maculatus
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
MARMOTAMARMOTA	marmota_marmota
EQUUSCABALLUS	equus_caballus
MYOTISLUCIFUGUS	myotis_lucifugus
VULPESVULPES	vulpes_vulpes
CANISLUPUS	canis_lupus
NEOVISONVISON	neovison_vison
PILIOCOLOBUSTEPHROSCELES	piliocolobus_tephrosceles
THEROPITHECUSGELADA	theropithecus_gelada
PANTROGLODYTES	pan_troglodytes
PANPANISCUS	pan_paniscus
HOMOSAPIENS	homo_sapiens
GORILLAGORILLA	gorilla_gorilla
NOMASCUSLEUCOGENYS	nomascus_leucogenys
CALLITHRIXJACCHUS	callithrix_jacchus
BOSMUTUS	bos_mutus
BISONBISON	bison_bison
CAPRAHIRCUS	capra_hircus
LOXODONTAAFRICANA	loxodonta_africana
SARCOPHILUSHARRISII	sarcophilus_harrisii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
MONODELPHISDOMESTICA	monodelphis_domestica
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
NOTAMACROPUSEUGENII	notamacropus_eugenii
PHASCOLARCTOSCINEREUS	phascolarctos_cinereus
GOPHERUSAGASSIZII	gopherus_agassizii
PANTHERAPARDUS	panthera_pardus
PANTHERATIGRIS	panthera_tigris
FELISCATUS	felis_catus
CASTORCANADENSIS	castor_canadensis
NANNOSPALAXGALILI	nannospalax_galili
SERINUSCANARIA	serinus_canaria
LEPIDOTHRIXCORONATA	lepidothrix_coronata
ZONOTRICHIAALBICOLLIS	zonotrichia_albicollis
GOPHERUSAGASSIZII	gopherus_agassizii
LONCHURASTRIATA	lonchura_striata
LEPIDOTHRIXCORONATA	lepidothrix_coronata
APTERYXOWENII	apteryx_owenii
APTERYXHAASTII	apteryx_haastii
APTERYXROWI	apteryx_rowi
CHRYSEMYSPICTA	chrysemys_picta
CHRYSEMYSPICTA	chrysemys_picta
SPHENODONPUNCTATUS	sphenodon_punctatus
LATIMERIACHALUMNAE	latimeria_chalumnae
SCLEROPAGESFORMOSUS	scleropages_formosus
EPTATRETUSBURGERI	eptatretus_burgeri
