COTURNIXJAPONICA	coturnix_japonica
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
PEROMYSCUSMANICULATUS	peromyscus_maniculatus
MICROTUSOCHROGASTER	microtus_ochrogaster
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
CRICETULUSGRISEUS	cricetulus_griseus
MUSMUSCULUS	mus_musculus
MUSSPRETUS	mus_spretus
MUSSPICILEGUS	mus_spicilegus
MUSCAROLI	mus_caroli
MUSPAHARI	mus_pahari
RATTUSNORVEGICUS	rattus_norvegicus
MERIONESUNGUICULATUS	meriones_unguiculatus
NANNOSPALAXGALILI	nannospalax_galili
JACULUSJACULUS	jaculus_jaculus
CHINCHILLALANIGERA	chinchilla_lanigera
OCTODONDEGUS	octodon_degus
CAVIAPORCELLUS	cavia_porcellus
CAVIAAPEREA	cavia_aperea
HETEROCEPHALUSGLABER	heterocephalus_glaber
HETEROCEPHALUSGLABER	heterocephalus_glaber
FUKOMYSDAMARENSIS	fukomys_damarensis
CASTORCANADENSIS	castor_canadensis
DIPODOMYSORDII	dipodomys_ordii
SPERMOPHILUSDAURICUS	spermophilus_dauricus
ICTIDOMYSTRIDECEMLINEATUS	ictidomys_tridecemlineatus
UROCITELLUSPARRYII	urocitellus_parryii
MARMOTAMARMOTA	marmota_marmota
ORYCTOLAGUSCUNICULUS	oryctolagus_cuniculus
ERINACEUSEUROPAEUS	erinaceus_europaeus
SOREXARANEUS	sorex_araneus
CAPRAHIRCUS	capra_hircus
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
PROCAVIACAPENSIS	procavia_capensis
LOXODONTAAFRICANA	loxodonta_africana
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
ORNITHORHYNCHUSANATINUS	ornithorhynchus_anatinus
LATIMERIACHALUMNAE	latimeria_chalumnae
ASTYANAXMEXICANUS	astyanax_mexicanus
PYGOCENTRUSNATTERERI	pygocentrus_nattereri
ICTALURUSPUNCTATUS	ictalurus_punctatus
DANIORERIO	danio_rerio
TETRAODONNIGROVIRIDIS	tetraodon_nigroviridis
TAKIFUGURUBRIPES	takifugu_rubripes
MOLAMOLA	mola_mola
GASTEROSTEUSACULEATUS	gasterosteus_aculeatus
XIPHOPHORUSCOUCHIANUS	xiphophorus_couchianus
XIPHOPHORUSMACULATUS	xiphophorus_maculatus
POECILIAFORMOSA	poecilia_formosa
POECILIALATIPINNA	poecilia_latipinna
POECILIAMEXICANA	poecilia_mexicana
GAMBUSIAAFFINIS	gambusia_affinis
CYPRINODONVARIEGATUS	cyprinodon_variegatus
FUNDULUSHETEROCLITUS	fundulus_heteroclitus
KRYPTOLEBIASMARMORATUS	kryptolebias_marmoratus
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASLATIPES	oryzias_latipes
ORYZIASMELASTIGMA	oryzias_melastigma
AMPHIPRIONPERCULA	amphiprion_percula
AMPHIPRIONOCELLARIS	amphiprion_ocellaris
ACANTHOCHROMISPOLYACANTHUS	acanthochromis_polyacanthus
STEGASTESPARTITUS	stegastes_partitus
PERIOPHTHALMUSMAGNUSPINNATUS	periophthalmus_magnuspinnatus
CYNOGLOSSUSSEMILAEVIS	cynoglossus_semilaevis
SCOPHTHALMUSMAXIMUS	scophthalmus_maximus
LABRUSBERGYLTA	labrus_bergylta
ANABASTESTUDINEUS	anabas_testudineus
MASTACEMBELUSARMATUS	mastacembelus_armatus
MONOPTERUSALBUS	monopterus_albus
HAPLOCHROMISBURTONI	haplochromis_burtoni
MAYLANDIAZEBRA	maylandia_zebra
ASTATOTILAPIACALLIPTERA	astatotilapia_calliptera
PUNDAMILIANYEREREI	pundamilia_nyererei
NEOLAMPROLOGUSBRICHARDI	neolamprologus_brichardi
OREOCHROMISNILOTICUS	oreochromis_niloticus
AMPHILOPHUSCITRINELLUS	amphilophus_citrinellus
SERIOLADUMERILI	seriola_dumerili
SERIOLALALANDI	seriola_lalandi
HIPPOCAMPUSCOMES	hippocampus_comes
PARAMORMYROPSKINGSLEYAE	paramormyrops_kingsleyae
ESOXLUCIUS	esox_lucius
SCLEROPAGESFORMOSUS	scleropages_formosus
GADUSMORHUA	gadus_morhua
LEPISOSTEUSOCULATUS	lepisosteus_oculatus
XENOPUSTROPICALIS	xenopus_tropicalis
EPTATRETUSBURGERI	eptatretus_burgeri
CIONASAVIGNYI	ciona_savignyi
CIONAINTESTINALIS	ciona_intestinalis
