lonchura_striata ENSLSDG00000005393
cricetulus_griseus ENSCGRG00001012045
cricetulus_griseus ENSCGRG00000005004
mesocricetus_auratus ENSMAUG00000016250
mus_spretus MGP_SPRETEiJ_G0016069
mus_spicilegus ENSMSIG00000030519
mus_caroli MGP_CAROLIEiJ_G0015260
mus_musculus ENSMUSG00000045555
mus_pahari MGP_PahariEiJ_G0030677
rattus_norvegicus ENSRNOG00000024221
meriones_unguiculatus ENSMUGG00000008316
nannospalax_galili ENSNGAG00000022579
jaculus_jaculus ENSJJAG00000013726
dipodomys_ordii ENSDORG00000000126
chinchilla_lanigera ENSCLAG00000012913
cavia_porcellus ENSCPOG00000010973
octodon_degus ENSODEG00000013180
heterocephalus_glaber ENSHGLG00000001685
heterocephalus_glaber ENSHGLG00100007965
urocitellus_parryii ENSUPAG00010011195
ictidomys_tridecemlineatus ENSSTOG00000006015
spermophilus_dauricus ENSSDAG00000009138
marmota_marmota ENSMMMG00000014600
oryctolagus_cuniculus ENSOCUG00000001225
ochotona_princeps ENSOPRG00000012770
tupaia_belangeri ENSTBEG00000015963
cercocebus_atys ENSCATG00000037845
mandrillus_leucophaeus ENSMLEG00000042621
macaca_fascicularis ENSMFAG00000038462
macaca_mulatta ENSMMUG00000008184
macaca_nemestrina ENSMNEG00000040901
papio_anubis ENSPANG00000000582
theropithecus_gelada ENSTGEG00000002063
chlorocebus_sabaeus ENSCSAG00000015455
rhinopithecus_bieti ENSRBIG00000030708
rhinopithecus_roxellana ENSRROG00000031706
piliocolobus_tephrosceles ENSPTEG00000038337
colobus_angolensis ENSCANG00000017321
pan_paniscus ENSPPAG00000027532
pan_troglodytes ENSPTRG00000029448
homo_sapiens ENSG00000053328
gorilla_gorilla ENSGGOG00000021961
pongo_abelii ENSPPYG00000016920
nomascus_leucogenys ENSNLEG00000012789
saimiri_boliviensis ENSSBOG00000030003
callithrix_jacchus ENSCJAG00000005395
cebus_capucinus ENSCCAG00000004299
aotus_nancymaae ENSANAG00000029394
carlito_syrichta ENSTSYG00000014446
propithecus_coquereli ENSPCOG00000020108
microcebus_murinus ENSMICG00000041949
otolemur_garnettii ENSOGAG00000008632
dasypus_novemcinctus ENSDNOG00000040180
loxodonta_africana ENSLAFG00000007203
procavia_capensis ENSPCAG00000004054
echinops_telfairi ENSETEG00000012791
ornithorhynchus_anatinus ENSOANG00000000940
xenopus_tropicalis ENSXETG00000013460
latimeria_chalumnae ENSLACG00000010229
fundulus_heteroclitus ENSFHEG00000000042
cyprinodon_variegatus ENSCVAG00000007619
xiphophorus_maculatus ENSXMAG00000007563
gambusia_affinis ENSGAFG00000011087
poecilia_mexicana ENSPMEG00000014683
poecilia_formosa ENSPFOG00000019611
poecilia_formosa ENSPFOG00000000307
poecilia_reticulata ENSPREG00000002302
poecilia_latipinna ENSPLAG00000021750
kryptolebias_marmoratus ENSKMAG00000010804
oryzias_latipes ENSORLG00015006355
oryzias_latipes ENSORLG00000014045
oryzias_latipes ENSORLG00020011479
oryzias_melastigma ENSOMEG00000008628
betta_splendens ENSBSLG00000023860
seriola_dumerili ENSSDUG00000017374
seriola_lalandi ENSSLDG00000005474
scophthalmus_maximus ENSSMAG00000014557
lates_calcarifer ENSLCAG00010010997
mastacembelus_armatus ENSMAMG00000020880
anabas_testudineus ENSATEG00000011349
cottoperca_gobio ENSCGOG00000015477
larimichthys_crocea ENSLCRG00005002626
labrus_bergylta ENSLBEG00000020215
takifugu_rubripes ENSTRUG00000018411
tetraodon_nigroviridis ENSTNIG00000012247
mola_mola ENSMMOG00000016025
monopterus_albus ENSMALG00000003383
cynoglossus_semilaevis ENSCSEG00000020734
amphiprion_percula ENSAPEG00000005736
amphiprion_ocellaris ENSAOCG00000010993
acanthochromis_polyacanthus ENSAPOG00000000906
stegastes_partitus ENSSPAG00000007000
parambassis_ranga ENSPRNG00000012702
astatotilapia_calliptera ENSACLG00000017130
maylandia_zebra ENSMZEG00005017451
haplochromis_burtoni ENSHBUG00000009446
pundamilia_nyererei ENSPNYG00000010561
oreochromis_niloticus ENSONIG00000013430
neolamprologus_brichardi ENSNBRG00000016781
amphilophus_citrinellus ENSACIG00000006374
gasterosteus_aculeatus ENSGACG00000011580
hippocampus_comes ENSHCOG00000012358
periophthalmus_magnuspinnatus ENSPMGG00000008973
gadus_morhua ENSGMOG00000006480
hucho_hucho ENSHHUG00000007627
hucho_hucho ENSHHUG00000017255
esox_lucius ENSELUG00000016901
astyanax_mexicanus ENSAMXG00000014003
astyanax_mexicanus ENSAMXG00005010826
pygocentrus_nattereri ENSPNAG00000008920
ictalurus_punctatus ENSIPUG00000006740
electrophorus_electricus ENSEEEG00000011578
danio_rerio ENSDARG00000075817
clupea_harengus ENSCHAG00000022690
scleropages_formosus ENSSFOG00015015299
paramormyrops_kingsleyae ENSPKIG00000013414
lepisosteus_oculatus ENSLOCG00000017151
erpetoichthys_calabaricus ENSECRG00000006585
gopherus_agassizii ENSGAGG00000020076
chrysemys_picta ENSCPBG00000024883
pelodiscus_sinensis ENSPSIG00000002689
latimeria_chalumnae ENSLACG00000016242
scleropages_formosus ENSSFOG00015021560
paramormyrops_kingsleyae ENSPKIG00000010293
hucho_hucho ENSHHUG00000028699
esox_lucius ENSELUG00000002344
cottoperca_gobio ENSCGOG00000012829
gasterosteus_aculeatus ENSGACG00000005776
larimichthys_crocea ENSLCRG00005007780
takifugu_rubripes ENSTRUG00000021499
anabas_testudineus ENSATEG00000016279
mastacembelus_armatus ENSMAMG00000011526
seriola_dumerili ENSSDUG00000008827
scophthalmus_maximus ENSSMAG00000011234
amphiprion_ocellaris ENSAOCG00000008595
amphiprion_percula ENSAPEG00000014957
acanthochromis_polyacanthus ENSAPOG00000021354
stegastes_partitus ENSSPAG00000016515
maylandia_zebra ENSMZEG00005006079
astatotilapia_calliptera ENSACLG00000019695
haplochromis_burtoni ENSHBUG00000018932
oreochromis_niloticus ENSONIG00000002246
kryptolebias_marmoratus ENSKMAG00000003243
cyprinodon_variegatus ENSCVAG00000006898
fundulus_heteroclitus ENSFHEG00000007610
xiphophorus_maculatus ENSXMAG00000002889
poecilia_formosa ENSPFOG00000006884
oryzias_latipes ENSORLG00020019177
oryzias_latipes ENSORLG00015011059
oryzias_latipes ENSORLG00000029572
oryzias_melastigma ENSOMEG00000009051
parambassis_ranga ENSPRNG00000019885
gadus_morhua ENSGMOG00000006821
astyanax_mexicanus ENSAMXG00005022673
pygocentrus_nattereri ENSPNAG00000026358
ictalurus_punctatus ENSIPUG00000020205
danio_rerio ENSDARG00000100839
lepisosteus_oculatus ENSLOCG00000004653
erpetoichthys_calabaricus ENSECRG00000017480
callorhinchus_milii ENSCMIG00000015742
