stegastes_partitus ENSSPAG00000023392
mesocricetus_auratus ENSMAUG00000003054
microtus_ochrogaster ENSMOCG00000013570
peromyscus_maniculatus_bairdii ENSPEMG00000012841
mus_spicilegus ENSMSIG00000014419
mus_spicilegus ENSMSIG00000019845
mus_musculus ENSMUSG00000033862
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032800
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031682
mus_pahari MGP_PahariEiJ_G0023280
rattus_norvegicus ENSRNOG00000016088
meriones_unguiculatus ENSMUGG00000010561
jaculus_jaculus ENSJJAG00000002649
ochotona_princeps ENSOPRG00000003321
equus_asinus_asinus ENSEASG00005001328
equus_caballus ENSECAG00000024995
sorex_araneus ENSSARG00000008718
bos_mutus ENSBMUG00000012383
bos_taurus ENSBTAG00000033333
bison_bison_bison ENSBBBG00000016355
capra_hircus ENSCHIG00000009612
ovis_aries ENSOARG00000014334
tursiops_truncatus ENSTTRG00000004402
sus_scrofa ENSSSCG00000025401
myotis_lucifugus ENSMLUG00000013616
pteropus_vampyrus ENSPVAG00000002999
ursus_americanus ENSUAMG00000020358
ursus_maritimus ENSUMAG00000008916
ailuropoda_melanoleuca ENSAMEG00000001223
neovison_vison ENSNVIG00000010537
mustela_putorius_furo ENSMPUG00000007267
canis_lupus_dingo ENSCAFG00020005227
canis_lupus_familiaris ENSCAFG00000019820
vulpes_vulpes ENSVVUG00000003919
panthera_pardus ENSPPRG00000005773
panthera_tigris_altaica ENSPTIG00000000136
felis_catus ENSFCAG00000027356
erinaceus_europaeus ENSEEUG00000003524
tupaia_belangeri ENSTBEG00000009316
loxodonta_africana ENSLAFG00000018179
procavia_capensis ENSPCAG00000001471
echinops_telfairi ENSETEG00000000131
dasypus_novemcinctus ENSDNOG00000018523
phascolarctos_cinereus ENSPCIG00000024731
notamacropus_eugenii ENSMEUG00000014829
monodelphis_domestica ENSMODG00000003504
sarcophilus_harrisii ENSSHAG00000005046
ornithorhynchus_anatinus ENSOANG00000004834
anser_brachyrhynchus ENSABRG00000000380
anas_platyrhynchos_platyrhynchos ENSAPLG00000005724
gallus_gallus ENSGALG00000006144
coturnix_japonica ENSCJPG00005015060
meleagris_gallopavo ENSMGAG00000008128
numida_meleagris ENSNMEG00000004884
calidris_pygmaea ENSCPGG00000018386
calidris_pugnax ENSCPUG00000010439
lonchura_striata_domestica ENSLSDG00000005476
taeniopygia_guttata ENSTGUG00000007915
serinus_canaria ENSSCAG00000008021
cyanistes_caeruleus ENSCCEG00000004416
parus_major ENSPMJG00000013800
ficedula_albicollis ENSFALG00000003089
junco_hyemalis ENSJHYG00000005566
lepidothrix_coronata ENSLCOG00000012384
manacus_vitellinus ENSMVIG00005013458
apteryx_haastii ENSAHAG00000004790
apteryx_owenii ENSAOWG00000006966
apteryx_rowi ENSARWG00000005884
dromaius_novaehollandiae ENSDNVG00000011759
nothoprocta_perdicaria ENSNPEG00000002229
crocodylus_porosus ENSCPRG00005007852
gopherus_agassizii ENSGAGG00000003311
chelonoidis_abingdonii ENSCABG00000005559
chelonoidis_abingdonii ENSCABG00000003622
chrysemys_picta_bellii ENSCPBG00000013671
pelodiscus_sinensis ENSPSIG00000005826
gopherus_agassizii ENSGAGG00000019521
pogona_vitticeps ENSPVIG00000011701
anolis_carolinensis ENSACAG00000017200
notechis_scutatus ENSNSUG00000020437
salvator_merianae ENSSMRG00000001172
sphenodon_punctatus ENSSPUG00000006771
eptatretus_burgeri ENSEBUG00000013521
ciona_savignyi ENSCSAVG00000005035
ciona_intestinalis ENSCING00000010856
drosophila_melanogaster FBgn0013435
