melopsittacus_undulatus ENSMUNG00000006084
seriola_lalandi_dorsalis ENSSLDG00000002890
seriola_lalandi_dorsalis ENSSLDG00000002904
seriola_lalandi_dorsalis ENSSLDG00000002947
pundamilia_nyererei ENSPNYG00000021398
pundamilia_nyererei ENSPNYG00000021353
pundamilia_nyererei ENSPNYG00000021369
astatotilapia_calliptera ENSACLG00000009222
haplochromis_burtoni ENSHBUG00000019956
maylandia_zebra ENSMZEG00005021272
oreochromis_niloticus ENSONIG00000009292
neolamprologus_brichardi ENSNBRG00000000636
amphilophus_citrinellus ENSACIG00000019671
anabas_testudineus ENSATEG00000000848
mastacembelus_armatus ENSMAMG00000000564
scophthalmus_maximus ENSSMAG00000006451
cynoglossus_semilaevis ENSCSEG00000004489
hippocampus_comes ENSHCOG00000010170
tetraodon_nigroviridis ENSTNIG00000012998
takifugu_rubripes ENSTRUG00000014990
mola_mola ENSMMOG00000012699
labrus_bergylta ENSLBEG00000028485
periophthalmus_magnuspinnatus ENSPMGG00000008209
gadus_morhua ENSGMOG00000013599
astyanax_mexicanus ENSAMXG00000031495
astyanax_mexicanus ENSAMXG00000042432
ictalurus_punctatus ENSIPUG00000003271
pygocentrus_nattereri ENSPNAG00000020393
astyanax_mexicanus ENSAMXG00000039461
seriola_lalandi_dorsalis ENSSLDG00000002989
danio_rerio ENSDARG00000021405
paramormyrops_kingsleyae ENSPKIG00000006305
esox_lucius ENSELUG00000019499
scleropages_formosus ENSSFOG00015023123
lepisosteus_oculatus ENSLOCG00000013965
eptatretus_burgeri ENSEBUG00000008310
