electrophorus_electricus ENSEEEG00000013276
dromaius_novaehollandiae ENSDNVG00000006675
nothoprocta_perdicaria ENSNPEG00000011546
pogona_vitticeps ENSPVIG00000012674
anolis_carolinensis ENSACAG00000000233
notechis_scutatus ENSNSUG00000001256
salvator_merianae ENSSMRG00000021375
sphenodon_punctatus ENSSPUG00000018114
lonchura_striata ENSLSDG00000006187
castor_canadensis ENSCCNG00000029406
prolemur_simus ENSPSMG00000013739
ursus_maritimus ENSUMAG00000009114
vombatus_ursinus ENSVURG00010010429
pteropus_vampyrus ENSPVAG00000006010
myotis_lucifugus ENSMLUG00000007472
ursus_maritimus ENSUMAG00000009112
ursus_americanus ENSUAMG00000023508
ailuropoda_melanoleuca ENSAMEG00000011009
neovison_vison ENSNVIG00000011334
mustela_putorius ENSMPUG00000010000
canis_lupus ENSCAFG00000006176
canis_lupus ENSCAFG00020001706
vulpes_vulpes ENSVVUG00000020146
panthera_tigris ENSPTIG00000018552
panthera_pardus ENSPPRG00000007377
felis_catus ENSFCAG00000028568
capra_hircus ENSCHIG00000024656
ovis_aries ENSOARG00000001004
bos_indicus ENSBIXG00000010613
bos_indicus ENSBIXG00005009676
bos_taurus ENSBTAG00000011684
bos_mutus ENSBMUG00000006378
bison_bison ENSBBBG00000022298
tursiops_truncatus ENSTTRG00000016943
sus_scrofa ENSSSCG00000015823
equus_asinus ENSEASG00005016696
equus_caballus ENSECAG00000016134
erinaceus_europaeus ENSEEUG00000001030
cebus_capucinus ENSCCAG00000036294
saimiri_boliviensis ENSSBOG00000025908
callithrix_jacchus ENSCJAG00000002706
pan_paniscus ENSPPAG00000040181
pan_troglodytes ENSPTRG00000020164
homo_sapiens ENSG00000156675
gorilla_gorilla ENSGGOG00000007027
pongo_abelii ENSPPYG00000018515
nomascus_leucogenys ENSNLEG00000012194
colobus_angolensis ENSCANG00000007065
piliocolobus_tephrosceles ENSPTEG00000034007
rhinopithecus_roxellana ENSRROG00000035596
rhinopithecus_bieti ENSRBIG00000037446
macaca_fascicularis ENSMFAG00000042170
macaca_mulatta ENSMMUG00000063888
macaca_nemestrina ENSMNEG00000032675
papio_anubis ENSPANG00000000534
mandrillus_leucophaeus ENSMLEG00000039773
theropithecus_gelada ENSTGEG00000007491
cercocebus_atys ENSCATG00000033278
chlorocebus_sabaeus ENSCSAG00000015528
carlito_syrichta ENSTSYG00000036278
carlito_syrichta ENSTSYG00000030097
carlito_syrichta ENSTSYG00000026030
carlito_syrichta ENSTSYG00000026618
carlito_syrichta ENSTSYG00000001057
propithecus_coquereli ENSPCOG00000021023
prolemur_simus ENSPSMG00000013734
microcebus_murinus ENSMICG00000010174
otolemur_garnettii ENSOGAG00000028363
tupaia_belangeri ENSTBEG00000008155
aotus_nancymaae ENSANAG00000022141
dipodomys_ordii ENSDORG00000023243
castor_canadensis ENSCCNG00000029404
urocitellus_parryii ENSUPAG00010023950
spermophilus_dauricus ENSSDAG00000006662
ictidomys_tridecemlineatus ENSSTOG00000005565
marmota_marmota ENSMMMG00000015299
heterocephalus_glaber ENSHGLG00000003171
heterocephalus_glaber ENSHGLG00100010205
heterocephalus_glaber ENSHGLG00000008741
fukomys_damarensis ENSFDAG00000014892
chinchilla_lanigera ENSCLAG00000003452
octodon_degus ENSODEG00000005421
cavia_porcellus ENSCPOG00000033083
cavia_aperea ENSCAPG00000008190
mus_spicilegus ENSMSIG00000030062
mus_spretus MGP_SPRETEiJ_G0032064
mus_musculus ENSMUSG00000031488
mus_caroli MGP_CAROLIEiJ_G0030945
mus_pahari MGP_PahariEiJ_G0021415
rattus_norvegicus ENSRNOG00000058940
meriones_unguiculatus ENSMUGG00000018066
cricetulus_griseus ENSCGRG00001009456
cricetulus_griseus ENSCGRG00015025510
cricetulus_griseus ENSCGRG00000009052
mesocricetus_auratus ENSMAUG00000008611
microtus_ochrogaster ENSMOCG00000015989
peromyscus_maniculatus ENSPEMG00000011100
nannospalax_galili ENSNGAG00000022309
jaculus_jaculus ENSJJAG00000013090
oryctolagus_cuniculus ENSOCUG00000004502
ochotona_princeps ENSOPRG00000010860
loxodonta_africana ENSLAFG00000004250
procavia_capensis ENSPCAG00000004052
echinops_telfairi ENSETEG00000007044
dasypus_novemcinctus ENSDNOG00000033388
vombatus_ursinus ENSVURG00010010416
phascolarctos_cinereus ENSPCIG00000008888
notamacropus_eugenii ENSMEUG00000007215
sarcophilus_harrisii ENSSHAG00000016684
monodelphis_domestica ENSMODG00000010813
ornithorhynchus_anatinus ENSOANG00000003030
callorhinchus_milii ENSCMIG00000004237
petromyzon_marinus ENSPMAG00000006301
eptatretus_burgeri ENSEBUG00000009152
