gouania_willdenowi ENSGWIG00000009088
felis_catus ENSFCAG00000010835
erinaceus_europaeus ENSEEUG00000000374
procavia_capensis ENSPCAG00000002844
equus_asinus ENSEASG00005009336
choloepus_hoffmanni ENSCHOG00000003946
loxodonta_africana ENSLAFG00000007550
microcebus_murinus ENSMICG00000036266
propithecus_coquereli ENSPCOG00000011744
prolemur_simus ENSPSMG00000021566
otolemur_garnettii ENSOGAG00000014477
pan_paniscus ENSPPAG00000036654
pan_troglodytes ENSPTRG00000018566
gorilla_gorilla ENSGGOG00000027351
homo_sapiens ENSG00000146352
pongo_abelii ENSPPYG00000016981
nomascus_leucogenys ENSNLEG00000013863
rhinopithecus_roxellana ENSRROG00000010239
rhinopithecus_bieti ENSRBIG00000041651
piliocolobus_tephrosceles ENSPTEG00000011278
theropithecus_gelada ENSTGEG00000006232
mandrillus_leucophaeus ENSMLEG00000033559
papio_anubis ENSPANG00000003404
macaca_nemestrina ENSMNEG00000035011
macaca_fascicularis ENSMFAG00000003285
macaca_mulatta ENSMMUG00000018176
cercocebus_atys ENSCATG00000031634
chlorocebus_sabaeus ENSCSAG00000016282
cebus_capucinus ENSCCAG00000023620
saimiri_boliviensis ENSSBOG00000024013
aotus_nancymaae ENSANAG00000022399
tupaia_belangeri ENSTBEG00000007374
castor_canadensis ENSCCNG00000012793
dipodomys_ordii ENSDORG00000001584
peromyscus_maniculatus ENSPEMG00000025108
microtus_ochrogaster ENSMOCG00000009201
cricetulus_griseus ENSCGRG00000002556
cricetulus_griseus ENSCGRG00015011551
cricetulus_griseus ENSCGRG00001003937
mesocricetus_auratus ENSMAUG00000000705
mus_musculus ENSMUSG00000019785
mus_spretus MGP_SPRETEiJ_G0016030
mus_spicilegus ENSMSIG00000027578
mus_caroli MGP_CAROLIEiJ_G0015221
rattus_norvegicus ENSRNOG00000012122
meriones_unguiculatus ENSMUGG00000007141
nannospalax_galili ENSNGAG00000015081
jaculus_jaculus ENSJJAG00000024228
spermophilus_dauricus ENSSDAG00000008506
urocitellus_parryii ENSUPAG00010020726
ictidomys_tridecemlineatus ENSSTOG00000001439
marmota_marmota ENSMMMG00000016235
callithrix_jacchus ENSCJAG00000048309
equus_caballus ENSECAG00000006114
echinops_telfairi ENSETEG00000007658
sorex_araneus ENSSARG00000009592
dasypus_novemcinctus ENSDNOG00000009779
ornithorhynchus_anatinus ENSOANG00000013790
colobus_angolensis ENSCANG00000037979
cebus_capucinus ENSCCAG00000035691
mus_pahari MGP_PahariEiJ_G0030640
chelonoidis_abingdonii ENSCABG00000017442
xenopus_tropicalis ENSXETG00000007902
latimeria_chalumnae ENSLACG00000010959
callorhinchus_milii ENSCMIG00000011737
denticeps_clupeoides ENSDCDG00000033312
petromyzon_marinus ENSPMAG00000006789
eptatretus_burgeri ENSEBUG00000007331
petromyzon_marinus ENSPMAG00000002345
