octodon_degus ENSODEG00000001492
ursus_americanus ENSUAMG00000011536
ursus_maritimus ENSUMAG00000011847
ursus_americanus ENSUAMG00000023002
ursus_maritimus ENSUMAG00000004918
ailuropoda_melanoleuca ENSAMEG00000010483
neovison_vison ENSNVIG00000015947
mustela_putorius_furo ENSMPUG00000015905
canis_lupus_familiaris ENSCAFG00000028802
canis_lupus_dingo ENSCAFG00020010412
vulpes_vulpes ENSVVUG00000016159
panthera_tigris_altaica ENSPTIG00000011413
panthera_pardus ENSPPRG00000015405
felis_catus ENSFCAG00000043549
dasypus_novemcinctus ENSDNOG00000033349
loxodonta_africana ENSLAFG00000012255
notamacropus_eugenii ENSMEUG00000002379
phascolarctos_cinereus ENSPCIG00000033700
sarcophilus_harrisii ENSSHAG00000014757
monodelphis_domestica ENSMODG00000015047
pogona_vitticeps ENSPVIG00000017889
notechis_scutatus ENSNSUG00000016860
sphenodon_punctatus ENSSPUG00000007265
parus_major ENSPMJG00000002469
cyanistes_caeruleus ENSCCEG00000005925
ficedula_albicollis ENSFALG00000014997
junco_hyemalis ENSJHYG00000005322
taeniopygia_guttata ENSTGUG00000015926
lonchura_striata_domestica ENSLSDG00000008278
serinus_canaria ENSSCAG00000006993
zonotrichia_albicollis ENSZALG00000007650
crocodylus_porosus ENSCPRG00005000935
chelonoidis_abingdonii ENSCABG00000004210
gopherus_agassizii ENSGAGG00000009651
chrysemys_picta_bellii ENSCPBG00000012424
pelodiscus_sinensis ENSPSIG00000001128
meleagris_gallopavo ENSMGAG00000003912
gallus_gallus ENSGALG00000036004
coturnix_japonica ENSCJPG00005011147
numida_meleagris ENSNMEG00000003387
anas_platyrhynchos_platyrhynchos ENSAPLG00000029450
anser_brachyrhynchus ENSABRG00000014190
calidris_pugnax ENSCPUG00000001359
calidris_pugnax ENSCPUG00000001361
calidris_pygmaea ENSCPGG00000008725
melopsittacus_undulatus ENSMUNG00000008040
apteryx_owenii ENSAOWG00000003631
apteryx_rowi ENSARWG00000015697
dromaius_novaehollandiae ENSDNVG00000013813
apteryx_haastii ENSAHAG00000004030
nothoprocta_perdicaria ENSNPEG00000002015
ornithorhynchus_anatinus ENSOANG00000011901
latimeria_chalumnae ENSLACG00000008896
fundulus_heteroclitus ENSFHEG00000005603
cyprinodon_variegatus ENSCVAG00000000584
xiphophorus_couchianus ENSXCOG00000007225
xiphophorus_maculatus ENSXMAG00000021725
gambusia_affinis ENSGAFG00000013133
poecilia_formosa ENSPFOG00000001683
poecilia_mexicana ENSPMEG00000013867
poecilia_latipinna ENSPLAG00000016453
poecilia_reticulata ENSPREG00000008577
kryptolebias_marmoratus ENSKMAG00000015523
oryzias_latipes ENSORLG00020013107
oryzias_latipes_asm223469v1 ENSORLG00015009033
oryzias_latipes ENSORLG00000008708
oryzias_melastigma ENSOMEG00000005718
stegastes_partitus ENSSPAG00000000276
haplochromis_burtoni ENSHBUG00000007862
pundamilia_nyererei ENSPNYG00000002734
maylandia_zebra ENSMZEG00005004188
astatotilapia_calliptera ENSACLG00000008247
neolamprologus_brichardi ENSNBRG00000001737
oreochromis_niloticus ENSONIG00000010523
amphilophus_citrinellus ENSACIG00000020814
cynoglossus_semilaevis ENSCSEG00000011848
labrus_bergylta ENSLBEG00000013200
mastacembelus_armatus ENSMAMG00000005626
monopterus_albus ENSMALG00000000991
anabas_testudineus ENSATEG00000018636
seriola_dumerili ENSSDUG00000012419
seriola_lalandi_dorsalis ENSSLDG00000021585
scophthalmus_maximus ENSSMAG00000006005
takifugu_rubripes ENSTRUG00000024533
tetraodon_nigroviridis ENSTNIG00000011052
mola_mola ENSMMOG00000006218
amphiprion_percula ENSAPEG00000015541
amphiprion_ocellaris ENSAOCG00000012210
acanthochromis_polyacanthus ENSAPOG00000000430
hippocampus_comes ENSHCOG00000013517
periophthalmus_magnuspinnatus ENSPMGG00000014379
pygocentrus_nattereri ENSPNAG00000019266
ictalurus_punctatus ENSIPUG00000008989
danio_rerio ENSDARG00000092954
astyanax_mexicanus ENSAMXG00000038851
scleropages_formosus ENSSFOG00015007528
lepisosteus_oculatus ENSLOCG00000002997
