papio_anubis ENSPANG00000017571
mus_pahari MGP_PahariEiJ_G0020574
rattus_norvegicus ENSRNOG00000058776
meriones_unguiculatus ENSMUGG00000012411
cricetulus_griseus_chok1gshd ENSCGRG00001002283
cricetulus_griseus_crigri-picr ENSCGRG00015020122
peromyscus_maniculatus_bairdii ENSPEMG00000025859
mus_musculus ENSMUSG00000091531
mus_spicilegus ENSMSIG00000000039
mus_musculus ENSMUSG00000092077
mus_spicilegus ENSMSIG00000000043
mus_spicilegus ENSMSIG00000000046
mus_pahari MGP_PahariEiJ_G0020573
rattus_norvegicus ENSRNOG00000048048
rattus_norvegicus ENSRNOG00000050043
rattus_norvegicus ENSRNOG00000061930
meriones_unguiculatus ENSMUGG00000012405
cricetulus_griseus_crigri ENSCGRG00000019731
cricetulus_griseus_crigri-picr ENSCGRG00015020112
cricetulus_griseus_chok1gshd ENSCGRG00001003501
peromyscus_maniculatus_bairdii ENSPEMG00000027382
spermophilus_dauricus ENSSDAG00000006391
spermophilus_dauricus ENSSDAG00000012376
marmota_marmota_marmota ENSMMMG00000022847
ictidomys_tridecemlineatus ENSSTOG00000024060
marmota_marmota_marmota ENSMMMG00000022852
marmota_marmota_marmota ENSMMMG00000010499
ictidomys_tridecemlineatus ENSSTOG00000027804
urocitellus_parryii ENSUPAG00010002888
spermophilus_dauricus ENSSDAG00000023773
oryctolagus_cuniculus ENSOCUG00000026057
oryctolagus_cuniculus ENSOCUG00000025180
oryctolagus_cuniculus ENSOCUG00000028019
equus_caballus ENSECAG00000035646
equus_asinus_asinus ENSEASG00005008647
equus_caballus ENSECAG00000035584
equus_caballus ENSECAG00000005780
equus_asinus_asinus ENSEASG00005008631
equus_caballus ENSECAG00000031444
equus_asinus_asinus ENSEASG00005008645
equus_caballus ENSECAG00000035536
equus_asinus_asinus ENSEASG00005008641
equus_caballus ENSECAG00000038944
equus_asinus_asinus ENSEASG00005008633
bos_taurus ENSBTAG00000040188
bos_taurus ENSBTAG00000055092
bison_bison_bison ENSBBBG00000022288
capra_hircus ENSCHIG00000009668
bos_taurus ENSBTAG00000052547
bison_bison_bison ENSBBBG00000023335
bos_mutus ENSBMUG00000002742
capra_hircus ENSCHIG00000009654
ovis_aries ENSOARG00000017591
bos_mutus ENSBMUG00000002808
bos_taurus ENSBTAG00000053370
bison_bison_bison ENSBBBG00000005590
bos_taurus ENSBTAG00000049031
capra_hircus ENSCHIG00000016079
bos_taurus ENSBTAG00000051434
bos_mutus ENSBMUG00000002771
bos_mutus ENSBMUG00000022539
bison_bison_bison ENSBBBG00000021748
capra_hircus ENSCHIG00000010119
vicugna_pacos ENSVPAG00000007734
vicugna_pacos ENSVPAG00000000530
ursus_americanus ENSUAMG00000006304
ursus_maritimus ENSUMAG00000023353
ailuropoda_melanoleuca ENSAMEG00000007584
panthera_pardus ENSPPRG00000006649
panthera_pardus ENSPPRG00000006657
panthera_tigris_altaica ENSPTIG00000010243
panthera_pardus ENSPPRG00000006669
panthera_tigris_altaica ENSPTIG00000010655
panthera_tigris_altaica ENSPTIG00000000476
panthera_pardus ENSPPRG00000011206
felis_catus ENSFCAG00000038815
felis_catus ENSFCAG00000003660
felis_catus ENSFCAG00000041160
loxodonta_africana ENSLAFG00000029206
loxodonta_africana ENSLAFG00000027364
loxodonta_africana ENSLAFG00000029720
loxodonta_africana ENSLAFG00000032193
procavia_capensis ENSPCAG00000000261
echinops_telfairi ENSETEG00000008868
echinops_telfairi ENSETEG00000019334
echinops_telfairi ENSETEG00000003066
echinops_telfairi ENSETEG00000015840
dasypus_novemcinctus ENSDNOG00000035319
dasypus_novemcinctus ENSDNOG00000045826
dasypus_novemcinctus ENSDNOG00000046006
dasypus_novemcinctus ENSDNOG00000045537
dasypus_novemcinctus ENSDNOG00000044680
dasypus_novemcinctus ENSDNOG00000038192
dasypus_novemcinctus ENSDNOG00000005670
dasypus_novemcinctus ENSDNOG00000040887
dasypus_novemcinctus ENSDNOG00000049166
dasypus_novemcinctus ENSDNOG00000032726
dasypus_novemcinctus ENSDNOG00000041727
choloepus_hoffmanni ENSCHOG00000007530
choloepus_hoffmanni ENSCHOG00000010348
choloepus_hoffmanni ENSCHOG00000005072
