melopsittacus_undulatus ENSMUNG00000000453
mustela_putorius_furo ENSMPUG00000009401
erinaceus_europaeus ENSEEUG00000009169
rhinopithecus_roxellana ENSRROG00000041577
rhinopithecus_bieti ENSRBIG00000037343
chlorocebus_sabaeus ENSCSAG00000005053
chlorocebus_sabaeus ENSCSAG00000018506
callithrix_jacchus ENSCJAG00000048127
jaculus_jaculus ENSJJAG00000012899
jaculus_jaculus ENSJJAG00000022569
chlorocebus_sabaeus ENSCSAG00000018485
pan_troglodytes ENSPTRG00000051913
pan_paniscus ENSPPAG00000037938
gorilla_gorilla ENSGGOG00000026585
ovis_aries ENSOARG00000003677
dasypus_novemcinctus ENSDNOG00000031289
loxodonta_africana ENSLAFG00000006436
notamacropus_eugenii ENSMEUG00000014550
phascolarctos_cinereus ENSPCIG00000026434
ornithorhynchus_anatinus ENSOANG00000007060
latimeria_chalumnae ENSLACG00000018224
astyanax_mexicanus ENSAMXG00000012525
pygocentrus_nattereri ENSPNAG00000029194
ictalurus_punctatus ENSIPUG00000008146
danio_rerio ENSDARG00000019230
esox_lucius ENSELUG00000023023
tetraodon_nigroviridis ENSTNIG00000007501
eptatretus_burgeri ENSEBUG00000015826
