spermophilus_dauricus ENSSDAG00000021357
callithrix_jacchus ENSCJAG00000035540
cebus_capucinus ENSCCAG00000028980
aotus_nancymaae ENSANAG00000028431
heterocephalus_glaber_female ENSHGLG00000015347
heterocephalus_glaber_male ENSHGLG00100018442
chinchilla_lanigera ENSCLAG00000016502
fukomys_damarensis ENSFDAG00000001583
octodon_degus ENSODEG00000013561
octodon_degus ENSODEG00000020442
cavia_porcellus ENSCPOG00000036032
cavia_aperea ENSCAPG00000014906
mus_musculus ENSMUSG00000067818
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025483
mus_spicilegus ENSMSIG00000005842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024561
mus_pahari MGP_PahariEiJ_G0026006
rattus_norvegicus ENSRNOG00000020246
meriones_unguiculatus ENSMUGG00000002646
microtus_ochrogaster ENSMOCG00000012102
microtus_ochrogaster ENSMOCG00000009744
cricetulus_griseus_chok1gshd ENSCGRG00001021171
cricetulus_griseus_crigri-picr ENSCGRG00015025224
cricetulus_griseus_crigri ENSCGRG00000011104
mesocricetus_auratus ENSMAUG00000011477
peromyscus_maniculatus_bairdii ENSPEMG00000019680
nannospalax_galili ENSNGAG00000015608
procavia_capensis ENSPCAG00000005290
loxodonta_africana ENSLAFG00000000282
zonotrichia_albicollis ENSZALG00000016062
junco_hyemalis ENSJHYG00000005451
canis_lupus_dingo ENSCAFG00020005874
ursus_maritimus ENSUMAG00000004161
bos_mutus ENSBMUG00000001204
erinaceus_europaeus ENSEEUG00000001768
castor_canadensis ENSCCNG00000011319
oryzias_latipes ENSORLG00020005725
apteryx_owenii ENSAOWG00000010702
apteryx_haastii ENSAHAG00000006759
apteryx_rowi ENSARWG00000000224
dromaius_novaehollandiae ENSDNVG00000010403
nothoprocta_perdicaria ENSNPEG00000003264
calidris_pygmaea ENSCPGG00000001467
calidris_pugnax ENSCPUG00000009216
anas_platyrhynchos_platyrhynchos ENSAPLG00000025519
anser_brachyrhynchus ENSABRG00000016150
gallus_gallus ENSGALG00000028567
meleagris_gallopavo ENSMGAG00000000945
numida_meleagris ENSNMEG00000014152
melopsittacus_undulatus ENSMUNG00000006481
lonchura_striata_domestica ENSLSDG00000006957
taeniopygia_guttata ENSTGUG00000016499
serinus_canaria ENSSCAG00000010905
ficedula_albicollis ENSFALG00000012699
parus_major ENSPMJG00000001814
cyanistes_caeruleus ENSCCEG00000007469
lepidothrix_coronata ENSLCOG00000015139
manacus_vitellinus ENSMVIG00005015088
gopherus_agassizii ENSGAGG00000009900
chelonoidis_abingdonii ENSCABG00000000968
chrysemys_picta_bellii ENSCPBG00000018206
pelodiscus_sinensis ENSPSIG00000016736
crocodylus_porosus ENSCPRG00005012894
anolis_carolinensis ENSACAG00000009716
pogona_vitticeps ENSPVIG00000022315
notechis_scutatus ENSNSUG00000004699
salvator_merianae ENSSMRG00000000953
sphenodon_punctatus ENSSPUG00000008238
ornithorhynchus_anatinus ENSOANG00000004944
phascolarctos_cinereus ENSPCIG00000014615
notamacropus_eugenii ENSMEUG00000002841
sarcophilus_harrisii ENSSHAG00000008719
monodelphis_domestica ENSMODG00000021463
xenopus_tropicalis ENSXETG00000025505
takifugu_rubripes ENSTRUG00000022085
tetraodon_nigroviridis ENSTNIG00000018714
mola_mola ENSMMOG00000004838
xiphophorus_couchianus ENSXCOG00000017649
xiphophorus_maculatus ENSXMAG00000018556
gambusia_affinis ENSGAFG00000008437
poecilia_formosa ENSPFOG00000003448
poecilia_mexicana ENSPMEG00000003378
poecilia_latipinna ENSPLAG00000016045
poecilia_reticulata ENSPREG00000001367
cyprinodon_variegatus ENSCVAG00000013619
fundulus_heteroclitus ENSFHEG00000007575
kryptolebias_marmoratus ENSKMAG00000000856
oryzias_latipes ENSORLG00020012763
oryzias_latipes_asm223469v1 ENSORLG00015007763
oryzias_latipes ENSORLG00000016619
oryzias_melastigma ENSOMEG00000017072
labrus_bergylta ENSLBEG00000020219
gasterosteus_aculeatus ENSGACG00000008160
seriola_lalandi_dorsalis ENSSLDG00000010486
seriola_dumerili ENSSDUG00000022904
scophthalmus_maximus ENSSMAG00000007947
monopterus_albus ENSMALG00000022061
mastacembelus_armatus ENSMAMG00000017640
anabas_testudineus ENSATEG00000024008
amphiprion_ocellaris ENSAOCG00000011639
amphiprion_percula ENSAPEG00000004556
acanthochromis_polyacanthus ENSAPOG00000002787
stegastes_partitus ENSSPAG00000020653
stegastes_partitus ENSSPAG00000004554
maylandia_zebra ENSMZEG00005026958
pundamilia_nyererei ENSPNYG00000005337
astatotilapia_calliptera ENSACLG00000009916
haplochromis_burtoni ENSHBUG00000023085
oreochromis_niloticus ENSONIG00000019403
neolamprologus_brichardi ENSNBRG00000016080
amphilophus_citrinellus ENSACIG00000016409
hippocampus_comes ENSHCOG00000011173
cynoglossus_semilaevis ENSCSEG00000004790
gadus_morhua ENSGMOG00000017056
periophthalmus_magnuspinnatus ENSPMGG00000022766
danio_rerio ENSDARG00000038123
pygocentrus_nattereri ENSPNAG00000029834
astyanax_mexicanus ENSAMXG00000037619
ictalurus_punctatus ENSIPUG00000020002
danio_rerio ENSDARG00000008030
pygocentrus_nattereri ENSPNAG00000003666
astyanax_mexicanus ENSAMXG00000041368
ictalurus_punctatus ENSIPUG00000001903
esox_lucius ENSELUG00000011604
paramormyrops_kingsleyae ENSPKIG00000010247
scleropages_formosus ENSSFOG00015019678
scleropages_formosus ENSSFOG00015015176
lepisosteus_oculatus ENSLOCG00000001277
astyanax_mexicanus ENSAMXG00000038616
danio_rerio ENSDARG00000099766
gadus_morhua ENSGMOG00000005791
scleropages_formosus ENSSFOG00015001537
cyprinodon_variegatus ENSCVAG00000009384
xiphophorus_couchianus ENSXCOG00000011898
kryptolebias_marmoratus ENSKMAG00000015085
monopterus_albus ENSMALG00000016489
mola_mola ENSMMOG00000008329
scophthalmus_maximus ENSSMAG00000017801
labrus_bergylta ENSLBEG00000023557
scleropages_formosus ENSSFOG00015000906
lepisosteus_oculatus ENSLOCG00000011144
maylandia_zebra ENSMZEG00005013273
maylandia_zebra ENSMZEG00005020041
astatotilapia_calliptera ENSACLG00000013379
pundamilia_nyererei ENSPNYG00000015945
haplochromis_burtoni ENSHBUG00000011695
neolamprologus_brichardi ENSNBRG00000009256
xiphophorus_couchianus ENSXCOG00000016413
gasterosteus_aculeatus ENSGACG00000017102
tetraodon_nigroviridis ENSTNIG00000018645
anabas_testudineus ENSATEG00000001470
gadus_morhua ENSGMOG00000017050
esox_lucius ENSELUG00000000334
coturnix_japonica ENSCJPG00005019625
microcebus_murinus ENSMICG00000036638
latimeria_chalumnae ENSLACG00000015822
petromyzon_marinus ENSPMAG00000007474
eptatretus_burgeri ENSEBUG00000003768
ciona_intestinalis ENSCING00000024490
drosophila_melanogaster FBgn0003514
caenorhabditis_elegans_strain_n2 WBGene00003372
