canis_lupus_dingo ENSCAFG00020017588
ictidomys_tridecemlineatus ENSSTOG00000009746
marmota_marmota_marmota ENSMMMG00000012480
mus_spicilegus ENSMSIG00000016352
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014641
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015448
mus_musculus ENSMUSG00000026421
mus_pahari MGP_PahariEiJ_G0027877
rattus_norvegicus ENSRNOG00000008937
meriones_unguiculatus ENSMUGG00000007766
cricetulus_griseus_chok1gshd ENSCGRG00001022010
cricetulus_griseus_crigri ENSCGRG00000012075
cricetulus_griseus_crigri-picr ENSCGRG00015024280
mesocricetus_auratus ENSMAUG00000013464
peromyscus_maniculatus_bairdii ENSPEMG00000017819
microtus_ochrogaster ENSMOCG00000003621
nannospalax_galili ENSNGAG00000019381
jaculus_jaculus ENSJJAG00000023165
castor_canadensis ENSCCNG00000023679
dipodomys_ordii ENSDORG00000016686
procavia_capensis ENSPCAG00000009390
ovis_aries ENSOARG00000018693
pan_troglodytes ENSPTRG00000001836
pan_paniscus ENSPPAG00000008502
homo_sapiens ENSG00000159176
pongo_abelii ENSPPYG00000000361
nomascus_leucogenys ENSNLEG00000018083
chlorocebus_sabaeus ENSCSAG00000014006
theropithecus_gelada ENSTGEG00000020706
rhinopithecus_bieti ENSRBIG00000031901
rhinopithecus_roxellana ENSRROG00000038164
colobus_angolensis_palliatus ENSCANG00000030683
callithrix_jacchus ENSCJAG00000005557
cebus_capucinus ENSCCAG00000025948
saimiri_boliviensis_boliviensis ENSSBOG00000025818
aotus_nancymaae ENSANAG00000027361
gorilla_gorilla ENSGGOG00000004840
piliocolobus_tephrosceles ENSPTEG00000026966
phascolarctos_cinereus ENSPCIG00000030445
melopsittacus_undulatus ENSMUNG00000004126
crocodylus_porosus ENSCPRG00005004741
ornithorhynchus_anatinus ENSOANG00000009350
sarcophilus_harrisii ENSSHAG00000006219
monodelphis_domestica ENSMODG00000000403
notamacropus_eugenii ENSMEUG00000011690
labrus_bergylta ENSLBEG00000009147
labrus_bergylta ENSLBEG00000013888
gasterosteus_aculeatus ENSGACG00000009706
cyprinodon_variegatus ENSCVAG00000015275
cyprinodon_variegatus ENSCVAG00000006077
fundulus_heteroclitus ENSFHEG00000005645
poecilia_formosa ENSPFOG00000002623
poecilia_latipinna ENSPLAG00000001930
poecilia_mexicana ENSPMEG00000017432
poecilia_reticulata ENSPREG00000019919
xiphophorus_maculatus ENSXMAG00000008165
gambusia_affinis ENSGAFG00000007490
kryptolebias_marmoratus ENSKMAG00000020434
oryzias_latipes ENSORLG00020000112
oryzias_latipes_asm223469v1 ENSORLG00015021928
oryzias_latipes ENSORLG00000022573
oryzias_melastigma ENSOMEG00000015070
amphiprion_ocellaris ENSAOCG00000023245
amphiprion_percula ENSAPEG00000004787
acanthochromis_polyacanthus ENSAPOG00000019068
stegastes_partitus ENSSPAG00000023519
haplochromis_burtoni ENSHBUG00000006143
astatotilapia_calliptera ENSACLG00000008160
pundamilia_nyererei ENSPNYG00000016657
maylandia_zebra ENSMZEG00005027155
neolamprologus_brichardi ENSNBRG00000018955
neolamprologus_brichardi ENSNBRG00000000165
oreochromis_niloticus ENSONIG00000012304
amphilophus_citrinellus ENSACIG00000015172
monopterus_albus ENSMALG00000012649
mastacembelus_armatus ENSMAMG00000008204
anabas_testudineus ENSATEG00000023266
seriola_dumerili ENSSDUG00000014638
seriola_lalandi_dorsalis ENSSLDG00000003139
hippocampus_comes ENSHCOG00000002560
periophthalmus_magnuspinnatus ENSPMGG00000002849
gadus_morhua ENSGMOG00000006915
ictalurus_punctatus ENSIPUG00000011387
pygocentrus_nattereri ENSPNAG00000022948
danio_rerio ENSDARG00000006603
xiphophorus_maculatus ENSXMAG00000018035
xiphophorus_couchianus ENSXCOG00000015975
gambusia_affinis ENSGAFG00000016313
poecilia_latipinna ENSPLAG00000014810
poecilia_formosa ENSPFOG00000014277
poecilia_reticulata ENSPREG00000012264
fundulus_heteroclitus ENSFHEG00000000435
cyprinodon_variegatus ENSCVAG00000015201
oryzias_latipes ENSORLG00000007008
oryzias_latipes ENSORLG00020013292
oryzias_latipes_asm223469v1 ENSORLG00015008676
oryzias_melastigma ENSOMEG00000013015
pundamilia_nyererei ENSPNYG00000005431
haplochromis_burtoni ENSHBUG00000010771
astatotilapia_calliptera ENSACLG00000023130
maylandia_zebra ENSMZEG00005002716
neolamprologus_brichardi ENSNBRG00000008508
oreochromis_niloticus ENSONIG00000014714
amphilophus_citrinellus ENSACIG00000010225
amphiprion_ocellaris ENSAOCG00000014640
amphiprion_percula ENSAPEG00000023731
acanthochromis_polyacanthus ENSAPOG00000015858
stegastes_partitus ENSSPAG00000001776
seriola_dumerili ENSSDUG00000000774
seriola_lalandi_dorsalis ENSSLDG00000009719
monopterus_albus ENSMALG00000000491
scophthalmus_maximus ENSSMAG00000008808
mastacembelus_armatus ENSMAMG00000004531
anabas_testudineus ENSATEG00000025117
mola_mola ENSMMOG00000013061
labrus_bergylta ENSLBEG00000024634
gasterosteus_aculeatus ENSGACG00000005056
cynoglossus_semilaevis ENSCSEG00000016075
kryptolebias_marmoratus ENSKMAG00000015872
periophthalmus_magnuspinnatus ENSPMGG00000000344
hippocampus_comes ENSHCOG00000001389
esox_lucius ENSELUG00000021388
pygocentrus_nattereri ENSPNAG00000008029
astyanax_mexicanus ENSAMXG00000031677
ictalurus_punctatus ENSIPUG00000024780
danio_rerio ENSDARG00000030980
paramormyrops_kingsleyae ENSPKIG00000001534
scleropages_formosus ENSSFOG00015016678
scleropages_formosus ENSSFOG00015022832
paramormyrops_kingsleyae ENSPKIG00000011163
gadus_morhua ENSGMOG00000015173
lepisosteus_oculatus ENSLOCG00000009788
latimeria_chalumnae ENSLACG00000012973
xenopus_tropicalis ENSXETG00000017088
eptatretus_burgeri ENSEBUG00000006711
pelodiscus_sinensis ENSPSIG00000007394
junco_hyemalis ENSJHYG00000011589
gopherus_agassizii ENSGAGG00000022048
chelonoidis_abingdonii ENSCABG00000016483
chrysemys_picta_bellii ENSCPBG00000026341
apteryx_haastii ENSAHAG00000008421
apteryx_rowi ENSARWG00000006365
dromaius_novaehollandiae ENSDNVG00000018687
cyanistes_caeruleus ENSCCEG00000021150
zonotrichia_albicollis ENSZALG00000014981
serinus_canaria ENSSCAG00000007004
numida_meleagris ENSNMEG00000008881
apteryx_owenii ENSAOWG00000011535
nothoprocta_perdicaria ENSNPEG00000001051
calidris_pugnax ENSCPUG00000017581
calidris_pygmaea ENSCPGG00000011606
manacus_vitellinus ENSMVIG00005011398
lepidothrix_coronata ENSLCOG00000005186
taeniopygia_guttata ENSTGUG00000001313
lonchura_striata_domestica ENSLSDG00000013314
ficedula_albicollis ENSFALG00000002542
parus_major ENSPMJG00000004741
anser_brachyrhynchus ENSABRG00000017898
anas_platyrhynchos_platyrhynchos ENSAPLG00000012039
gallus_gallus ENSGALG00000000318
coturnix_japonica ENSCJPG00005007905
meleagris_gallopavo ENSMGAG00000002016
anolis_carolinensis ENSACAG00000003710
pogona_vitticeps ENSPVIG00000007684
notechis_scutatus ENSNSUG00000002016
salvator_merianae ENSSMRG00000003915
sphenodon_punctatus ENSSPUG00000008280
