ictidomys_tridecemlineatus ENSSTOG00000032091
ailuropoda_melanoleuca ENSAMEG00000006790
mustela_putorius_furo ENSMPUG00000002686
neovison_vison ENSNVIG00000006594
canis_lupus_dingo ENSCAFG00020015879
vulpes_vulpes ENSVVUG00000008426
canis_lupus_familiaris ENSCAFG00000002451
panthera_pardus ENSPPRG00000013264
panthera_tigris_altaica ENSPTIG00000021702
felis_catus ENSFCAG00000008723
sorex_araneus ENSSARG00000009199
erinaceus_europaeus ENSEEUG00000004110
sus_scrofa ENSSSCG00000001497
vicugna_pacos ENSVPAG00000003109
bos_mutus ENSBMUG00000013957
bos_taurus ENSBTAG00000018879
bison_bison_bison ENSBBBG00000016823
capra_hircus ENSCHIG00000017115
tursiops_truncatus ENSTTRG00000009950
equus_caballus ENSECAG00000009633
equus_asinus_asinus ENSEASG00005003471
loxodonta_africana ENSLAFG00000007200
echinops_telfairi ENSETEG00000012969
dasypus_novemcinctus ENSDNOG00000000074
choloepus_hoffmanni ENSCHOG00000012262
ornithorhynchus_anatinus ENSOANG00000013803
ornithorhynchus_anatinus ENSOANG00000000289
xenopus_tropicalis ENSXETG00000003247
xenopus_tropicalis ENSXETG00000022852
latimeria_chalumnae ENSLACG00000005566
lepisosteus_oculatus ENSLOCG00000016996
petromyzon_marinus ENSPMAG00000006832
eptatretus_burgeri ENSEBUG00000006775
