mesocricetus_auratus ENSMAUG00000007892
heterocephalus_glaber ENSHGLG00100019572
heterocephalus_glaber ENSHGLG00000017607
heterocephalus_glaber ENSHGLG00100019910
heterocephalus_glaber ENSHGLG00000000147
heterocephalus_glaber ENSHGLG00100020825
octodon_degus ENSODEG00000002359
cavia_aperea ENSCAPG00000011521
chinchilla_lanigera ENSCLAG00000005161
octodon_degus ENSODEG00000019266
cavia_porcellus ENSCPOG00000003678
fukomys_damarensis ENSFDAG00000011431
castor_canadensis ENSCCNG00000015637
castor_canadensis ENSCCNG00000025304
cricetulus_griseus ENSCGRG00015020841
cricetulus_griseus ENSCGRG00001001688
peromyscus_maniculatus ENSPEMG00000005759
mus_spicilegus ENSMSIG00000005056
jaculus_jaculus ENSJJAG00000014424
castor_canadensis ENSCCNG00000003990
marmota_marmota ENSMMMG00000002742
fukomys_damarensis ENSFDAG00000015308
cebus_capucinus ENSCCAG00000002061
aotus_nancymaae ENSANAG00000019787
aotus_nancymaae ENSANAG00000012367
ursus_maritimus ENSUMAG00000014726
ursus_americanus ENSUAMG00000009442
ursus_maritimus ENSUMAG00000009135
ursus_americanus ENSUAMG00000023008
ovis_aries ENSOARG00000016658
capra_hircus ENSCHIG00000022971
bos_indicus ENSBIXG00000007314
bos_indicus ENSBIXG00005027705
bos_mutus ENSBMUG00000025223
bos_taurus ENSBTAG00000020513
dasypus_novemcinctus ENSDNOG00000041230
bos_indicus ENSBIXG00005021603
bos_indicus ENSBIXG00000011634
bos_mutus ENSBMUG00000022592
bos_taurus ENSBTAG00000008853
bison_bison ENSBBBG00000012540
capra_hircus ENSCHIG00000006714
sus_scrofa ENSSSCG00000010203
ursus_americanus ENSUAMG00000000455
ursus_maritimus ENSUMAG00000016485
ailuropoda_melanoleuca ENSAMEG00000018983
neovison_vison ENSNVIG00000019999
mustela_putorius ENSMPUG00000017283
canis_lupus ENSCAFG00000007044
vulpes_vulpes ENSVVUG00000021261
panthera_tigris ENSPTIG00000009644
panthera_pardus ENSPPRG00000021222
felis_catus ENSFCAG00000028219
pteropus_vampyrus ENSPVAG00000011646
myotis_lucifugus ENSMLUG00000007261
equus_asinus ENSEASG00005006903
equus_caballus ENSECAG00000003229
sorex_araneus ENSSARG00000010059
cricetulus_griseus ENSCGRG00001016206
tupaia_belangeri ENSTBEG00000016094
bos_indicus ENSBIXG00005024676
ovis_aries ENSOARG00000003995
sus_scrofa ENSSSCG00000024956
heterocephalus_glaber ENSHGLG00100010905
heterocephalus_glaber ENSHGLG00000014139
fukomys_damarensis ENSFDAG00000007858
castor_canadensis ENSCCNG00000027586
meriones_unguiculatus ENSMUGG00000020636
meriones_unguiculatus ENSMUGG00000006355
cricetulus_griseus ENSCGRG00015005801
prolemur_simus ENSPSMG00000008390
gorilla_gorilla ENSGGOG00000010867
aotus_nancymaae ENSANAG00000033452
castor_canadensis ENSCCNG00000004783
loxodonta_africana ENSLAFG00000000424
procavia_capensis ENSPCAG00000013169
dasypus_novemcinctus ENSDNOG00000030849
