callorhinchus_milii ENSCMIG00000011598
carlito_syrichta ENSTSYG00000007154
sorex_araneus ENSSARG00000014184
vicugna_pacos ENSVPAG00000002564
choloepus_hoffmanni ENSCHOG00000003392
dasypus_novemcinctus ENSDNOG00000014185
loxodonta_africana ENSLAFG00000000775
echinops_telfairi ENSETEG00000009935
procavia_capensis ENSPCAG00000014479
pteropus_vampyrus ENSPVAG00000017936
myotis_lucifugus ENSMLUG00000004692
bos_indicus ENSBIXG00000023804
bos_indicus ENSBIXG00005030772
bos_taurus ENSBTAG00000009983
bos_mutus ENSBMUG00000025009
bison_bison ENSBBBG00000001518
capra_hircus ENSCHIG00000001851
ovis_aries ENSOARG00000018647
tursiops_truncatus ENSTTRG00000013488
sus_scrofa ENSSSCG00000004969
mustela_putorius ENSMPUG00000017100
neovison_vison ENSNVIG00000002990
ursus_maritimus ENSUMAG00000010352
ursus_americanus ENSUAMG00000026500
ailuropoda_melanoleuca ENSAMEG00000014201
canis_lupus ENSCAFG00020007349
canis_lupus ENSCAFG00000017535
vulpes_vulpes ENSVVUG00000014800
panthera_pardus ENSPPRG00000023196
panthera_tigris ENSPTIG00000009094
felis_catus ENSFCAG00000010286
equus_caballus ENSECAG00000014536
equus_asinus ENSEASG00005005598
ornithorhynchus_anatinus ENSOANG00000013534
myotis_lucifugus ENSMLUG00000024044
crocodylus_porosus ENSCPRG00005006446
xenopus_tropicalis ENSXETG00000015777
apteryx_rowi ENSARWG00000013198
pogona_vitticeps ENSPVIG00000018729
periophthalmus_magnuspinnatus ENSPMGG00000005055
astyanax_mexicanus ENSAMXG00000000541
astyanax_mexicanus ENSAMXG00005016556
pygocentrus_nattereri ENSPNAG00000014143
ictalurus_punctatus ENSIPUG00000022986
electrophorus_electricus ENSEEEG00000010714
danio_rerio ENSDARG00000014943
denticeps_clupeoides ENSDCDG00000013087
monopterus_albus ENSMALG00000006596
mastacembelus_armatus ENSMAMG00000005646
anabas_testudineus ENSATEG00000010066
betta_splendens ENSBSLG00000018655
seriola_dumerili ENSSDUG00000007360
seriola_lalandi ENSSLDG00000023233
lates_calcarifer ENSLCAG00010013211
scophthalmus_maximus ENSSMAG00000013831
cynoglossus_semilaevis ENSCSEG00000007240
cyprinodon_variegatus ENSCVAG00000007774
fundulus_heteroclitus ENSFHEG00000021477
poecilia_formosa ENSPFOG00000009992
poecilia_latipinna ENSPLAG00000004119
poecilia_mexicana ENSPMEG00000000784
poecilia_reticulata ENSPREG00000010939
gambusia_affinis ENSGAFG00000020758
xiphophorus_maculatus ENSXMAG00000003667
xiphophorus_couchianus ENSXCOG00000003217
kryptolebias_marmoratus ENSKMAG00000020065
oryzias_latipes ENSORLG00015001472
oryzias_latipes ENSORLG00020008257
oryzias_latipes ENSORLG00000006689
oryzias_melastigma ENSOMEG00000019673
oryzias_melastigma ENSOMEG00000014769
gouania_willdenowi ENSGWIG00000000695
amphiprion_ocellaris ENSAOCG00000003882
amphiprion_percula ENSAPEG00000021465
acanthochromis_polyacanthus ENSAPOG00000009173
stegastes_partitus ENSSPAG00000020547
haplochromis_burtoni ENSHBUG00000018203
astatotilapia_calliptera ENSACLG00000014311
maylandia_zebra ENSMZEG00005000318
pundamilia_nyererei ENSPNYG00000014871
astatotilapia_calliptera ENSACLG00000014717
neolamprologus_brichardi ENSNBRG00000015135
oreochromis_niloticus ENSONIG00000015489
amphilophus_citrinellus ENSACIG00000004552
parambassis_ranga ENSPRNG00000004315
cottoperca_gobio ENSCGOG00000017942
gasterosteus_aculeatus ENSGACG00000005226
mola_mola ENSMMOG00000001674
larimichthys_crocea ENSLCRG00005007598
labrus_bergylta ENSLBEG00000014888
hippocampus_comes ENSHCOG00000015297
tetraodon_nigroviridis ENSTNIG00000008437
tetraodon_nigroviridis ENSTNIG00000006552
takifugu_rubripes ENSTRUG00000015223
gadus_morhua ENSGMOG00000017492
hucho_hucho ENSHHUG00000024163
takifugu_rubripes ENSTRUG00000016789
tetraodon_nigroviridis ENSTNIG00000009555
mola_mola ENSMMOG00000000422
stegastes_partitus ENSSPAG00000007953
gouania_willdenowi ENSGWIG00000024493
oreochromis_niloticus ENSONIG00000013226
pundamilia_nyererei ENSPNYG00000012064
astatotilapia_calliptera ENSACLG00000015017
maylandia_zebra ENSMZEG00005012665
haplochromis_burtoni ENSHBUG00000015493
pundamilia_nyererei ENSPNYG00000012088
neolamprologus_brichardi ENSNBRG00000021562
amphilophus_citrinellus ENSACIG00000016900
amphiprion_percula ENSAPEG00000001068
amphiprion_ocellaris ENSAOCG00000003685
acanthochromis_polyacanthus ENSAPOG00000020688
parambassis_ranga ENSPRNG00000023324
oryzias_latipes ENSORLG00015022272
oryzias_latipes ENSORLG00020022393
oryzias_latipes ENSORLG00000001944
oryzias_melastigma ENSOMEG00000008392
cottoperca_gobio ENSCGOG00000003399
gasterosteus_aculeatus ENSGACG00000016920
labrus_bergylta ENSLBEG00000004189
larimichthys_crocea ENSLCRG00005007885
seriola_dumerili ENSSDUG00000017423
seriola_lalandi ENSSLDG00000010981
lates_calcarifer ENSLCAG00010000311
scophthalmus_maximus ENSSMAG00000021310
cynoglossus_semilaevis ENSCSEG00000009382
anabas_testudineus ENSATEG00000018953
betta_splendens ENSBSLG00000016203
mastacembelus_armatus ENSMAMG00000012444
monopterus_albus ENSMALG00000013327
fundulus_heteroclitus ENSFHEG00000017517
cyprinodon_variegatus ENSCVAG00000020956
xiphophorus_maculatus ENSXMAG00000000438
xiphophorus_couchianus ENSXCOG00000018291
gambusia_affinis ENSGAFG00000004588
poecilia_latipinna ENSPLAG00000017355
poecilia_mexicana ENSPMEG00000002893
poecilia_formosa ENSPFOG00000007858
poecilia_reticulata ENSPREG00000007754
kryptolebias_marmoratus ENSKMAG00000000730
hippocampus_comes ENSHCOG00000009985
gadus_morhua ENSGMOG00000015631
hucho_hucho ENSHHUG00000013640
hucho_hucho ENSHHUG00000013692
hucho_hucho ENSHHUG00000049608
esox_lucius ENSELUG00000021675
esox_lucius ENSELUG00000023091
paramormyrops_kingsleyae ENSPKIG00000016508
scleropages_formosus ENSSFOG00015009021
lepisosteus_oculatus ENSLOCG00000013995
periophthalmus_magnuspinnatus ENSPMGG00000013773
periophthalmus_magnuspinnatus ENSPMGG00000008307
erpetoichthys_calabaricus ENSECRG00000022755
erpetoichthys_calabaricus ENSECRG00000022850
petromyzon_marinus ENSPMAG00000000386
eptatretus_burgeri ENSEBUG00000001221
ciona_intestinalis ENSCING00000003537
ciona_savignyi ENSCSAVG00000004628
drosophila_melanogaster FBgn0011692
caenorhabditis_elegans WBGene00006974
