bos_indicus ENSBIXG00005010373
echinops_telfairi ENSETEG00000006319
dasypus_novemcinctus ENSDNOG00000009731
choloepus_hoffmanni ENSCHOG00000012008
sorex_araneus ENSSARG00000009376
erinaceus_europaeus ENSEEUG00000008227
myotis_lucifugus ENSMLUG00000006866
phascolarctos_cinereus ENSPCIG00000006349
vombatus_ursinus ENSVURG00010022366
notamacropus_eugenii ENSMEUG00000007584
sarcophilus_harrisii ENSSHAG00000015714
monodelphis_domestica ENSMODG00000017425
ornithorhynchus_anatinus ENSOANG00000002630
oryctolagus_cuniculus ENSOCUG00000023181
oryctolagus_cuniculus ENSOCUG00000025967
pogona_vitticeps ENSPVIG00000019540
notechis_scutatus ENSNSUG00000007936
salvator_merianae ENSSMRG00000022513
sphenodon_punctatus ENSSPUG00000003077
apteryx_haastii ENSAHAG00000006775
apteryx_rowi ENSARWG00000001801
apteryx_owenii ENSAOWG00000015311
nothoprocta_perdicaria ENSNPEG00000006084
dromaius_novaehollandiae ENSDNVG00000002502
anas_platyrhynchos ENSAPLG00000007108
anser_brachyrhynchus ENSABRG00000010813
gallus_gallus ENSGALG00000016607
coturnix_japonica ENSCJPG00005018215
meleagris_gallopavo ENSMGAG00000014717
numida_meleagris ENSNMEG00000015698
calidris_pugnax ENSCPUG00000007260
calidris_pygmaea ENSCPGG00000016958
melopsittacus_undulatus ENSMUNG00000003009
lepidothrix_coronata ENSLCOG00000002360
manacus_vitellinus ENSMVIG00005015670
lonchura_striata ENSLSDG00000013452
taeniopygia_guttata ENSTGUG00000008365
zonotrichia_albicollis ENSZALG00000010182
junco_hyemalis ENSJHYG00000005857
serinus_canaria ENSSCAG00000013223
ficedula_albicollis ENSFALG00000004506
parus_major ENSPMJG00000011535
cyanistes_caeruleus ENSCCEG00000006372
crocodylus_porosus ENSCPRG00005006604
gopherus_agassizii ENSGAGG00000018477
chelonoidis_abingdonii ENSCABG00000021459
chrysemys_picta ENSCPBG00000021337
pelodiscus_sinensis ENSPSIG00000007929
xenopus_tropicalis ENSXETG00000010167
xiphophorus_couchianus ENSXCOG00000010042
acanthochromis_polyacanthus ENSAPOG00000017498
seriola_dumerili ENSSDUG00000018896
ornithorhynchus_anatinus ENSOANG00000030471
scleropages_formosus ENSSFOG00015003593
paramormyrops_kingsleyae ENSPKIG00000022090
paramormyrops_kingsleyae ENSPKIG00000013603
scleropages_formosus ENSSFOG00015009217
astyanax_mexicanus ENSAMXG00005007419
astyanax_mexicanus ENSAMXG00000006615
pygocentrus_nattereri ENSPNAG00000000208
ictalurus_punctatus ENSIPUG00000021203
electrophorus_electricus ENSEEEG00000003652
danio_rerio ENSDARG00000035808
clupea_harengus ENSCHAG00000023965
denticeps_clupeoides ENSDCDG00000020414
gasterosteus_aculeatus ENSGACG00000015506
takifugu_rubripes ENSTRUG00000024793
gadus_morhua ENSGMOG00000009849
hucho_hucho ENSHHUG00000027548
hucho_hucho ENSHHUG00000052509
esox_lucius ENSELUG00000017771
seriola_dumerili ENSSDUG00000018854
seriola_lalandi ENSSLDG00000018265
scophthalmus_maximus ENSSMAG00000000044
neolamprologus_brichardi ENSNBRG00000020867
poecilia_reticulata ENSPREG00000012636
gouania_willdenowi ENSGWIG00000001502
cottoperca_gobio ENSCGOG00000016367
larimichthys_crocea ENSLCRG00005005283
tetraodon_nigroviridis ENSTNIG00000010254
mola_mola ENSMMOG00000002081
cynoglossus_semilaevis ENSCSEG00000008841
amphilophus_citrinellus ENSACIG00000023551
oryzias_melastigma ENSOMEG00000017440
labrus_bergylta ENSLBEG00000012510
xiphophorus_maculatus ENSXMAG00000000799
gambusia_affinis ENSGAFG00000020432
poecilia_latipinna ENSPLAG00000000184
poecilia_formosa ENSPFOG00000006075
poecilia_mexicana ENSPMEG00000023575
cyprinodon_variegatus ENSCVAG00000013981
fundulus_heteroclitus ENSFHEG00000015523
parambassis_ranga ENSPRNG00000007563
takifugu_rubripes ENSTRUG00000011238
amphiprion_ocellaris ENSAOCG00000008213
amphiprion_percula ENSAPEG00000007651
acanthochromis_polyacanthus ENSAPOG00000002362
stegastes_partitus ENSSPAG00000011532
maylandia_zebra ENSMZEG00005014037
maylandia_zebra ENSMZEG00005028448
astatotilapia_calliptera ENSACLG00000008394
haplochromis_burtoni ENSHBUG00000011546
pundamilia_nyererei ENSPNYG00000010215
oreochromis_niloticus ENSONIG00000003621
mastacembelus_armatus ENSMAMG00000022531
monopterus_albus ENSMALG00000006383
anabas_testudineus ENSATEG00000012721
betta_splendens ENSBSLG00000011430
lates_calcarifer ENSLCAG00010019775
lates_calcarifer ENSLCAG00010009274
hippocampus_comes ENSHCOG00000007563
periophthalmus_magnuspinnatus ENSPMGG00000000056
lepisosteus_oculatus ENSLOCG00000007307
erpetoichthys_calabaricus ENSECRG00000011355
cynoglossus_semilaevis ENSCSEG00000000421
denticeps_clupeoides ENSDCDG00000026084
procavia_capensis ENSPCAG00000009015
meriones_unguiculatus ENSMUGG00000004349
anolis_carolinensis ENSACAG00000015662
apteryx_haastii ENSAHAG00000001219
latimeria_chalumnae ENSLACG00000007946
callorhinchus_milii ENSCMIG00000011514
