erpetoichthys_calabaricus ENSECRG00000009598
crocodylus_porosus ENSCPRG00005014230
pogona_vitticeps ENSPVIG00000024987
anolis_carolinensis ENSACAG00000005638
notechis_scutatus ENSNSUG00000007820
salvator_merianae ENSSMRG00000007099
sphenodon_punctatus ENSSPUG00000005923
junco_hyemalis ENSJHYG00000005055
lonchura_striata ENSLSDG00000014995
ficedula_albicollis ENSFALG00000008710
parus_major ENSPMJG00000006662
lepidothrix_coronata ENSLCOG00000008584
gallus_gallus ENSGALG00000002984
coturnix_japonica ENSCJPG00005010022
numida_meleagris ENSNMEG00000017988
meleagris_gallopavo ENSMGAG00000004156
anser_brachyrhynchus ENSABRG00000015435
cyanistes_caeruleus ENSCCEG00000005017
serinus_canaria ENSSCAG00000013541
zonotrichia_albicollis ENSZALG00000011106
calidris_pugnax ENSCPUG00000007986
apteryx_rowi ENSARWG00000004184
apteryx_haastii ENSAHAG00000010884
apteryx_owenii ENSAOWG00000011618
nothoprocta_perdicaria ENSNPEG00000004384
dromaius_novaehollandiae ENSDNVG00000014204
anas_platyrhynchos ENSAPLG00000024021
manacus_vitellinus ENSMVIG00005017198
melopsittacus_undulatus ENSMUNG00000006718
ornithorhynchus_anatinus ENSOANG00000028845
xenopus_tropicalis ENSXETG00000016449
canis_lupus ENSCAFG00020011899
canis_lupus ENSCAFG00000016450
vulpes_vulpes ENSVVUG00000000036
neovison_vison ENSNVIG00000021083
mustela_putorius ENSMPUG00000012249
ursus_americanus ENSUAMG00000027909
ursus_maritimus ENSUMAG00000024328
ailuropoda_melanoleuca ENSAMEG00000018187
panthera_tigris ENSPTIG00000014363
panthera_pardus ENSPPRG00000002474
felis_catus ENSFCAG00000016207
equus_asinus ENSEASG00005012274
equus_caballus ENSECAG00000024046
capra_hircus ENSCHIG00000010441
ovis_aries ENSOARG00000004122
bos_indicus ENSBIXG00005024719
bos_indicus ENSBIXG00000024413
bos_taurus ENSBTAG00000025425
bison_bison ENSBBBG00000010702
bos_mutus ENSBMUG00000007258
tursiops_truncatus ENSTTRG00000009570
myotis_lucifugus ENSMLUG00000022320
propithecus_coquereli ENSPCOG00000011285
microcebus_murinus ENSMICG00000036422
prolemur_simus ENSPSMG00000013234
otolemur_garnettii ENSOGAG00000028442
macaca_nemestrina ENSMNEG00000008581
macaca_fascicularis ENSMFAG00000045651
macaca_mulatta ENSMMUG00000009045
theropithecus_gelada ENSTGEG00000015383
papio_anubis ENSPANG00000011857
cercocebus_atys ENSCATG00000037953
mandrillus_leucophaeus ENSMLEG00000033634
chlorocebus_sabaeus ENSCSAG00000008917
rhinopithecus_roxellana ENSRROG00000038828
rhinopithecus_bieti ENSRBIG00000036872
piliocolobus_tephrosceles ENSPTEG00000008509
colobus_angolensis ENSCANG00000028681
homo_sapiens ENSG00000169228
pan_troglodytes ENSPTRG00000017577
gorilla_gorilla ENSGGOG00000023694
pongo_abelii ENSPPYG00000016085
pan_paniscus ENSPPAG00000039689
nomascus_leucogenys ENSNLEG00000012697
callithrix_jacchus ENSCJAG00000006969
cebus_capucinus ENSCCAG00000032754
saimiri_boliviensis ENSSBOG00000025992
aotus_nancymaae ENSANAG00000023517
mus_spicilegus ENSMSIG00000017691
mus_musculus ENSMUSG00000034789
mus_spretus MGP_SPRETEiJ_G0019435
mus_caroli MGP_CAROLIEiJ_G0018555
mus_pahari MGP_PahariEiJ_G0019620
rattus_norvegicus ENSRNOG00000016539
meriones_unguiculatus ENSMUGG00000016611
cricetulus_griseus ENSCGRG00015017647
cricetulus_griseus ENSCGRG00001023479
cricetulus_griseus ENSCGRG00000017782
mesocricetus_auratus ENSMAUG00000011439
microtus_ochrogaster ENSMOCG00000021113
peromyscus_maniculatus ENSPEMG00000012635
nannospalax_galili ENSNGAG00000014857
jaculus_jaculus ENSJJAG00000008646
ictidomys_tridecemlineatus ENSSTOG00000021889
urocitellus_parryii ENSUPAG00010013660
marmota_marmota ENSMMMG00000004914
spermophilus_dauricus ENSSDAG00000002887
heterocephalus_glaber ENSHGLG00000008311
heterocephalus_glaber ENSHGLG00100018262
fukomys_damarensis ENSFDAG00000007430
chinchilla_lanigera ENSCLAG00000015766
octodon_degus ENSODEG00000010425
cavia_porcellus ENSCPOG00000039323
cavia_aperea ENSCAPG00000014351
ochotona_princeps ENSOPRG00000018449
oryctolagus_cuniculus ENSOCUG00000029699
carlito_syrichta ENSTSYG00000031663
loxodonta_africana ENSLAFG00000020517
dasypus_novemcinctus ENSDNOG00000023713
notamacropus_eugenii ENSMEUG00000001728
vombatus_ursinus ENSVURG00010000503
phascolarctos_cinereus ENSPCIG00000002183
monodelphis_domestica ENSMODG00000004814
castor_canadensis ENSCCNG00000024777
sus_scrofa ENSSSCG00000014043
procavia_capensis ENSPCAG00000010519
calidris_pygmaea ENSCPGG00000014211
ornithorhynchus_anatinus ENSOANG00000032035
chrysemys_picta ENSCPBG00000022236
poecilia_reticulata ENSPREG00000005950
eptatretus_burgeri ENSEBUG00000002308
