cricetulus_griseus_chok1gshd ENSCGRG00001024622
loxodonta_africana ENSLAFG00000008018
echinops_telfairi ENSETEG00000015639
choloepus_hoffmanni ENSCHOG00000008274
dasypus_novemcinctus ENSDNOG00000012086
notamacropus_eugenii ENSMEUG00000012073
phascolarctos_cinereus ENSPCIG00000029623
sarcophilus_harrisii ENSSHAG00000009560
monodelphis_domestica ENSMODG00000001340
ornithorhynchus_anatinus ENSOANG00000015669
chrysemys_picta_bellii ENSCPBG00000009307
gopherus_agassizii ENSGAGG00000008742
pelodiscus_sinensis ENSPSIG00000010484
anser_brachyrhynchus ENSABRG00000014803
anas_platyrhynchos_platyrhynchos ENSAPLG00000005132
numida_meleagris ENSNMEG00000020618
gallus_gallus ENSGALG00000020253
calidris_pugnax ENSCPUG00000009157
calidris_pygmaea ENSCPGG00000002373
taeniopygia_guttata ENSTGUG00000005320
lonchura_striata_domestica ENSLSDG00000007116
ficedula_albicollis ENSFALG00000013161
cyanistes_caeruleus ENSCCEG00000013144
parus_major ENSPMJG00000010759
zonotrichia_albicollis ENSZALG00000007912
apteryx_rowi ENSARWG00000007564
apteryx_haastii ENSAHAG00000019552
dromaius_novaehollandiae ENSDNVG00000015590
anolis_carolinensis ENSACAG00000015581
pogona_vitticeps ENSPVIG00000019629
salvator_merianae ENSSMRG00000001613
notechis_scutatus ENSNSUG00000010129
xenopus_tropicalis ENSXETG00000032899
xiphophorus_maculatus ENSXMAG00000009611
xiphophorus_couchianus ENSXCOG00000013753
gambusia_affinis ENSGAFG00000020603
poecilia_formosa ENSPFOG00000022576
poecilia_mexicana ENSPMEG00000008388
poecilia_latipinna ENSPLAG00000023377
poecilia_reticulata ENSPREG00000007629
fundulus_heteroclitus ENSFHEG00000008606
cyprinodon_variegatus ENSCVAG00000007144
kryptolebias_marmoratus ENSKMAG00000000066
oryzias_latipes_asm223469v1 ENSORLG00015003618
oryzias_latipes ENSORLG00000024872
oryzias_latipes ENSORLG00020005941
oryzias_melastigma ENSOMEG00000012066
maylandia_zebra ENSMZEG00005023698
astatotilapia_calliptera ENSACLG00000015598
haplochromis_burtoni ENSHBUG00000003095
neolamprologus_brichardi ENSNBRG00000016035
pundamilia_nyererei ENSPNYG00000023127
oreochromis_niloticus ENSONIG00000009009
amphilophus_citrinellus ENSACIG00000010602
labrus_bergylta ENSLBEG00000019187
seriola_dumerili ENSSDUG00000022516
seriola_lalandi_dorsalis ENSSLDG00000002202
scophthalmus_maximus ENSSMAG00000010571
labrus_bergylta ENSLBEG00000004301
mola_mola ENSMMOG00000007319
mastacembelus_armatus ENSMAMG00000020110
monopterus_albus ENSMALG00000006108
anabas_testudineus ENSATEG00000019634
stegastes_partitus ENSSPAG00000020560
amphiprion_ocellaris ENSAOCG00000013624
amphiprion_percula ENSAPEG00000019325
acanthochromis_polyacanthus ENSAPOG00000007692
periophthalmus_magnuspinnatus ENSPMGG00000024144
hippocampus_comes ENSHCOG00000002347
esox_lucius ENSELUG00000004842
pygocentrus_nattereri ENSPNAG00000000917
astyanax_mexicanus ENSAMXG00000006823
ictalurus_punctatus ENSIPUG00000017977
danio_rerio ENSDARG00000037276
scleropages_formosus ENSSFOG00015015156
paramormyrops_kingsleyae ENSPKIG00000018163
lepisosteus_oculatus ENSLOCG00000008285
eptatretus_burgeri ENSEBUG00000001080
petromyzon_marinus ENSPMAG00000004824
caenorhabditis_elegans_strain_n2 WBGene00016397
