pundamilia_nyererei ENSPNYG00000009140
gallus_gallus ENSGALG00000004963
coturnix_japonica ENSCJPG00005010658
numida_meleagris ENSNMEG00000011478
anser_brachyrhynchus ENSABRG00000000667
anas_platyrhynchos_platyrhynchos ENSAPLG00000019380
calidris_pygmaea ENSCPGG00000006795
melopsittacus_undulatus ENSMUNG00000012345
crocodylus_porosus ENSCPRG00005009707
gopherus_agassizii ENSGAGG00000018052
chelonoidis_abingdonii ENSCABG00000009290
chrysemys_picta_bellii ENSCPBG00000001427
pogona_vitticeps ENSPVIG00000005836
anolis_carolinensis ENSACAG00000008289
notechis_scutatus ENSNSUG00000002121
salvator_merianae ENSSMRG00000013193
sphenodon_punctatus ENSSPUG00000017453
latimeria_chalumnae ENSLACG00000017159
