oryzias_latipes ENSORLG00020006822
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033738
mus_spicilegus ENSMSIG00000012576
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032592
mus_pahari MGP_PahariEiJ_G0015460
rattus_norvegicus ENSRNOG00000010911
meriones_unguiculatus ENSMUGG00000018500
nannospalax_galili ENSNGAG00000020049
jaculus_jaculus ENSJJAG00000018562
urocitellus_parryii ENSUPAG00010022268
ictidomys_tridecemlineatus ENSSTOG00000027311
marmota_marmota_marmota ENSMMMG00000019244
ochotona_princeps ENSOPRG00000002156
oryctolagus_cuniculus ENSOCUG00000015347
procavia_capensis ENSPCAG00000008696
loxodonta_africana ENSLAFG00000029517
dasypus_novemcinctus ENSDNOG00000033664
ornithorhynchus_anatinus ENSOANG00000006781
taeniopygia_guttata ENSTGUG00000004466
lonchura_striata_domestica ENSLSDG00000005916
zonotrichia_albicollis ENSZALG00000003963
junco_hyemalis ENSJHYG00000010032
parus_major ENSPMJG00000010176
cyanistes_caeruleus ENSCCEG00000012538
serinus_canaria ENSSCAG00000001844
ficedula_albicollis ENSFALG00000012428
lepidothrix_coronata ENSLCOG00000001275
manacus_vitellinus ENSMVIG00005012956
calidris_pygmaea ENSCPGG00000014106
calidris_pugnax ENSCPUG00000004925
melopsittacus_undulatus ENSMUNG00000004499
meleagris_gallopavo ENSMGAG00000011567
coturnix_japonica ENSCJPG00005004308
gallus_gallus ENSGALG00000036412
numida_meleagris ENSNMEG00000010469
anser_brachyrhynchus ENSABRG00000008696
anas_platyrhynchos_platyrhynchos ENSAPLG00000025394
apteryx_haastii ENSAHAG00000007787
apteryx_owenii ENSAOWG00000005831
apteryx_rowi ENSARWG00000011081
dromaius_novaehollandiae ENSDNVG00000001730
nothoprocta_perdicaria ENSNPEG00000002810
crocodylus_porosus ENSCPRG00005007414
chelonoidis_abingdonii ENSCABG00000011636
chrysemys_picta_bellii ENSCPBG00000023056
pelodiscus_sinensis ENSPSIG00000009703
pogona_vitticeps ENSPVIG00000002094
anolis_carolinensis ENSACAG00000004468
notechis_scutatus ENSNSUG00000007720
salvator_merianae ENSSMRG00000010154
latimeria_chalumnae ENSLACG00000014453
