chrysemys_picta ENSCPBG00000000873
ictalurus_punctatus ENSIPUG00000003151
astyanax_mexicanus ENSAMXG00005015555
astyanax_mexicanus ENSAMXG00000032137
pygocentrus_nattereri ENSPNAG00000010391
danio_rerio ENSDARG00000006003
takifugu_rubripes ENSTRUG00000020370
tetraodon_nigroviridis ENSTNIG00000017476
labrus_bergylta ENSLBEG00000024519
gasterosteus_aculeatus ENSGACG00000006680
poecilia_formosa ENSPFOG00000007778
poecilia_mexicana ENSPMEG00000006286
poecilia_latipinna ENSPLAG00000011594
poecilia_reticulata ENSPREG00000022066
xiphophorus_maculatus ENSXMAG00000006355
xiphophorus_couchianus ENSXCOG00000011015
gambusia_affinis ENSGAFG00000017662
fundulus_heteroclitus ENSFHEG00000017701
cyprinodon_variegatus ENSCVAG00000012749
kryptolebias_marmoratus ENSKMAG00000014715
maylandia_zebra ENSMZEG00005027058
haplochromis_burtoni ENSHBUG00000014961
pundamilia_nyererei ENSPNYG00000001927
astatotilapia_calliptera ENSACLG00000004228
neolamprologus_brichardi ENSNBRG00000000251
oreochromis_niloticus ENSONIG00000012245
amphilophus_citrinellus ENSACIG00000015873
anabas_testudineus ENSATEG00000005859
betta_splendens ENSBSLG00000025016
cynoglossus_semilaevis ENSCSEG00000000173
seriola_dumerili ENSSDUG00000010963
seriola_lalandi ENSSLDG00000002546
lates_calcarifer ENSLCAG00010009401
mastacembelus_armatus ENSMAMG00000008636
monopterus_albus ENSMALG00000005355
larimichthys_crocea ENSLCRG00005020475
mola_mola ENSMMOG00000002168
gouania_willdenowi ENSGWIG00000017727
amphiprion_percula ENSAPEG00000021217
amphiprion_ocellaris ENSAOCG00000018841
acanthochromis_polyacanthus ENSAPOG00000010854
stegastes_partitus ENSSPAG00000021019
parambassis_ranga ENSPRNG00000015047
scophthalmus_maximus ENSSMAG00000007435
cottoperca_gobio ENSCGOG00000003414
oryzias_latipes ENSORLG00015016874
oryzias_latipes ENSORLG00020002849
oryzias_latipes ENSORLG00000017206
oryzias_melastigma ENSOMEG00000016863
hippocampus_comes ENSHCOG00000014531
periophthalmus_magnuspinnatus ENSPMGG00000011330
gadus_morhua ENSGMOG00000011764
hucho_hucho ENSHHUG00000039628
hucho_hucho ENSHHUG00000039494
esox_lucius ENSELUG00000003711
paramormyrops_kingsleyae ENSPKIG00000024559
scleropages_formosus ENSSFOG00015007280
lepisosteus_oculatus ENSLOCG00000002066
erpetoichthys_calabaricus ENSECRG00000012519
