ornithorhynchus_anatinus ENSOANG00000005472
choloepus_hoffmanni ENSCHOG00000007406
loxodonta_africana ENSLAFG00000020650
procavia_capensis ENSPCAG00000008756
pteropus_vampyrus ENSPVAG00000006836
myotis_lucifugus ENSMLUG00000029093
ursus_americanus ENSUAMG00000007584
ursus_maritimus ENSUMAG00000002744
ailuropoda_melanoleuca ENSAMEG00000011086
mustela_putorius_furo ENSMPUG00000009021
neovison_vison ENSNVIG00000019955
canis_lupus_dingo ENSCAFG00020003204
canis_lupus_familiaris ENSCAFG00000006460
vulpes_vulpes ENSVVUG00000025437
panthera_pardus ENSPPRG00000003430
panthera_tigris_altaica ENSPTIG00000016170
felis_catus ENSFCAG00000019232
capra_hircus ENSCHIG00000017604
ovis_aries ENSOARG00000004955
bos_taurus ENSBTAG00000011425
bos_mutus ENSBMUG00000020156
bison_bison_bison ENSBBBG00000019230
tursiops_truncatus ENSTTRG00000011938
sus_scrofa ENSSSCG00000007166
vicugna_pacos ENSVPAG00000002303
equus_caballus ENSECAG00000010855
equus_asinus_asinus ENSEASG00005013026
amphiprion_ocellaris ENSAOCG00000006999
amphiprion_percula ENSAPEG00000002098
acanthochromis_polyacanthus ENSAPOG00000002959
stegastes_partitus ENSSPAG00000019390
mastacembelus_armatus ENSMAMG00000019408
seriola_dumerili ENSSDUG00000022246
seriola_lalandi_dorsalis ENSSLDG00000017270
scophthalmus_maximus ENSSMAG00000010022
hippocampus_comes ENSHCOG00000013610
gasterosteus_aculeatus ENSGACG00000009034
labrus_bergylta ENSLBEG00000027440
anabas_testudineus ENSATEG00000023555
monopterus_albus ENSMALG00000002634
tetraodon_nigroviridis ENSTNIG00000002768
takifugu_rubripes ENSTRUG00000014770
mola_mola ENSMMOG00000012623
gambusia_affinis ENSGAFG00000020537
xiphophorus_maculatus ENSXMAG00000002115
poecilia_formosa ENSPFOG00000010761
poecilia_latipinna ENSPLAG00000010934
poecilia_mexicana ENSPMEG00000017687
poecilia_reticulata ENSPREG00000019826
fundulus_heteroclitus ENSFHEG00000022734
cyprinodon_variegatus ENSCVAG00000007295
kryptolebias_marmoratus ENSKMAG00000018837
oryzias_latipes ENSORLG00000008471
oryzias_latipes_asm223469v1 ENSORLG00015004851
oryzias_latipes ENSORLG00020009345
oryzias_melastigma ENSOMEG00000002810
haplochromis_burtoni ENSHBUG00000020948
pundamilia_nyererei ENSPNYG00000002948
astatotilapia_calliptera ENSACLG00000012774
maylandia_zebra ENSMZEG00005026844
oreochromis_niloticus ENSONIG00000020372
neolamprologus_brichardi ENSNBRG00000019114
amphilophus_citrinellus ENSACIG00000003524
cynoglossus_semilaevis ENSCSEG00000017739
periophthalmus_magnuspinnatus ENSPMGG00000016121
gadus_morhua ENSGMOG00000009009
esox_lucius ENSELUG00000010729
astyanax_mexicanus ENSAMXG00000014133
pygocentrus_nattereri ENSPNAG00000016040
ictalurus_punctatus ENSIPUG00000005987
danio_rerio ENSDARG00000001769
scleropages_formosus ENSSFOG00015008326
paramormyrops_kingsleyae ENSPKIG00000019404
paramormyrops_kingsleyae ENSPKIG00000016431
lepisosteus_oculatus ENSLOCG00000001040
petromyzon_marinus ENSPMAG00000005714
eptatretus_burgeri ENSEBUG00000006982
petromyzon_marinus ENSPMAG00000007379
