seriola_lalandi ENSSLDG00000013858
paramormyrops_kingsleyae ENSPKIG00000009397
scleropages_formosus ENSSFOG00015017121
lepisosteus_oculatus ENSLOCG00000007357
erpetoichthys_calabaricus ENSECRG00000005659
latimeria_chalumnae ENSLACG00000010030
callorhinchus_milii ENSCMIG00000005214
taeniopygia_guttata ENSTGUG00000001048
lonchura_striata ENSLSDG00000001883
serinus_canaria ENSSCAG00000008898
parus_major ENSPMJG00000005965
cyanistes_caeruleus ENSCCEG00000014210
junco_hyemalis ENSJHYG00000008307
zonotrichia_albicollis ENSZALG00000015859
ficedula_albicollis ENSFALG00000007132
lepidothrix_coronata ENSLCOG00000010505
manacus_vitellinus ENSMVIG00005007258
melopsittacus_undulatus ENSMUNG00000006955
calidris_pygmaea ENSCPGG00000008209
calidris_pugnax ENSCPUG00000019260
anser_brachyrhynchus ENSABRG00000001804
anas_platyrhynchos ENSAPLG00000008962
meleagris_gallopavo ENSMGAG00000006525
coturnix_japonica ENSCJPG00005003710
gallus_gallus ENSGALG00000007351
numida_meleagris ENSNMEG00000008848
apteryx_owenii ENSAOWG00000018634
apteryx_haastii ENSAHAG00000018333
apteryx_rowi ENSARWG00000004202
dromaius_novaehollandiae ENSDNVG00000005412
nothoprocta_perdicaria ENSNPEG00000004815
crocodylus_porosus ENSCPRG00005007911
chelonoidis_abingdonii ENSCABG00000002151
gopherus_agassizii ENSGAGG00000009671
chrysemys_picta ENSCPBG00000015871
pelodiscus_sinensis ENSPSIG00000015809
anolis_carolinensis ENSACAG00000007513
pogona_vitticeps ENSPVIG00000023537
notechis_scutatus ENSNSUG00000001838
salvator_merianae ENSSMRG00000014244
sphenodon_punctatus ENSSPUG00000017558
vombatus_ursinus ENSVURG00010024344
phascolarctos_cinereus ENSPCIG00000018263
notamacropus_eugenii ENSMEUG00000007690
sarcophilus_harrisii ENSSHAG00000001222
monodelphis_domestica ENSMODG00000007924
pan_troglodytes ENSPTRG00000033794
pan_paniscus ENSPPAG00000038626
gorilla_gorilla ENSGGOG00000009335
homo_sapiens ENSG00000107951
pongo_abelii ENSPPYG00000002184
nomascus_leucogenys ENSNLEG00000017059
mandrillus_leucophaeus ENSMLEG00000043590
cercocebus_atys ENSCATG00000035677
theropithecus_gelada ENSTGEG00000027923
papio_anubis ENSPANG00000022927
macaca_mulatta ENSMMUG00000003001
macaca_fascicularis ENSMFAG00000036179
macaca_nemestrina ENSMNEG00000039635
chlorocebus_sabaeus ENSCSAG00000011662
piliocolobus_tephrosceles ENSPTEG00000022582
colobus_angolensis ENSCANG00000035641
rhinopithecus_roxellana ENSRROG00000033147
rhinopithecus_bieti ENSRBIG00000038102
cebus_capucinus ENSCCAG00000031189
saimiri_boliviensis ENSSBOG00000034390
aotus_nancymaae ENSANAG00000028210
callithrix_jacchus ENSCJAG00000013270
aotus_nancymaae ENSANAG00000030321
carlito_syrichta ENSTSYG00000010888
microcebus_murinus ENSMICG00000026621
prolemur_simus ENSPSMG00000024820
propithecus_coquereli ENSPCOG00000025431
otolemur_garnettii ENSOGAG00000005417
castor_canadensis ENSCCNG00000004447
dipodomys_ordii ENSDORG00000008425
mus_spretus MGP_SPRETEiJ_G0022885
mus_spicilegus ENSMSIG00000021163
mus_musculus ENSMUSG00000024234
mus_caroli MGP_CAROLIEiJ_G0021969
mus_pahari MGP_PahariEiJ_G0018707
rattus_norvegicus ENSRNOG00000016578
meriones_unguiculatus ENSMUGG00000021081
cricetulus_griseus ENSCGRG00001017262
cricetulus_griseus ENSCGRG00000005450
cricetulus_griseus ENSCGRG00015026209
cricetulus_griseus ENSCGRG00001001905
cricetulus_griseus ENSCGRG00015021089
cricetulus_griseus ENSCGRG00000006147
mesocricetus_auratus ENSMAUG00000006874
cricetulus_griseus ENSCGRG00015021094
microtus_ochrogaster ENSMOCG00000002437
peromyscus_maniculatus ENSPEMG00000019906
nannospalax_galili ENSNGAG00000017051
jaculus_jaculus ENSJJAG00000023931
heterocephalus_glaber ENSHGLG00000016439
heterocephalus_glaber ENSHGLG00100012930
fukomys_damarensis ENSFDAG00000013934
cavia_aperea ENSCAPG00000008656
cavia_porcellus ENSCPOG00000004018
octodon_degus ENSODEG00000003767
chinchilla_lanigera ENSCLAG00000006536
urocitellus_parryii ENSUPAG00010002895
ictidomys_tridecemlineatus ENSSTOG00000000734
spermophilus_dauricus ENSSDAG00000005344
marmota_marmota ENSMMMG00000023380
oryctolagus_cuniculus ENSOCUG00000007276
tupaia_belangeri ENSTBEG00000006583
myotis_lucifugus ENSMLUG00000000214
pteropus_vampyrus ENSPVAG00000007804
equus_caballus ENSECAG00000000001
equus_asinus ENSEASG00005007214
ursus_maritimus ENSUMAG00000015907
ursus_americanus ENSUAMG00000011155
ailuropoda_melanoleuca ENSAMEG00000017072
neovison_vison ENSNVIG00000013331
mustela_putorius ENSMPUG00000016413
canis_lupus ENSCAFG00020026734
canis_lupus ENSCAFG00000003984
vulpes_vulpes ENSVVUG00000002094
panthera_pardus ENSPPRG00000015326
panthera_tigris ENSPTIG00000011190
felis_catus ENSFCAG00000019348
sus_scrofa ENSSSCG00000011018
vicugna_pacos ENSVPAG00000002130
capra_hircus ENSCHIG00000025725
ovis_aries ENSOARG00000014807
bos_indicus ENSBIXG00000018370
bos_indicus ENSBIXG00005029152
bos_taurus ENSBTAG00000004387
bos_mutus ENSBMUG00000009960
bison_bison ENSBBBG00000002348
tursiops_truncatus ENSTTRG00000016657
erinaceus_europaeus ENSEEUG00000008652
choloepus_hoffmanni ENSCHOG00000009091
dasypus_novemcinctus ENSDNOG00000041149
loxodonta_africana ENSLAFG00000013452
echinops_telfairi ENSETEG00000008496
ornithorhynchus_anatinus ENSOANG00000006046
xenopus_tropicalis ENSXETG00000010308
petromyzon_marinus ENSPMAG00000004563
eptatretus_burgeri ENSEBUG00000005514
drosophila_melanogaster FBgn0024360
