ENSATET00000018583 ENSATEG00000012718
ENSDART00000170187 ENSDARG00000105019
ENSDART00000168605 ENSDARG00000101245
ENSDART00000129731 ENSDARG00000101245
ENSDART00000189413 ENSDARG00000090366
ENSDART00000150868 ENSDARG00000090366
ENSDART00000150403 ENSDARG00000091477
ENSDART00000182141 ENSDARG00000091477
ENSDART00000131561 ENSDARG00000095149
ENSDART00000152116 ENSDARG00000095149
ENSDART00000189450 ENSDARG00000111831
ENSDART00000150879 ENSDARG00000112874
ENSDART00000168900 ENSDARG00000098987
ENSDART00000150797 ENSDARG00000095993
ENSDART00000150773 ENSDARG00000096226
ENSDART00000164760 ENSDARG00000104124
ENSDART00000170257 ENSDARG00000099048
ENSDART00000164919 ENSDARG00000099736
ENSDART00000168009 ENSDARG00000115655
ENSDART00000170595 ENSDARG00000115655
ENSDART00000159365 ENSDARG00000098430
ENSDART00000163356 ENSDARG00000098430
ENSDART00000160601 ENSDARG00000099346
ENSDART00000166513 ENSDARG00000099346
ENSDART00000160761 ENSDARG00000099346
ENSDART00000142868 ENSDARG00000095605
ENSDART00000179895 ENSDARG00000114947
ENSDART00000168915 ENSDARG00000101327
ENSDART00000157665 ENSDARG00000101327
ENSDART00000170406 ENSDARG00000098196
ENSDART00000110358 ENSDARG00000074009
ENSDART00000151846 ENSDARG00000112103
ENSDART00000164388 ENSDARG00000112103
ENSDART00000169440 ENSDARG00000114793
ENSDART00000169434 ENSDARG00000103721
ENSDART00000159401 ENSDARG00000100761
ENSDART00000109624 ENSDARG00000113808
ENSDART00000165113 ENSDARG00000113808
ENSDART00000158527 ENSDARG00000111550
ENSDART00000160969 ENSDARG00000111550
ENSDART00000124106 ENSDARG00000102008
ENSDART00000164151 ENSDARG00000102008
ENSDART00000158835 ENSDARG00000102008
ENSDART00000158655 ENSDARG00000102561
ENSDART00000111083 ENSDARG00000076252
ENSDART00000150445 ENSDARG00000076252
ENSDART00000176728 ENSDARG00000109802
ENSDART00000164911 ENSDARG00000104335
ENSDART00000165777 ENSDARG00000105058
ENSDART00000168844 ENSDARG00000103527
ENSDART00000170096 ENSDARG00000104262
ENSDART00000161731 ENSDARG00000104262
ENSDART00000158757 ENSDARG00000110769
ENSDART00000189919 ENSDARG00000110769
ENSDART00000141847 ENSDARG00000093865
ENSDART00000166637 ENSDARG00000112126
ENSDART00000152091 ENSDARG00000109864
ENSDART00000187781 ENSDARG00000109864
ENSDART00000162154 ENSDARG00000100502
ENSDART00000150394 ENSDARG00000115506
ENSDART00000185041 ENSDARG00000115506
ENSDART00000170059 ENSDARG00000112586
ENSDART00000184455 ENSDARG00000112586
ENSDART00000114649 ENSDARG00000109327
ENSDART00000168878 ENSDARG00000091994
ENSDART00000193818 ENSDARG00000091994
ENSDART00000162510 ENSDARG00000102600
ENSDART00000143244 ENSDARG00000092938
ENSDART00000161148 ENSDARG00000098986
ENSDART00000167619 ENSDARG00000104407
ENSDART00000121652 ENSDARG00000098389
ENSDART00000157986 ENSDARG00000100652
ENSDART00000131672 ENSDARG00000100652
ENSDART00000150261 ENSDARG00000096141
ENSDART00000174312 ENSDARG00000099945
ENSDART00000150837 ENSDARG00000054957
ENSDART00000150704 ENSDARG00000096120
ENSDART00000182966 ENSDARG00000096120
ENSDART00000125726 ENSDARG00000091393
ENSDART00000178817 ENSDARG00000103244
ENSDART00000108669 ENSDARG00000073708
ENSDART00000113546 ENSDARG00000073708
ENSDART00000159619 ENSDARG00000094551
ENSDART00000130499 ENSDARG00000094551
ENSDART00000170308 ENSDARG00000101193
ENSDART00000159313 ENSDARG00000102154
ENSDART00000150546 ENSDARG00000094612
ENSDART00000136328 ENSDARG00000094612
ENSDART00000174271 ENSDARG00000096001
ENSDART00000150450 ENSDARG00000096001
ENSDART00000174393 ENSDARG00000096001
ENSDART00000156324 ENSDARG00000097152
ENSDART00000153549 ENSDARG00000098032
ENSDART00000046783 ENSDARG00000032285
ENSDART00000158174 ENSDARG00000032285
ENSDART00000153874 ENSDARG00000108987
ENSDART00000154306 ENSDARG00000097657
ENSDART00000154918 ENSDARG00000111799
ENSDART00000155533 ENSDARG00000096948
ENSDART00000155594 ENSDARG00000087249
ENSDART00000157492 ENSDARG00000087249
ENSDART00000157279 ENSDARG00000097180
ENSDART00000188131 ENSDARG00000097180
ENSDART00000177867 ENSDARG00000097180
ENSDART00000179821 ENSDARG00000097180
ENSDART00000183199 ENSDARG00000102665
ENSDART00000179687 ENSDARG00000102665
ENSDART00000186515 ENSDARG00000102665
ENSDART00000168431 ENSDARG00000102665
ENSDART00000169138 ENSDARG00000104885
ENSDART00000110261 ENSDARG00000075417
ENSDART00000174020 ENSDARG00000102679
ENSDART00000184821 ENSDARG00000102679
ENSDART00000156007 ENSDARG00000098031
ENSDART00000106253 ENSDARG00000089715
ENSDART00000171545 ENSDARG00000097086
ENSDART00000153679 ENSDARG00000097086
ENSDART00000183653 ENSDARG00000099245
ENSDART00000168391 ENSDARG00000099245
ENSDART00000156624 ENSDARG00000097442
ENSDART00000155070 ENSDARG00000097215
ENSDART00000154142 ENSDARG00000097215
ENSDART00000111941 ENSDARG00000076442
ENSDART00000190346 ENSDARG00000076442
ENSDART00000158194 ENSDARG00000103865
ENSDART00000174158 ENSDARG00000105696
ENSDART00000075770 ENSDARG00000053695
ENSDART00000182529 ENSDARG00000113971
ENSDART00000082083 ENSDARG00000074146
ENSDART00000082086 ENSDARG00000074146
ENSFHET00000027096 ENSFHEG00000020010
ENSGAFT00000027425 ENSGAFG00000018344
ENSGAFT00000027431 ENSGAFG00000018344
ENSPMET00000022063 ENSPMEG00000016526
ENSXMAT00000040147 ENSXMAG00000026457
ENSXMAT00000031068 ENSXMAG00000026457
ENSCVAT00000006341 ENSCVAG00000007044
ENSAOCT00000002623 ENSAOCG00000011367
ENSATET00000020251 ENSATEG00000013889
ENSATET00000020258 ENSATEG00000013889
ENSATET00000020268 ENSATEG00000013889
ENSATET00000020292 ENSATEG00000013889
ENSATET00000020304 ENSATEG00000013889
ENSDART00000160218 ENSDARG00000089142
ENSDART00000110144 ENSDARG00000089142
ENSCVAT00000016727 ENSCVAG00000012211
ENSPFOT00000021890 ENSPFOG00000014856
ENSORLT00000026862 ENSORLG00000024194
ENSPRET00000005543 ENSPREG00000003816
ENSACLT00000039627 ENSACLG00000026130
ENSMZET00005008815 ENSMZEG00005006464
ENSPLAT00000015866 ENSPLAG00000001674
ENSPMET00000018203 ENSPMEG00000013200
ENSPFOT00000022921 ENSPFOG00000005998
ENSGAFT00000020675 ENSGAFG00000013839
ENSGAFT00000020678 ENSGAFG00000013839
ENSXMAT00000022342 ENSXMAG00000021195
ENSFHET00000032572 ENSFHEG00000015400
ENSOMET00000008311 ENSOMEG00000005928
ENSOMET00000008324 ENSOMEG00000005928
