ENSCSAVP00000007273	ENSCSAVG00000004343	Ciona_savignyi	ENSCSAVT00000007367
ENSCINP00000027831	ENSCING00000015867	Ciona_intestinalis	ENSCINT00000028077
ENSMMOP00000002301	ENSMMOG00000001880	Mola_mola
ENSAMXP00005013671	ENSAMXG00005006716	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000007666	ENSAMXG00000007459	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000010298	ENSPNAG00000015864	Pygocentrus_nattereri
ENSIPUP00000034187	ENSIPUG00000022963	Ictalurus_punctatus
ENSEEEP00000009410	ENSEEEG00000004778	Electrophorus_electricus
ENSDARP00000025718	ENSDARG00000003235	Danio_rerio
ENSCHAP00000024896	ENSCHAG00000012022	Clupea_harengus
ENSSFOP00015004291	ENSSFOG00015002786	Scleropages_formosus
ENSPKIP00000042013	ENSPKIG00000018374	Paramormyrops_kingsleyae
ENSLOCP00000002784	ENSLOCG00000002368	Lepisosteus_oculatus
ENSECRP00000011488	ENSECRG00000007645	Erpetoichthys_calabaricus
ENSPVIP00000031768	ENSPVIG00000023351	Pogona_vitticeps
ENSACAP00000015171	ENSACAG00000015448	Anolis_carolinensis
ENSNSUP00000011618	ENSNSUG00000008137	Notechis_scutatus
ENSSMRP00000022992	ENSSMRG00000017576	Salvator_merianae
ENSSPUP00000013675	ENSSPUG00000010536	Sphenodon_punctatus
ENSAHAP00000008437	ENSAHAG00000006069	Apteryx_haastii
ENSAOWP00000026462	ENSAOWG00000017662	Apteryx_owenii
ENSARWP00000008486	ENSARWG00000005185	Apteryx_rowi
ENSDNVP00000009564	ENSDNVG00000006717	Dromaius_novaehollandiae
ENSNPEP00000002042	ENSNPEG00000001566	Nothoprocta_perdicaria
ENSCPGP00000026964	ENSCPGG00000018571	Calidris_pygmaea
ENSCPUP00000009492	ENSCPUG00000006410	Calidris_pugnax
ENSMUNP00000013050	ENSMUNG00000010077	Melopsittacus_undulatus
ENSTGUP00000004423	ENSTGUG00000004266	Taeniopygia_guttata
ENSTGUP00000015327	ENSTGUG00000014960	Taeniopygia_guttata
ENSLSDP00000016303	ENSLSDG00000011704	Lonchura_striata_domestica
ENSSCAP00000007747	ENSSCAG00000005922	Serinus_canaria
ENSJHYP00000019598	ENSJHYG00000014263	Junco_hyemalis
ENSZALP00000013148	ENSZALG00000010551	Zonotrichia_albicollis
ENSFALP00000010194	ENSFALG00000009775	Ficedula_albicollis
ENSPMJP00000025915	ENSPMJG00000018953	Parus_major
ENSCCEP00000004227	ENSCCEG00000003825	Cyanistes_caeruleus
ENSLCOP00000008591	ENSLCOG00000006276	Lepidothrix_coronata
ENSMVIP00005013670	ENSMVIG00005009819	Manacus_vitellinus
ENSABRP00000011551	ENSABRG00000010352	Anser_brachyrhynchus
ENSAPLP00000015715	ENSAPLG00000015794	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000002952	ENSMGAG00000003183	Meleagris_gallopavo
ENSCJPP00005010764	ENSCJPG00005009319	Coturnix_japonica
ENSGALP00000056538	ENSGALG00000032280	Gallus_gallus
ENSNMEP00000016640	ENSNMEG00000014587	Numida_meleagris
ENSCPRP00005008731	ENSCPRG00005006247	Crocodylus_porosus
ENSGAGP00000018133	ENSGAGG00000013434	Gopherus_agassizii
ENSCABP00000015106	ENSCABG00000011290	Chelonoidis_abingdonii
ENSCPBP00000040348	ENSCPBG00000027744	Chrysemys_picta_bellii
ENSPSIP00000007413	ENSPSIG00000006546	Pelodiscus_sinensis
ENSPPAP00000012658	ENSPPAG00000029496	Pan_paniscus
ENSPTRP00000014727	ENSPTRG00000008629	Pan_troglodytes
ENSP00000458954	ENSG00000108559	Homo_sapiens
ENSGGOP00000033542	ENSGGOG00000002734	Gorilla_gorilla
ENSPPYP00000008857	ENSPPYG00000007867	Pongo_abelii
ENSNLEP00000011018	ENSNLEG00000009043	Nomascus_leucogenys
ENSTGEP00000025451	ENSTGEG00000020498	Theropithecus_gelada
ENSPANP00000021883	ENSPANG00000024295	Papio_anubis
ENSMFAP00000031917	ENSMFAG00000036967	Macaca_fascicularis
ENSMMUP00000013714	ENSMMUG00000010467	Macaca_mulatta
ENSMNEP00000034324	ENSMNEG00000040349	Macaca_nemestrina
ENSMLEP00000032761	ENSMLEG00000040540	Mandrillus_leucophaeus
ENSCATP00000022871	ENSCATG00000035026	Cercocebus_atys
ENSCSAP00000008997	ENSCSAG00000012818	Chlorocebus_sabaeus
ENSRBIP00000039603	ENSRBIG00000043260	Rhinopithecus_bieti
ENSRROP00000040712	ENSRROG00000043571	Rhinopithecus_roxellana
ENSPTEP00000019007	ENSPTEG00000020389	Piliocolobus_tephrosceles
ENSCANP00000023318	ENSCANG00000035064	Colobus_angolensis_palliatus
ENSSBOP00000033089	ENSSBOG00000032719	Saimiri_boliviensis_boliviensis
ENSCCAP00000015358	ENSCCAG00000025459	Cebus_capucinus_imitator
ENSCJAP00000021044	ENSCJAG00000011424	Callithrix_jacchus
ENSANAP00000030017	ENSANAG00000032703	Aotus_nancymaae
ENSTSYP00000004960	ENSTSYG00000005391	Carlito_syrichta
ENSMICP00000011552	ENSMICG00000012678	Microcebus_murinus
ENSPCOP00000007360	ENSPCOG00000014919	Propithecus_coquereli
ENSPSMP00000028841	ENSPSMG00000020024	Prolemur_simus
ENSOGAP00000001431	ENSOGAG00000001608	Otolemur_garnettii
ENSTBEP00000005218	ENSTBEG00000006037	Tupaia_belangeri
ENSCLAP00000018835	ENSCLAG00000012899	Chinchilla_lanigera
ENSODEP00000023292	ENSODEG00000017074	Octodon_degus
ENSCPOP00000003310	ENSCPOG00000003668	Cavia_porcellus
ENSCAPP00000005611	ENSCAPG00000007885	Cavia_aperea
ENSHGLP00000008035	ENSHGLG00000005819	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001083	ENSHGLG00100000868	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026950	ENSHGLG00000019166	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002111	ENSHGLG00100001648	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017997	ENSHGLG00000012891	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023416	ENSHGLG00100017212	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022650	ENSFDAG00000020992	Fukomys_damarensis
ENSUPAP00010024438	ENSUPAG00010019368	Urocitellus_parryii
ENSSDAP00000003346	ENSSDAG00000003131	Spermophilus_dauricus
ENSSTOP00000002904	ENSSTOG00000003253	Ictidomys_tridecemlineatus
ENSMMMP00000021017	ENSMMMG00000018531	Marmota_marmota_marmota
ENSCCNP00000000957	ENSCCNG00000001004	Castor_canadensis
ENSDORP00000007001	ENSDORG00000007462	Dipodomys_ordii
ENSCGRP00001010487	ENSCGRG00001012336	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015004483	ENSCGRG00015003438	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012878	ENSCGRG00000009377	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000024633	ENSMAUG00000021416	Mesocricetus_auratus
ENSPEMP00000033288	ENSPEMG00000011563	Peromyscus_maniculatus_bairdii
ENSMOCP00000004222	ENSMOCG00000003415	Microtus_ochrogaster
ENSMSIP00000028965	ENSMSIG00000024246	Mus_spicilegus
ENSMUSP00000048101	ENSMUSG00000040667	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0029323	MGP_SPRETEiJ_G0017490	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0027942	MGP_CAROLIEiJ_G0016654	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034684	MGP_PahariEiJ_G0017785	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009015	ENSRNOG00000006126	Rattus_norvegicus
ENSMUGP00000007301	ENSMUGG00000006650	Meriones_unguiculatus
ENSNGAP00000009361	ENSNGAG00000011975	Nannospalax_galili
ENSJJAP00000020732	ENSJJAG00000021285	Jaculus_jaculus
ENSPVAP00000002325	ENSPVAG00000002460	Pteropus_vampyrus
ENSMLUP00000013117	ENSMLUG00000014421	Myotis_lucifugus
ENSEEUP00000006525	ENSEEUG00000007102	Erinaceus_europaeus
ENSSARP00000008817	ENSSARG00000009746	Sorex_araneus
ENSOARP00000003937	ENSOARG00000003688	Ovis_aries
ENSCHIP00000027420	ENSCHIG00000023339	Capra_hircus
ENSBIXP00005004274	ENSBIXG00005010261	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032223	ENSBIXG00000014730	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000001625	ENSBTAG00000011507	Bos_taurus
ENSBMUP00000007469	ENSBMUG00000005873	Bos_mutus
ENSBBBP00000020193	ENSBBBG00000008743	Bison_bison_bison
ENSCHIP00000003851	ENSCHIG00000007985	Capra_hircus
ENSTTRP00000013979	ENSTTRG00000014740	Tursiops_truncatus
ENSSSCP00000033677	ENSSSCG00000033706	Sus_scrofa_strain_reference
ENSVPAP00000011643	ENSVPAG00000012524	Vicugna_pacos
ENSEASP00005022488	ENSEASG00005015366	Equus_asinus_asinus
ENSECAP00000010975	ENSECAG00000012800	Equus_caballus
ENSDNOP00000006856	ENSDNOG00000008839	Dasypus_novemcinctus
ENSCHOP00000007683	ENSCHOG00000008678	Choloepus_hoffmanni
ENSLAFP00000017025	ENSLAFG00000023359	Loxodonta_africana
ENSPCAP00000005601	ENSPCAG00000005979	Procavia_capensis
ENSOCUP00000004142	ENSOCUG00000004787	Oryctolagus_cuniculus
ENSOPRP00000011976	ENSOPRG00000013112	Ochotona_princeps
ENSUMAP00000018070	ENSUMAG00000013246	Ursus_maritimus
ENSUAMP00000015163	ENSUAMG00000012176	Ursus_americanus
ENSAMEP00000006446	ENSAMEG00000006054	Ailuropoda_melanoleuca
ENSNVIP00000024544	ENSNVIG00000019029	Neovison_vison
ENSMPUP00000011000	ENSMPUG00000011090	Mustela_putorius_furo
ENSPPRP00000020785	ENSPPRG00000011767	Panthera_pardus
ENSPTIP00000014730	ENSPTIG00000014063	Panthera_tigris_altaica
ENSFCAP00000021998	ENSFCAG00000025780	Felis_catus
ENSCAFP00020020864	ENSCAFG00020016511	Canis_lupus_dingo
ENSCAFP00000050306	ENSCAFG00000015552	Canis_lupus_familiaris
ENSVVUP00000038454	ENSVVUG00000027428	Vulpes_vulpes
ENSVURP00010032407	ENSVURG00010024726	Vombatus_ursinus
ENSPCIP00000026909	ENSPCIG00000020147	Phascolarctos_cinereus
ENSMEUP00000011954	ENSMEUG00000013092	Notamacropus_eugenii
ENSSHAP00000001707	ENSSHAG00000001521	Sarcophilus_harrisii
ENSMODP00000043292	ENSMODG00000040599	Monodelphis_domestica
ENSXETP00000014099	ENSXETG00000000272	Xenopus_tropicalis
ENSOANP00000033178	ENSOANG00000031876	Ornithorhynchus_anatinus
ENSLACP00000020753	ENSLACG00000018231	Latimeria_chalumnae
ENSCMIP00000026082	ENSCMIG00000011443	Callorhinchus_milii
ENSEBUP00000019651	ENSEBUG00000012200	Eptatretus_burgeri
ENSPMAP00000009917	ENSPMAG00000009007	Petromyzon_marinus
FBpp0082137	FBgn0026207	Drosophila_melanogaster
