ENSZALP00000020391	ENSZALG00000016047	Zonotrichia_albicollis
ENSANAP00000003528	ENSANAG00000019728	Aotus_nancymaae
ENSCHIP00000007585	ENSCHIG00000011047	Capra_hircus
FBpp0073625	FBgn0010198	Drosophila_melanogaster
ENSOGAP00000020904	ENSOGAG00000026090	Otolemur_garnettii
ENSPPRP00000018086	ENSPPRG00000009845	Panthera_pardus
ENSVURP00010018300	ENSVURG00010013966	Vombatus_ursinus
ENSCSAP00000004845	ENSCSAG00000008585	Chlorocebus_sabaeus
ENSCCAP00000000701	ENSCCAG00000004235	Cebus_capucinus_imitator
ENSCJPP00005018818	ENSCJPG00005015285	Coturnix_japonica	ENSCJPT00005026094
ENSDNOP00000031984	ENSDNOG00000048984	Dasypus_novemcinctus
ENSOGAP00000011825	ENSOGAG00000013199	Otolemur_garnettii
ENSBTAP00000027627	ENSBTAG00000020733	Bos_taurus
ENSGGOP00000039638	ENSGGOG00000024417	Gorilla_gorilla
ENSCGRP00001002819	ENSCGRG00001003235	Cricetulus_griseus_CHOK1GS_HDv1
ENSRBIP00000035691	ENSRBIG00000041480	Rhinopithecus_bieti
ENSMODP00000046070	ENSMODG00000037352	Monodelphis_domestica
ENSPTEP00000018420	ENSPTEG00000019858	Piliocolobus_tephrosceles
ENSLSDP00000006865	ENSLSDG00000005184	Lonchura_striata_domestica
ENSCGRP00000001330	ENSCGRG00000001024	Cricetulus_griseus_CriGri_1.0
ENSCLAP00000022271	ENSCLAG00000015274	Chinchilla_lanigera
ENSDORP00000017132	ENSDORG00000028496	Dipodomys_ordii
ENSBBBP00000025973	ENSBBBG00000005727	Bison_bison_bison
ENSGMOP00000021919	ENSGMOG00000020432	Gadus_morhua
ENSMNEP00000037475	ENSMNEG00000041822	Macaca_nemestrina
ENSDNOP00000030419	ENSDNOG00000039641	Dasypus_novemcinctus
ENSAMEP00000011660	ENSAMEG00000011083	Ailuropoda_melanoleuca
ENSRROP00000001190	ENSRROG00000004596	Rhinopithecus_roxellana
ENSBTAP00000047540	ENSBTAG00000037600	Bos_taurus
ENSBMUP00000012402	ENSBMUG00000009503	Bos_mutus
ENSNSUP00000004082	ENSNSUG00000003261	Notechis_scutatus
ENSMPUP00000018335	ENSMPUG00000018453	Mustela_putorius_furo
ENSLACP00000013024	ENSLACG00000011476	Latimeria_chalumnae
ENSUMAP00000023397	ENSUMAG00000017033	Ursus_maritimus
ENSPMAP00000010392	ENSPMAG00000009448	Petromyzon_marinus
ENSMLUP00000005171	ENSMLUG00000005660	Myotis_lucifugus
ENSMICP00000043760	ENSMICG00000046493	Microcebus_murinus
ENSNVIP00000008098	ENSNVIG00000006431	Neovison_vison
ENSCPBP00000013751	ENSCPBG00000010260	Chrysemys_picta_bellii
ENSPEMP00000018264	ENSPEMG00000016922	Peromyscus_maniculatus_bairdii
ENSSBOP00000015396	ENSSBOG00000024424	Saimiri_boliviensis_boliviensis
ENSNMEP00000023905	ENSNMEG00000020331	Numida_meleagris	ENSNMET00000034861
ENSCPGP00000024681	ENSCPGG00000016997	Calidris_pygmaea
ENSBBBP00000004225	ENSBBBG00000013152	Bison_bison_bison
ENSHBUP00000018742	ENSHBUG00000020846	Haplochromis_burtoni
ENSPPAP00000017856	ENSPPAG00000032047	Pan_paniscus
ENSSBOP00000004512	ENSSBOG00000018894	Saimiri_boliviensis_boliviensis
ENSPREP00000000664	ENSPREG00000000494	Poecilia_reticulata
ENSLBEP00000036454	ENSLBEG00000027283	Labrus_bergylta
ENSANAP00000002235	ENSANAG00000017653	Aotus_nancymaae
ENSOCUP00000016409	ENSOCUG00000021532	Oryctolagus_cuniculus
ENSPSMP00000031245	ENSPSMG00000021673	Prolemur_simus
ENSORLP00015021499	ENSORLG00015022726	Oryzias_latipes_ASM223469v1
ENSHGLP00000024504	ENSHGLG00000017463	Heterocephalus_glaber_HetGla_female_1.0
ENSP00000318646	ENSG00000134419	Homo_sapiens
ENSVURP00010013952	ENSVURG00010010705	Vombatus_ursinus
ENSCHIP00000008853	ENSCHIG00000011903	Capra_hircus
ENSCAPP00000015567	ENSCAPG00000015669	Cavia_aperea
ENSANAP00000007315	ENSANAG00000021730	Aotus_nancymaae
ENSHGLP00000006285	ENSHGLG00000004587	Heterocephalus_glaber_HetGla_female_1.0
ENSBIXP00005034386	ENSBIXG00005015310	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGALP00000066249	ENSGALG00000051431	Gallus_gallus	ENSGALT00000103036
ENSDNOP00000018780	ENSDNOG00000042562	Dasypus_novemcinctus
ENSOGAP00000019028	ENSOGAG00000034783	Otolemur_garnettii
ENSUMAP00000008579	ENSUMAG00000006549	Ursus_maritimus
ENSDORP00000001450	ENSDORG00000001557	Dipodomys_ordii
ENSCGRP00015011683	ENSCGRG00015008976	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000000336	ENSNGAG00000000266	Nannospalax_galili
ENSCPBP00000023403	ENSCPBG00000016721	Chrysemys_picta_bellii
ENSANAP00000002049	ENSANAG00000016813	Aotus_nancymaae
ENSPTIP00000012904	ENSPTIG00000012829	Panthera_tigris_altaica
ENSCINP00000022698	ENSCING00000004330	Ciona_intestinalis
ENSGGOP00000025636	ENSGGOG00000028262	Gorilla_gorilla
ENSPTEP00000020711	ENSPTEG00000021921	Piliocolobus_tephrosceles
ENSSSCP00000040524	ENSSSCG00000034263	Sus_scrofa_strain_reference
ENSCCAP00000002098	ENSCCAG00000013077	Cebus_capucinus_imitator
ENSPANP00000009679	ENSPANG00000006198	Papio_anubis
ENSBMUP00000012958	ENSBMUG00000009890	Bos_mutus
ENSPTRP00000083566	ENSPTRG00000049415	Pan_troglodytes
ENSACIP00000023243	ENSACIG00000018055	Amphilophus_citrinellus
ENSVVUP00000026894	ENSVVUG00000019767	Vulpes_vulpes
ENSCCAP00000000104	ENSCCAG00000000590	Cebus_capucinus_imitator
ENSMODP00000007323	ENSMODG00000005920	Monodelphis_domestica
ENSMUGP00000031783	ENSMUGG00000026411	Meriones_unguiculatus
ENSDARP00000108197	ENSDARG00000010160	Danio_rerio
ENSPANP00000011864	ENSPANG00000014059	Papio_anubis
MGP_SPRETEiJ_P0085130	MGP_SPRETEiJ_G0031475	Mus_spretus_strain_SPRET/EiJ
YJL190C_mRNA	YJL190C	Saccharomyces_cerevisiae_strain_S288C
ENSUAMP00000034955	ENSUAMG00000026556	Ursus_americanus
ENSPSMP00000019326	ENSPSMG00000013629	Prolemur_simus
ENSTBEP00000011791	ENSTBEG00000013626	Tupaia_belangeri
ENSMNEP00000038449	ENSMNEG00000042228	Macaca_nemestrina
ENSFCAP00000021599	ENSFCAG00000024929	Felis_catus
ENSSSCP00000041998	ENSSSCG00000035768	Sus_scrofa_strain_reference
ENSGMOP00000006237	ENSGMOG00000005862	Gadus_morhua
ENSPCIP00000005736	ENSPCIG00000004795	Phascolarctos_cinereus
ENSHGLP00100000383	ENSHGLG00100000322	Heterocephalus_glaber_HetGla_1.0
ENSNGAP00000012452	ENSNGAG00000014312	Nannospalax_galili
ENSPTIP00000011512	ENSPTIG00000011910	Panthera_tigris_altaica
ENSBTAP00000067640	ENSBTAG00000053164	Bos_taurus
ENSHGLP00100028071	ENSHGLG00100021289	Heterocephalus_glaber_HetGla_1.0
ENSCHIP00000013235	ENSCHIG00000014737	Capra_hircus
ENSCGRP00001021484	ENSCGRG00001020325	Cricetulus_griseus_CHOK1GS_HDv1
ENSANAP00000001567	ENSANAG00000013798	Aotus_nancymaae
ENSOGAP00000017114	ENSOGAG00000032882	Otolemur_garnettii
ENSANAP00000001411	ENSANAG00000012447	Aotus_nancymaae
ENSCANP00000032178	ENSCANG00000039758	Colobus_angolensis_palliatus
ENSTSYP00000020726	ENSTSYG00000036117	Carlito_syrichta
ENSMFAP00000016506	ENSMFAG00000031422	Macaca_fascicularis
ENSMNEP00000006144	ENSMNEG00000027016	Macaca_nemestrina
ENSANAP00000003423	ENSANAG00000019658	Aotus_nancymaae
ENSAOWP00000001302	ENSAOWG00000000949	Apteryx_owenii
ENSORLP00000016730	ENSORLG00000013347	Oryzias_latipes_ASM223467v1
ENSANAP00000027652	ENSANAG00000031677	Aotus_nancymaae
ENSFDAP00000015700	ENSFDAG00000003752	Fukomys_damarensis
ENSPTEP00000013262	ENSPTEG00000014871	Piliocolobus_tephrosceles
ENSPCAP00000002734	ENSPCAG00000002934	Procavia_capensis
ENSCCAP00000024431	ENSCCAG00000030013	Cebus_capucinus_imitator
ENSRROP00000001947	ENSRROG00000007894	Rhinopithecus_roxellana
ENSBBBP00000027634	ENSBBBG00000023939	Bison_bison_bison
ENSVURP00010000095	ENSVURG00010000083	Vombatus_ursinus
ENSBIXP00000027380	ENSBIXG00000008206	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSACAP00000011000	ENSACAG00000011242	Anolis_carolinensis
ENSRBIP00000005020	ENSRBIG00000022813	Rhinopithecus_bieti
ENSBMUP00000014831	ENSBMUG00000011272	Bos_mutus
ENSSLDP00000011929	ENSSLDG00000009502	Seriola_lalandi_dorsalis
ENSODEP00000026020	ENSODEG00000019379	Octodon_degus
ENSHHUP00000018648	ENSHHUG00000011619	Hucho_hucho
ENSUAMP00000026054	ENSUAMG00000020228	Ursus_americanus
ENSSBOP00000039995	ENSSBOG00000036001	Saimiri_boliviensis_boliviensis
ENSMOCP00000006130	ENSMOCG00000005710	Microtus_ochrogaster
ENSGWIP00000004318	ENSGWIG00000002317	Gouania_willdenowi
ENSTSYP00000015433	ENSTSYG00000027728	Carlito_syrichta
ENSCCAP00000002357	ENSCCAG00000014439	Cebus_capucinus_imitator
ENSOGAP00000016924	ENSOGAG00000026426	Otolemur_garnettii
ENSUAMP00000008011	ENSUAMG00000006858	Ursus_americanus
ENSPPAP00000016550	ENSPPAG00000031374	Pan_paniscus
ENSPTRP00000060874	ENSPTRG00000038867	Pan_troglodytes
ENSPRNP00000031475	ENSPRNG00000015798	Parambassis_ranga
ENSOCUP00000019080	ENSOCUG00000003545	Oryctolagus_cuniculus
ENSCANP00000012202	ENSCANG00000029478	Colobus_angolensis_palliatus
ENSSMRP00000005133	ENSSMRG00000004211	Salvator_merianae
ENSGAGP00000004182	ENSGAGG00000003458	Gopherus_agassizii
ENSNPEP00000007612	ENSNPEG00000005706	Nothoprocta_perdicaria	ENSNPET00000007807
ENSSPUP00000008759	ENSSPUG00000006814	Sphenodon_punctatus	ENSSPUT00000009341
ENSMUGP00000031299	ENSMUGG00000026024	Meriones_unguiculatus
ENSPTEP00000032200	ENSPTEG00000030989	Piliocolobus_tephrosceles
ENSPMGP00000008912	ENSPMGG00000007370	Periophthalmus_magnuspinnatus
ENSBTAP00000065844	ENSBTAG00000054615	Bos_taurus
ENSPCIP00000005103	ENSPCIG00000004221	Phascolarctos_cinereus
ENSMPUP00000018625	ENSMPUG00000018745	Mustela_putorius_furo
ENSVVUP00000003873	ENSVVUG00000003040	Vulpes_vulpes
ENSNGAP00000010172	ENSNGAG00000012665	Nannospalax_galili
ENSPPYP00000016913	ENSPPYG00000015134	Pongo_abelii
ENSANAP00000002423	ENSANAG00000018353	Aotus_nancymaae
ENSPPYP00000016914	ENSPPYG00000015135	Pongo_abelii
ENSMODP00000037857	ENSMODG00000025360	Monodelphis_domestica
ENSBIXP00000006797	ENSBIXG00000012862	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSTOP00000029436	ENSSTOG00000031361	Ictidomys_tridecemlineatus
ENSMICP00000023480	ENSMICG00000042414	Microcebus_murinus
ENSNGAP00000017267	ENSNGAG00000017746	Nannospalax_galili
ENSCANP00000006928	ENSCANG00000023108	Colobus_angolensis_palliatus
ENSRROP00000010297	ENSRROG00000029556	Rhinopithecus_roxellana
ENSKMAP00000028983	ENSKMAG00000021489	Kryptolebias_marmoratus
ENSTGEP00000029182	ENSTGEG00000023451	Theropithecus_gelada
ENSBIXP00005032100	ENSBIXG00005012526	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMUGP00000022503	ENSMUGG00000018851	Meriones_unguiculatus
ENSVVUP00000030549	ENSVVUG00000022285	Vulpes_vulpes
ENSJJAP00000020502	ENSJJAG00000021154	Jaculus_jaculus
ENSSCAP00000015419	ENSSCAG00000011277	Serinus_canaria	ENSSCAT00000017248
ENSBIXP00005007597	ENSBIXG00005012815	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAFP00020000929	ENSCAFG00020000897	Canis_lupus_dingo
ENSCAFP00020018245	ENSCAFG00020014585	Canis_lupus_dingo
ENSBMUP00000003342	ENSBMUG00000002644	Bos_mutus
ENSTSYP00000026226	ENSTSYG00000027218	Carlito_syrichta
ENSBIXP00000032570	ENSBIXG00000006637	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMLEP00000036857	ENSMLEG00000042523	Mandrillus_leucophaeus
ENSPANP00000001257	ENSPANG00000000336	Papio_anubis
ENSPTRP00000093900	ENSPTRG00000046219	Pan_troglodytes
ENSPPRP00000022446	ENSPPRG00000012958	Panthera_pardus
ENSECAP00000016852	ENSECAG00000019293	Equus_caballus
ENSMPUP00000019905	ENSMPUG00000020036	Mustela_putorius_furo
ENSTSYP00000006962	ENSTSYG00000007627	Carlito_syrichta
ENSPANP00000020979	ENSPANG00000035758	Papio_anubis
ENSBMUP00000002225	ENSBMUG00000001763	Bos_mutus
ENSMAUP00000017781	ENSMAUG00000016548	Mesocricetus_auratus
ENSBIXP00005035909	ENSBIXG00005017218	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPRP00005011630	ENSCPRG00005008277	Crocodylus_porosus
ENSCGRP00015014085	ENSCGRG00015010782	Cricetulus_griseus_CriGri-PICR
ENSPVIP00000016390	ENSPVIG00000012684	Pogona_vitticeps
ENSCAFP00020014682	ENSCAFG00020011867	Canis_lupus_dingo
ENSTGEP00000024806	ENSTGEG00000020040	Theropithecus_gelada
ENSORLP00020020947	ENSORLG00020021961	Oryzias_latipes_ASM223471v1
ENSRROP00000002848	ENSRROG00000011472	Rhinopithecus_roxellana
ENSCANP00000005180	ENSCANG00000017753	Colobus_angolensis_palliatus
ENSEEEP00000020178	ENSEEEG00000009852	Electrophorus_electricus
ENSFDAP00000010963	ENSFDAG00000018601	Fukomys_damarensis
ENSDNOP00000024264	ENSDNOG00000041530	Dasypus_novemcinctus
MGP_CAROLIEiJ_P0081737	MGP_CAROLIEiJ_G0030360	Mus_caroli_strain_CAROLI_EIJ
ENSCAFP00000036054	ENSCAFG00000032283	Canis_lupus_familiaris
ENSCAFP00020025474	ENSCAFG00020020069	Canis_lupus_dingo
ENSCHIP00000001303	ENSCHIG00000002492	Capra_hircus
ENSDNVP00000018103	ENSDNVG00000012652	Dromaius_novaehollandiae
ENSBTAP00000052821	ENSBTAG00000034656	Bos_taurus
ENSCGRP00015000052	ENSCGRG00015000082	Cricetulus_griseus_CriGri-PICR
ENSCATP00000021529	ENSCATG00000034472	Cercocebus_atys
ENSCAFP00020029690	ENSCAFG00020023161	Canis_lupus_dingo
ENSRROP00000006106	ENSRROG00000024533	Rhinopithecus_roxellana
ENSMLEP00000034897	ENSMLEG00000041588	Mandrillus_leucophaeus
ENSCGRP00000026155	ENSCGRG00000019201	Cricetulus_griseus_CriGri_1.0
ENSOMEP00000027587	ENSOMEG00000010138	Oryzias_melastigma
ENSONIP00000023752	ENSONIG00000018863	Oreochromis_niloticus
ENSVVUP00000037856	ENSVVUG00000027060	Vulpes_vulpes
ENSOARP00000001146	ENSOARG00000001105	Ovis_aries
ENSMUNP00000000399	ENSMUNG00000000388	Melopsittacus_undulatus	ENSMUNT00000000470
ENSPTEP00000033194	ENSPTEG00000031754	Piliocolobus_tephrosceles
ENSECAP00000045770	ENSECAG00000031799	Equus_caballus
ENSGAFP00000019507	ENSGAFG00000013177	Gambusia_affinis	ENSGAFT00000019690
ENSCGRP00015009095	ENSCGRG00015007026	Cricetulus_griseus_CriGri-PICR
ENSRNOP00000046737	ENSRNOG00000053756	Rattus_norvegicus
ENSCATP00000014273	ENSCATG00000031189	Cercocebus_atys
ENSCLAP00000025654	ENSCLAG00000017767	Chinchilla_lanigera
ENSCCAP00000003144	ENSCCAG00000017692	Cebus_capucinus_imitator
ENSMSIP00000010940	ENSMSIG00000009595	Mus_spicilegus
ENSFHEP00000014596	ENSFHEG00000016172	Fundulus_heteroclitus
ENSCSEP00000018106	ENSCSEG00000011624	Cynoglossus_semilaevis
ENSCPUP00000000479	ENSCPUG00000000417	Calidris_pugnax
ENSMMMP00000025848	ENSMMMG00000022660	Marmota_marmota_marmota
ENSOCUP00000029191	ENSOCUG00000038635	Oryctolagus_cuniculus
ENSPPYP00000008070	ENSPPYG00000007139	Pongo_abelii
ENSMSIP00000006519	ENSMSIG00000005822	Mus_spicilegus
ENSACAP00000008130	ENSACAG00000008303	Anolis_carolinensis
ENSCANP00000001634	ENSCANG00000006156	Colobus_angolensis_palliatus
ENSCGRP00015020534	ENSCGRG00015015715	Cricetulus_griseus_CriGri-PICR
ENSMAMP00000013316	ENSMAMG00000009028	Mastacembelus_armatus
ENSPANP00000012970	ENSPANG00000017492	Papio_anubis
ENSFCAP00000023938	ENSFCAG00000026408	Felis_catus
ENSBMUP00000033698	ENSBMUG00000025143	Bos_mutus
ENSCGRP00001002290	ENSCGRG00001002440	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000003666	ENSMAUG00000004156	Mesocricetus_auratus
ENSPMEP00000014740	ENSPMEG00000017167	Poecilia_mexicana	ENSPMET00000032718
ENSNGAP00000010037	ENSNGAG00000012563	Nannospalax_galili
ENSPMGP00000022453	ENSPMGG00000018162	Periophthalmus_magnuspinnatus
ENSCAFP00020034438	ENSCAFG00020026719	Canis_lupus_dingo
ENSOARP00000011250	ENSOARG00000010484	Ovis_aries
ENSECRP00000020779	ENSECRG00000013979	Erpetoichthys_calabaricus
ENSVURP00010027429	ENSVURG00010020987	Vombatus_ursinus
ENSBMUP00000008985	ENSBMUG00000007004	Bos_mutus
ENSAMEP00000020619	ENSAMEG00000019550	Ailuropoda_melanoleuca
ENSPFOP00000009750	ENSPFOG00000009775	Poecilia_formosa
ENSMSIP00000012180	ENSMSIG00000010626	Mus_spicilegus
ENSCCNP00000012511	ENSCCNG00000012997	Castor_canadensis
ENSDNOP00000025324	ENSDNOG00000045343	Dasypus_novemcinctus
ENSCHIP00000007722	ENSCHIG00000011137	Capra_hircus
ENSOARP00000001007	ENSOARG00000000975	Ovis_aries
