ENSRNOP00000068120	ENSRNOG00000033527	Rattus_norvegicus
ENSMSIP00000017693	ENSMSIG00000015070	Mus_spicilegus
ENSLOCP00000005680	ENSLOCG00000004730	Lepisosteus_oculatus
ENSABRP00000027517	ENSABRG00000022903	Anser_brachyrhynchus
ENSCHAP00000011045	ENSCHAG00000006243	Clupea_harengus
ENSSHAP00000012577	ENSSHAG00000010767	Sarcophilus_harrisii	ENSSHAT00000012681
ENSPVAP00000013277	ENSPVAG00000014076	Pteropus_vampyrus
ENSMZEP00005026151	ENSMZEG00005019502	Maylandia_zebra
ENSEEUP00000012763	ENSEEUG00000013956	Erinaceus_europaeus
ENSLAFP00000013262	ENSLAFG00000015803	Loxodonta_africana
ENSPCOP00000008631	ENSPCOG00000015609	Propithecus_coquereli
ENSLCRP00005001154	ENSLCRG00005000369	Larimichthys_crocea
ENSAMXP00000034796	ENSAMXG00000009229	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFALP00000005521	ENSFALG00000005308	Ficedula_albicollis
ENSPSIP00000003936	ENSPSIG00000003723	Pelodiscus_sinensis
ENSOARP00000006321	ENSOARG00000005888	Ovis_aries
ENSCPOP00000013821	ENSCPOG00000015335	Cavia_porcellus
ENSPFOP00000019981	ENSPFOG00000019854	Poecilia_formosa
ENSMAUP00000017003	ENSMAUG00000015970	Mesocricetus_auratus
MGP_CAROLIEiJ_P0062676	MGP_CAROLIEiJ_G0026100	Mus_caroli_strain_CAROLI_EIJ
ENSECAP00000020447	ENSECAG00000023026	Equus_caballus
ENSHBUP00000019902	ENSHBUG00000022175	Haplochromis_burtoni
ENSNLEP00000020522	ENSNLEG00000016883	Nomascus_leucogenys
ENSTSYP00000012819	ENSTSYG00000013968	Carlito_syrichta
ENSMLUP00000017301	ENSMLUG00000023977	Myotis_lucifugus
ENSCSAP00000009173	ENSCSAG00000013073	Chlorocebus_sabaeus
ENSAPEP00000022261	ENSAPEG00000015801	Amphiprion_percula
ENSPTIP00000023932	ENSPTIG00000020206	Panthera_tigris_altaica
ENSTNIP00000021921	ENSTNIG00000018742	Tetraodon_nigroviridis
ENSMUNP00000020234	ENSMUNG00000015411	Melopsittacus_undulatus
ENSCVAP00000015091	ENSCVAG00000017894	Cyprinodon_variegatus
ENSSDUP00000032628	ENSSDUG00000023445	Seriola_dumerili
ENSAMEP00000013048	ENSAMEG00000012394	Ailuropoda_melanoleuca
ENSOPRP00000012161	ENSOPRG00000013296	Ochotona_princeps
ENSSMAP00000007635	ENSSMAG00000004665	Scophthalmus_maximus
ENSPLAP00000012747	ENSPLAG00000016180	Poecilia_latipinna
ENSAPOP00000002533	ENSAPOG00000003992	Acanthochromis_polyacanthus
MGP_PahariEiJ_P0077811	MGP_PahariEiJ_G0028438	Mus_pahari_strain_PAHARI_EIJ
ENSTGEP00000034020	ENSTGEG00000027154	Theropithecus_gelada
ENSPTRP00000036386	ENSPTRG00000021296	Pan_troglodytes
ENSLACP00000017927	ENSLACG00000015794	Latimeria_chalumnae
ENSPTEP00000039078	ENSPTEG00000036226	Piliocolobus_tephrosceles
ENSEEEP00000051401	ENSEEEG00000024120	Electrophorus_electricus
ENSCLAP00000013700	ENSCLAG00000009466	Chinchilla_lanigera	ENSCLAT00000013855
ENSCSEP00000029048	ENSCSEG00000018594	Cynoglossus_semilaevis
ENSCHIP00000016891	ENSCHIG00000016958	Capra_hircus
ENSPMEP00000030743	ENSPMEG00000017456	Poecilia_mexicana
ENSCGRP00000007601	ENSCGRG00000005532	Cricetulus_griseus_CriGri_1.0
ENSDARP00000134645	ENSDARG00000101090	Danio_rerio
ENSATEP00000025320	ENSATEG00000017511	Anabas_testudineus
ENSDCDP00000001931	ENSDCDG00000000960	Denticeps_clupeoides
ENSCAPP00000013939	ENSCAPG00000014426	Cavia_aperea	ENSCAPT00000017706
ENSVPAP00000007707	ENSVPAG00000008279	Vicugna_pacos
ENSMMOP00000000201	ENSMMOG00000000162	Mola_mola
ENSVVUP00000015573	ENSVVUG00000011378	Vulpes_vulpes
ENSKMAP00000021590	ENSKMAG00000016013	Kryptolebias_marmoratus
ENSFCAP00000010666	ENSFCAG00000011481	Felis_catus
ENSCGOP00000047917	ENSCGOG00000021444	Cottoperca_gobio
ENSSPAP00000008866	ENSSPAG00000006725	Stegastes_partitus
ENSCPUP00000006920	ENSCPUG00000005006	Calidris_pugnax
ENSGGOP00000006962	ENSGGOG00000007107	Gorilla_gorilla
ENSSBOP00000033494	ENSSBOG00000032914	Saimiri_boliviensis_boliviensis
ENSCPRP00005019674	ENSCPRG00005013700	Crocodylus_porosus
ENSMALP00000030869	ENSMALG00000021328	Monopterus_albus
ENSPPRP00000014082	ENSPPRG00000007098	Panthera_pardus
ENSCHOP00000000880	ENSCHOG00000000994	Choloepus_hoffmanni
ENSACAP00000017680	ENSACAG00000017955	Anolis_carolinensis
ENSPMJP00000012594	ENSPMJG00000009674	Parus_major
ENSNGAP00000010198	ENSNGAG00000012648	Nannospalax_galili
ENSPKIP00000024448	ENSPKIG00000007676	Paramormyrops_kingsleyae
ENSXCOP00000003411	ENSXCOG00000002688	Xiphophorus_couchianus
ENSSSCP00000005893	ENSSSCG00000005498	Sus_scrofa_strain_reference
ENSJHYP00000015908	ENSJHYG00000012195	Junco_hyemalis
ENSORLP00000042051	ENSORLG00000006791	Oryzias_latipes_ASM223467v1
ENSMICP00000003936	ENSMICG00000004317	Microcebus_murinus
ENSMLUP00000006889	ENSMLUG00000007529	Myotis_lucifugus
ENSPCAP00000015864	ENSPCAG00000016941	Procavia_capensis
ENSIPUP00000025611	ENSIPUG00000017315	Ictalurus_punctatus
ENSSFOP00015020777	ENSSFOG00015013329	Scleropages_formosus
ENSLBEP00000025952	ENSLBEG00000019723	Labrus_bergylta
ENSTRUP00000012665	ENSTRUG00000005279	Takifugu_rubripes
ENSMEUP00000002744	ENSMEUG00000003002	Notamacropus_eugenii	ENSMEUT00000003014
ENSPMGP00000008192	ENSPMGG00000006788	Periophthalmus_magnuspinnatus
ENSLACP00000016567	ENSLACG00000014600	Latimeria_chalumnae
ENSBMUP00000019397	ENSBMUG00000014655	Bos_mutus
ENSCMIP00000019124	ENSCMIG00000008942	Callorhinchus_milii
ENSPREP00000024059	ENSPREG00000016205	Poecilia_reticulata
ENSDNOP00000015069	ENSDNOG00000019437	Dasypus_novemcinctus
ENSAMXP00005008249	ENSAMXG00005003886	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00015026637	ENSORLG00015008376	Oryzias_latipes_ASM223469v1
ENSNPEP00000005394	ENSNPEG00000004079	Nothoprocta_perdicaria
ENSELUP00000021181	ENSELUG00000020318	Esox_lucius
ENSHCOP00000001973	ENSHCOG00000003050	Hippocampus_comes
ENSHGLP00000027195	ENSHGLG00000019341	Heterocephalus_glaber_HetGla_female_1.0
ENSPRNP00000012610	ENSPRNG00000006969	Parambassis_ranga
ENSPMAP00000007551	ENSPMAG00000006847	Petromyzon_marinus
ENSDCDP00000063547	ENSDCDG00000035787	Denticeps_clupeoides
ENSXETP00000039728	ENSXETG00000021272	Xenopus_tropicalis
ENSCAFP00000005199	ENSCAFG00000003488	Canis_lupus_familiaris
ENSGAGP00000012054	ENSGAGG00000009279	Gopherus_agassizii
ENSNMEP00000005704	ENSNMEG00000005901	Numida_meleagris
